asap0_id,name0_shr,item,option1,option2,option3
29,Sudan,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
208,Australia,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
145,Russian Fed.,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
96,Eritrea,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
185,Ethiopia,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
19,Canada,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
183,Indonesia,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
85,Azerbaijan,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
38,Denmark,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
49,Turkey,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
135,Cameroon,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
63,Mexico,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
70,Moldova,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
76,Bahamas,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
84,U.A.E.,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
87,Bulgaria,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
91,Uruguay,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
98,Georgia,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
101,India,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
102,Lithuania,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
104,Qatar,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
106,North Macedonia,Maize (corn),FAO GYF - Maize (corn),FAO GYF - Maize (corn) WC,FAO GYF - Multiple ASAP
