asap0_id,name0_shr,item,option1,option2,option3
190,Nepal,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
183,Indonesia,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
134,Viet Nam,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
132,Cambodia,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
101,India,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
81,Myanmar,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
20,Bangladesh,Rice,FAO GYF - Rice IRRI,FAO GYF - Rice,FAO GYF - Multiple ASAP
221,Syria,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
220,Armenia,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
219,Burkina Faso,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
218,Zimbabwe,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
216,Switzerland,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
215,Kuril islands,,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
214,Japan,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
213,Romania,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
212,Chad,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
211,Vanuatu,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
210,Eswatini,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
209,Uganda,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
208,Australia,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
207,Czech Republic,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
205,Falkland,,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
204,Aksai Chin,,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
202,Bosnia Herzeg.,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
201,Lebanon,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
200,Papua New Guinea,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
199,Pakistan,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
198,Germany,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
197,France,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
196,Equat. Guinea,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
195,Benin,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
194,Montenegro,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
191,Brazil,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
189,Thailand,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
188,Kazakhstan,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
187,Ma'tan al-Sarra,,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
186,Jammu-Kashmir,,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
185,Ethiopia,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
182,Costa Rica,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
181,New Zealand,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
179,Rwanda,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
178,Paraguay,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
177,Martinique,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
176,Libya,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
174,Slovakia,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
173,Norway,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
172,Italy,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
171,Poland,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
167,Ireland,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
166,Argentina,Rice,FAO GYF - Rice,FAO GYF - Rice IRRI,FAO GYF - Multiple ASAP
