asap0_id,name0_shr,item,option1,option2,option3
29,Sudan,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
1,Chile,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
132,Cambodia,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
145,Russian Federation,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
96,Eritrea,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
61,Central Africa,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
121,Tunisia,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
13,Kyrgyzstan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
88,South Sudan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
142,Congo,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
27,Tajikistan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
185,Ethiopia,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
183,Indonesia,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
85,Azerbaijan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
105,Algeria,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
135,Cameroon,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
70,Moldova,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
91,Uruguay,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
98,Georgia,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
108,Bolivia,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
115,Ukraine,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
178,Paraguay,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
41,Laos,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
166,Argentina,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
35,Cuba,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
112,Côte d'Ivoire,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
219,Burkina Faso,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
220,Armenia,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
20,Bangladesh,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
43,Djibouti,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
50,Uzbekistan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
51,Madagascar,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
67,Afghanistan,Wheat,FAO GYF - Multiple ASAP,FAO GYF - Multiple WC,FAO GYF - Wheat
52,El Salvador,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
79,Egypt,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
68,Haiti,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
78,Iraq,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
81,Myanmar,Wheat,FAO GYF - Wheat,FAO GYF - Multiple WC,FAO GYF - Multiple ASAP
83,Ecuador,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
122,Turkmenistan,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
93,Nicaragua,Wheat,FAO GYF - Multiple WC,FAO GYF - Wheat,FAO GYF - Multiple ASAP
