koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1984,"[2145.4, 2016.6, 1967.8]","[1978.5529026451195, 1915.155644215023, 1797.8722002337165]",0.0731418399603015,7.314183996030151,0.07148997567720661,0.07148997567720661
11,1985,"[2169.3, 2102.8, 2016.1]","[2209.6731640740986, 2137.175132142856, 2084.055406331288]",0.023741950405339787,2.3741950405339787,0.022693887368124784,-0.022693887368124784
11,1986,"[2178.3, 2258.8, 1779.0]","[2190.9889551696083, 2051.7121992381585, 2121.701011966182]",0.1116264459472311,11.16264459472311,0.09048724568421222,-0.023857751061589782
11,1987,"[2239.9, 2227.2, 2095.0]","[2253.696455581959, 2166.571269263921, 2069.5911805493324]",0.017729332286284774,1.7729332286284774,0.015213728191997306,0.011008837811796159
11,1988,"[2280.5, 1911.8, 2263.5]","[2235.941402048921, 2231.1218071924504, 1934.9927289598056]",0.1234935224556887,12.34935224556887,0.10725048424420268,0.00832492670138832
11,1989,"[2556.2, 2355.2, 2365.7]","[2236.960830746152, 2120.7892643957175, 2024.3235162303097]",0.1244518895663533,12.445188956635329,0.12299217938846796,0.12299217938846796
11,1990,"[2566.1, 2293.5, 2406.7]","[2568.7370511156714, 2392.7375193321705, 2379.3720031492244]",0.024543602503435846,2.4543602503435844,0.01778106702154018,-0.01025922045567435
11,1991,"[2659.2, 2197.7, 2048.1]","[2599.638982516961, 2448.9472270065858, 2386.6665966625264]",0.10680605532770311,10.680605532770311,0.09404414788590174,-0.0767925859791562
11,1992,"[2689.3, 2655.5, 2410.0]","[2498.8905404562506, 2254.402460022136, 2175.8196417529625]",0.11211639656373826,11.211639656373826,0.10647435881888005,0.10647435881888005
11,1993,"[2718.5, 2266.8, 2123.7]","[2617.6327262600594, 2596.2577377502466, 2462.9370812640145]",0.11780748519290447,11.780748519290448,0.10825180654862875,-0.07987446128489528
11,1994,"[2532.8, 2581.2, 2391.0]","[2710.4040410062594, 2713.2042831349363, 2286.983223553792]",0.05643080883742498,5.643080883742498,0.05511327123083328,-0.027393943730178234
11,1995,"[2652.7, 2532.3, 2455.4]","[2712.6074302438533, 2417.9655346413856, 2386.825595593099]",0.033134693756896656,3.3134693756896656,0.031780574316707125,0.016098821988595125
11,1996,"[2762.9, 2552.6, 2417.0]","[2668.1283709963122, 2556.1004429396726, 2430.324037831676]",0.02145159434432099,2.1451594344320988,0.014432086618174775,0.010080458872594796
11,1997,"[2743.1, 2760.7, 2443.4]","[2621.2600605872867, 2560.3021461183835, 2420.712610893074]",0.05135316988061022,5.135316988061022,0.04340210167118682,0.04340210167118682
11,1998,"[2935.8, 2711.6, 2472.2]","[2811.693171808796, 2375.2172417597963, 2489.7417884238407]",0.07657571971485021,7.65757197148502,0.05887375915750147,0.05455290876491048
11,1999,"[3213.9, 2930.4, 2702.8]","[2913.452617282134, 2881.4997990087413, 2460.928628677228]",0.07611678905881626,7.611678905881626,0.0668262995819983,0.0668262995819983
11,2000,"[3483.6, 3060.6, 2745.4]","[3216.294778556832, 3004.693007935137, 2598.586721713543]",0.05780922898214163,5.780922898214163,0.05059695700509043,0.05059695700509043
11,2001,"[3402.0, 3126.4, 2675.4]","[3257.748647287564, 3058.4367484841027, 2633.843141068603]",0.031010858599147196,3.1010858599147197,0.02757246606398776,0.02757246606398776
11,2002,"[3490.2, 3273.9, 2675.3]","[3453.9211592751158, 3159.561862121525, 2555.1833401580884]",0.031148953052339334,3.1148953052339334,0.028681233812029472,0.028681233812029472
11,2003,"[3576.8, 3140.3, 2857.3]","[3472.8029375214146, 3155.233580709771, 2755.7397114377977]",0.026434884806842293,2.6434884806842294,0.023029216635043336,0.019909735370468865
11,2004,"[3535.9, 3283.1, 2782.5]","[3584.920586459221, 3139.7480757253866, 2790.8466522723147]",0.0273714240087988,2.73714240087988,0.02090497974338893,0.008955338805715548
11,2005,"[3781.4, 3489.0, 2716.6]","[3707.4667539155585, 3447.428992810097, 2647.825446071475]",0.01893827576422103,1.893827576422103,0.018451868148880477,0.018451868148880477
11,2006,"[3854.1, 3585.5, 2557.0]","[3731.8279493190344, 3663.034715938465, 2789.754810383391]",0.04749358087047242,4.749358087047241,0.0432708697960128,-0.018808142332482097
11,2007,"[4083.3, 3723.3, 2775.0]","[3839.094435488185, 3592.3110195169443, 3411.0443809189023]",0.113563400344543,11.3563400344543,0.0955657864513659,-0.024651265963940343
11,2008,"[4144.1, 3777.2, 2907.4]","[4380.060353889977, 3802.845169938913, 2625.287242325894]",0.058969859931162834,5.896985993116283,0.050210854627332505,0.00189378538930956
11,2009,"[4240.4, 3841.9, 2716.4]","[4357.708715890487, 3765.047294765414, 3015.5559937321887]",0.052993774916295366,5.299377491629537,0.045683037296828516,-0.03144934153074812
11,2010,"[4342.2, 3590.9, 2980.5]","[4243.764273167627, 3846.2794847501837, 2744.1082581825135]",0.05739561995644352,5.739561995644352,0.05407995101525097,0.0072797229053360776
11,2011,"[4391.7, 3751.3, 3312.0]","[4410.833699809587, 3606.1066800492813, 2962.0835769032583]",0.05735600328524899,5.735600328524899,0.04489248737294179,0.04155181521063928
11,2012,"[4420.6, 3736.7, 3170.9]","[4334.003921870399, 3623.943169525732, 2709.9894161738926]",0.07374841560419262,7.374841560419262,0.05828494310040225,0.05828494310040225
11,2013,"[4531.7, 3831.5, 3394.2]","[4417.780601197555, 3829.8790213927223, 3567.995974305608]",0.03061380365729339,3.061380365729339,0.02460887200531837,-0.0049548026686075065
11,2014,"[4538.2, 4178.6, 3359.6]","[4181.756716401843, 3701.23725105693, 3276.6724777550453]",0.0862700022427923,8.62700022427923,0.07591116183516464,0.07591116183516464
11,2015,"[4551.8, 4250.1, 3154.3]","[4525.750428959378, 3945.0064217631043, 3612.3358864526367]",0.07981563479100505,7.981563479100505,0.06600584096369705,-0.01061313269894434
11,2016,"[4586.3, 4262.5, 3369.0]","[4632.589996825289, 4258.9843014330045, 3384.922966299091]",0.006957541388779288,0.6957541388779288,0.005379746082877051,-0.0048042417257922205
11,2017,"[4661.9, 4225.1, 3505.8]","[4738.524576011948, 4103.994010213159, 3294.923738172352]",0.0356344883757579,3.5634488375757902,0.03297130814879915,0.02060532531813164
11,2018,"[4725.7, 4226.4, 3760.7]","[4661.550259595478, 4198.463235326013, 3455.699488060594]",0.04263411511883742,4.263411511883742,0.031235213093725588,0.031235213093725588
11,2019,"[4740.2, 4154.8, 3804.8]","[4783.473753303326, 3854.304824511697, 3539.257553633131]",0.05500909630504227,5.500909630504227,0.047978029194042295,0.041163157573492995
11,2020,"[4808.8, 3818.1, 3815.3]","[4758.928247611142, 4109.829358721631, 3619.4580620404945]",0.04940351359803932,4.940351359803932,0.04319517843066299,-0.003698354661817648
11,2021,"[4818.7, 4071.9, 3472.8]","[4585.607928752165, 4250.903738443955, 3758.609737497505]",0.057432374269479655,5.743237426947966,0.056449321965583464,-0.018742530751542905
11,2022,"[4891.2, 4393.5, 3786.9]","[4788.984884836633, 3954.694450136623, 3516.6708260007704]",0.06961515007331898,6.961515007331897,0.06206201528703249,0.06206201528703249
3,1984,"[1821.3, 1288.3, 2731.6, 2006.9, 2067.0, 1708.7]","[1859.1059999431225, 1606.4189385822704, 3014.201424143299, 1917.1174559673782, 2027.159075412078, 1701.218251606703]",0.09238478621521591,9.23847862152159,0.06672788414137655,-0.0431374546753085
3,1985,"[1840.0, 1249.7, 3077.7, 2000.0, 2060.8, 1709.0]","[1887.8156236225946, 1377.5484442423688, 3077.4523282513824, 2148.6381781276723, 2107.25919093131, 1687.7532785331746]",0.04271609962715181,4.271609962715181,0.03285995293195961,-0.029258707545195065
3,1986,"[1878.0, 1377.0, 3094.4, 2000.0, 2052.2, 1709.4]","[1889.9827086536022, 1741.5907289913084, 2883.479452433772, 2007.957352069526, 2058.6844013447194, 1730.3812807604968]",0.08535545690000655,8.535545690000655,0.05143398723357947,-0.016602751569104533
3,1987,"[1983.6, 1324.8, 3131.8, 2130.5, 2014.7, 1709.7]","[1992.2509639297093, 1375.1893786590047, 3190.620503260177, 2152.0200067202873, 2202.2809226735963, 1707.1723729657267]",0.040697444563382826,4.069744456338283,0.02679843208083282,-0.026387272019625783
3,1988,"[1934.3, 1369.9, 3036.7, 2156.2, 2146.5, 1710.0]","[2046.4579905144046, 1434.1311047519262, 3055.379875671946, 2233.3118034699683, 2078.50583574243, 1708.159165918434]",0.03295698555498704,3.2956985554987037,0.027685514566392115,-0.01637949877518371
3,1989,"[2076.8, 1435.8, 2991.6, 2587.3, 2085.3, 1710.3]","[1946.3478899745448, 1382.5010809573093, 2428.1547940811365, 2587.6271003162524, 2039.7208827027907, 1707.30833027899]",0.11073535147324404,11.073535147324403,0.06177449715773766,0.061723733166420415
3,1990,"[2077.3, 1347.7, 3064.3, 2636.1, 1955.6, 1710.6]","[2267.6404164713667, 2027.2785183317185, 3267.4280051699257, 2190.117180281843, 2083.108823810302, 1735.2511031764313]",0.16639814023537425,16.639814023537426,0.1306474316487305,-0.06091685537709021
3,1991,"[2054.6, 1396.2, 3021.5, 2623.7, 2253.4, 1711.0]","[2038.5597629543972, 1494.5516940352761, 3044.9212934811485, 2505.0388089618987, 2225.8354626612877, 1693.5890084158675]",0.030021226256412917,3.0021226256412916,0.023081218379450347,0.0044335525320912195
3,1992,"[2086.9, 1317.8, 3054.4, 2716.9, 2174.5, 1711.3]","[1925.365127378564, 1423.7815989174, 3074.7280354316986, 2621.190886380835, 2161.7055737048304, 1707.4823472453816]",0.040689148182155244,4.068914818215524,0.030636336465072803,0.01129602588780189
3,1993,"[2078.2, 1306.9, 3135.0, 2745.3, 2049.7, 1711.6]","[2891.0458868230776, 1465.237969225639, 3094.707901853685, 2521.5206866557614, 2214.831784370837, 1707.4328868062819]",0.1644403139487239,16.44403139487239,0.10782117996912687,-0.06663829793695118
3,1994,"[2069.4, 1487.7, 2993.3, 2575.9, 2352.1, 1711.9]","[2087.994555200284, 1414.2085853025828, 3433.357994547846, 2638.189162156228, 2160.97451765089, 1716.3988914322872]",0.09094313294880636,9.094313294880637,0.05989685605203611,-0.019773902510944994
3,1995,"[2130.4, 1792.0, 3158.6, 2582.2, 2415.8, 1712.2]","[2068.70864115326, 1465.730275448821, 3126.5217604012487, 2328.7484788430675, 2171.1227021771733, 1713.2851838971737]",0.08617275403554756,8.617275403554755,0.06665506452474064,0.06649769114212366
3,1996,"[2193.0, 1811.6, 3123.1, 2672.6, 2409.8, 1712.6]","[2097.31891849067, 1925.3527303921892, 3204.6902098163578, 2577.574655242741, 2819.26013251559, 1712.218160285875]",0.07974320524926393,7.974320524926393,0.057165013876967194,-0.029715127578948283
3,1997,"[2173.7, 1770.6, 3245.1, 2674.2, 2378.8, 1712.9]","[2073.518952247899, 1605.1336123165843, 3221.5778643792705, 2614.043592919943, 2353.0796706246656, 1720.5585396075335]",0.03610321278342122,3.610321278342122,0.02742362021018328,0.026326038702435915
3,1998,"[2034.1, 1788.4, 3510.2, 2665.1, 2418.0, 1713.2]","[2236.319192649094, 2347.013188622601, 3168.269687788822, 2676.442224437403, 2317.8647950464892, 1727.6394968840434]",0.12013931555850424,12.013931555850425,0.08696154149322882,-0.02438591446163585
3,1999,"[2128.4, 1943.3, 3281.0, 2648.9, 2424.4, 1713.5]","[2166.778128617529, 2012.2562432087407, 3270.7521677858526, 2708.007365798965, 2484.474691738176, 1751.5445961726653]",0.021134179745030755,2.1134179745030757,0.019435542823312214,-0.017986010348451383
3,2000,"[2051.2, 2115.5, 3437.4, 3000.0, 2612.8, 1713.9]","[2131.932437882472, 2331.9964117600825, 2935.7897205408945, 2611.142341761472, 2805.1734111684705, 2176.5882682505953]",0.13797304017361903,13.797304017361903,0.12341994178203806,-0.0041406080962833
3,2001,"[2195.6, 2069.9, 3522.8, 1538.4, 2873.9, 1719.4]","[2684.3408696173697, 2394.480419637111, 2176.446569488804, 1638.4027572452926, 2805.974627623818, 2029.861527891998]",0.2650008281267179,26.50008281267179,0.1895161190574102,0.013684858368937293
3,2002,"[2141.4, 1916.4, 3488.9, 1533.0, 2933.8, 1728.9]","[2254.414948571059, 2238.974892861227, 3311.6035009493785, 1836.057677476228, 2968.1959468413634, 1712.9136630795895]",0.08760134959883822,8.760134959883823,0.07031714269129916,-0.04218772774616115
3,2003,"[2296.2, 2101.2, 3369.6, 1502.5, 2933.9, 1738.4]","[2338.3545523066737, 2812.0957848166395, 3724.3094104635393, 3052.69472568491, 2990.5456280082967, 1724.5692896152646]",0.306306259023642,30.6306259023642,0.1957014741041182,-0.19371741029819134
3,2004,"[2447.5, 1977.3, 3651.6, 1521.5, 2889.5, 1747.9]","[2180.532909973547, 2122.202599261688, 3035.9144840912772, 1561.8013117048163, 2877.1674782805076, 1724.4690176663094]",0.11842498509826381,11.842498509826381,0.07752699422947627,0.05150662079632004
3,2005,"[2714.0, 2479.3, 3546.5, 1472.2, 2997.4, 1757.5]","[2442.580307391003, 1735.532843870189, 3518.2516186392254, 1996.139802755179, 2966.292526448849, 1679.7590473992368]",0.15605181085431602,15.605181085431601,0.11199536704372157,0.04198223102287836
3,2006,"[2766.7, 2489.3, 3670.5, 1231.3, 2950.3, 1767.2]","[2964.5660072941287, 3109.1732930643925, 3502.0202917375786, 2490.138838980589, 2894.5292152033467, 2168.545025695727]",0.24427817113295802,24.427817113295802,0.1816550696855803,-0.15150435096944342
3,2007,"[2826.8, 2621.6, 3833.7, 1510.5, 3044.1, 1776.9]","[2894.8672896025364, 2732.9481678719108, 3219.780082797807, 1957.6628739287767, 2981.1533873548956, 1822.2303165139463]",0.12151009584886914,12.151009584886914,0.08638463760852506,0.0003175361178797386
3,2008,"[3049.5, 2745.7, 3680.0, 1758.7, 2997.4, 1930.8]","[2086.092272287733, 1980.4890109080695, 3350.7738949708582, 1867.3441984536096, 2825.6794158282983, 1649.3507324205746]",0.20006741457645347,20.006741457645347,0.16208654024155744,0.14864222317216552
3,2009,"[3505.6, 2836.3, 3874.8, 3097.0, 2907.9, 1670.5]","[2947.74419284512, 3176.848377164527, 3724.8045604630383, 1884.644163610082, 3047.8875267865687, 1699.3230842598355]",0.19067992577087928,19.067992577087928,0.13578987772775086,0.07885313042464714
3,2010,"[3624.9, 2969.7, 4055.8, 3089.8, 2992.1, 1100.8]","[2845.8628956922157, 3224.0271759278435, 3857.124625768916, 3018.809779011017, 3087.062301506808, 1689.7631022068447]",0.14221445612323477,14.221445612323476,0.11141951086290935,0.006193545703571193
