country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Bangladesh,1984,[2145.4],[2307.4739999999965],0.07554488673440683,7.554488673440683,0.07554488673440683,-0.07554488673440683,11
Bangladesh,1985,[2169.3],[2304.6539999999973],0.06239524270501871,6.239524270501871,0.06239524270501871,-0.06239524270501871,11
Bangladesh,1986,[2178.3],[2264.125999999997],0.03940044989211625,3.9400449892116254,0.03940044989211625,-0.03940044989211625,11
Bangladesh,1987,[2239.9],[2300.841999999998],0.02720746461895519,2.720746461895519,0.02720746461895519,-0.02720746461895519,11
Bangladesh,1988,[2280.5],[2391.7959999999975],0.048803332602498375,4.880333260249838,0.048803332602498375,-0.048803332602498375,11
Bangladesh,1989,[2556.2],[2339.383999999998],0.08481965417416541,8.481965417416541,0.08481965417416541,0.08481965417416541,11
Bangladesh,1990,[2566.1],[2562.2149999999992],0.0015139706168897054,0.15139706168897055,0.0015139706168897054,0.0015139706168897054,11
Bangladesh,1991,[2659.2],[2563.0199999999995],0.03616877256317701,3.6168772563177005,0.03616877256317701,0.03616877256317701,11
Bangladesh,1992,[2689.3],[2590.5240000000003],0.036729260402335116,3.6729260402335115,0.036729260402335116,0.036729260402335116,11
Bangladesh,1993,[2718.5],[2665.011000000001],0.019675924222916728,1.9675924222916727,0.019675924222916728,0.019675924222916728,11
Bangladesh,1994,[2532.8],[2748.9809999999984],0.08535257422615217,8.535257422615217,0.08535257422615217,-0.08535257422615217,11
Bangladesh,1995,[2652.7],[2589.1469999999995],0.02395785426169576,2.395785426169576,0.02395785426169576,0.02395785426169576,11
Bangladesh,1996,[2762.9],[2627.4860000000003],0.04901154583951636,4.901154583951636,0.04901154583951636,0.04901154583951636,11
Bangladesh,1997,[2743.1],[2738.175999999998],0.0017950493966686586,0.17950493966686587,0.0017950493966686586,0.0017950493966686586,11
Bangladesh,1998,[2935.8],[2743.304],0.06556849921656792,6.5568499216567915,0.06556849921656792,0.06556849921656792,11
Bangladesh,1999,[3213.9],[2974.761999999998],0.07440741777902306,7.440741777902306,0.07440741777902306,0.07440741777902306,11
Bangladesh,2000,[3483.6],[3153.3459999999995],0.09480250315765311,9.48025031576531,0.09480250315765311,0.09480250315765311,11
Bangladesh,2001,[3402.0],[3450.607000000001],0.01428777189888327,1.428777189888327,0.01428777189888327,-0.01428777189888327,11
Bangladesh,2002,[3490.2],[3527.810999999998],0.010776173285198,1.0776173285198,0.010776173285198,-0.010776173285198,11
Bangladesh,2003,[3576.8],[3475.041000000003],0.028449731603667323,2.8449731603667323,0.028449731603667323,0.028449731603667323,11
Bangladesh,2004,[3535.9],[3606.7560000000008],0.020039028253061645,2.0039028253061644,0.020039028253061645,-0.020039028253061645,11
Bangladesh,2005,[3781.4],[3618.052999999998],0.04319749299201407,4.3197492992014075,0.04319749299201407,0.04319749299201407,11
Bangladesh,2006,[3854.1],[3864.4460000000026],0.0026844140006753153,0.26844140006753153,0.0026844140006753153,-0.0026844140006753153,11
Bangladesh,2007,[4083.3],[4071.5099999999993],0.002887370509147227,0.28873705091472274,0.002887370509147227,0.002887370509147227,11
Bangladesh,2008,[4144.1],[4229.968000000001],0.02072054245795236,2.0720542457952362,0.02072054245795236,-0.02072054245795236,11
Bangladesh,2009,[4240.4],[4220.618999999997],0.004664890104707735,0.4664890104707735,0.004664890104707735,0.004664890104707735,11
Bangladesh,2010,[4342.2],[4254.615999999999],0.020170420524158433,2.0170420524158432,0.020170420524158433,0.020170420524158433,11
Bangladesh,2011,[4391.7],[4352.147000000001],0.00900630735250563,0.900630735250563,0.00900630735250563,0.00900630735250563,11
Bangladesh,2012,[4420.6],[4357.524000000007],0.01426865131429979,1.426865131429979,0.01426865131429979,0.01426865131429979,11
Bangladesh,2013,[4531.7],[4484.265000000001],0.01046737427455449,1.046737427455449,0.01046737427455449,0.01046737427455449,11
Bangladesh,2014,[4538.2],[4551.612],0.0029553567493720554,0.29553567493720556,0.0029553567493720554,-0.0029553567493720554,11
Bangladesh,2015,[4551.8],[4611.002000000003],0.013006283228613505,1.3006283228613504,0.013006283228613505,-0.013006283228613505,11
Bangladesh,2016,[4586.3],[4639.192000000002],0.011532607984650294,1.1532607984650294,0.011532607984650294,-0.011532607984650294,11
Bangladesh,2017,[4661.9],[4690.299000000001],0.006091722259164987,0.6091722259164987,0.006091722259164987,-0.006091722259164987,11
Bangladesh,2018,[4725.7],[4678.385000000004],0.010012273314005537,1.0012273314005538,0.010012273314005537,0.010012273314005537,11
Bangladesh,2019,[4740.2],[4699.022000000003],0.008686975233111927,0.8686975233111927,0.008686975233111927,0.008686975233111927,11
Bangladesh,2020,[4808.8],[4712.356000000006],0.020055731159539604,2.0055731159539603,0.020055731159539604,0.020055731159539604,11
Bangladesh,2021,[4818.7],[4730.248000000001],0.01835598812957819,1.835598812957819,0.01835598812957819,0.01835598812957819,11
Bangladesh,2022,[4891.2],[4697.749000000004],0.03955082597317539,3.9550825973175394,0.03955082597317539,0.03955082597317539,11
Lao People's Democratic Republic,1984,[2016.6],[2124.9029999999984],0.05370574233858898,5.370574233858898,0.05370574233858898,-0.05370574233858898,11
Lao People's Democratic Republic,1985,[2102.8],[2087.6819999999993],0.0071894616701544825,0.7189461670154482,0.0071894616701544825,0.0071894616701544825,11
Lao People's Democratic Republic,1986,[2258.8],[2138.5089999999996],0.05325438285815504,5.325438285815505,0.05325438285815504,0.05325438285815504,11
Lao People's Democratic Republic,1987,[2227.2],[2182.2059999999997],0.020202047413793167,2.0202047413793167,0.020202047413793167,0.020202047413793167,11
Lao People's Democratic Republic,1988,[1911.8],[2233.1939999999986],0.1681106810335802,16.81106810335802,0.1681106810335802,-0.1681106810335802,11
Lao People's Democratic Republic,1989,[2355.2],[2322.281],0.013977156929347772,1.3977156929347772,0.013977156929347772,0.013977156929347772,11
Lao People's Democratic Republic,1990,[2293.5],[2340.818000000002],0.020631349465882725,2.0631349465882725,0.020631349465882725,-0.020631349465882725,11
Lao People's Democratic Republic,1991,[2197.7],[2226.546],0.013125540337625701,1.31255403376257,0.013125540337625701,-0.013125540337625701,11
Lao People's Democratic Republic,1992,[2655.5],[2262.142999999999],0.14812916588213176,14.812916588213177,0.14812916588213176,0.14812916588213176,11
Lao People's Democratic Republic,1993,[2266.8],[2593.3029999999994],0.14403696841362237,14.403696841362237,0.14403696841362237,-0.14403696841362237,11
Lao People's Democratic Republic,1994,[2581.2],[2347.973999999999],0.09035564853556526,9.035564853556526,0.09035564853556526,0.09035564853556526,11
Lao People's Democratic Republic,1995,[2532.3],[2574.5100000000025],0.01666864115626202,1.6668641156262018,0.01666864115626202,-0.01666864115626202,11
Lao People's Democratic Republic,1996,[2552.6],[2542.642999999999],0.003900728668808583,0.3900728668808583,0.003900728668808583,0.003900728668808583,11
Lao People's Democratic Republic,1997,[2760.7],[2547.5549999999994],0.0772068678233783,7.72068678233783,0.0772068678233783,0.0772068678233783,11
Lao People's Democratic Republic,1998,[2711.6],[2686.2099999999996],0.00936347543885541,0.936347543885541,0.00936347543885541,0.00936347543885541,11
