koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1984,"[2145.4, 2016.6, 1967.8]","[3034.454654290053, 2960.97498427827, 2783.7128667608513]",0.4329733422503188,43.29733422503188,0.43220700599190415,-0.43220700599190415
11,1985,"[2169.3, 2102.8, 2016.1]","[3039.2609870998876, 2965.701979589405, 2768.172570659651]",0.39601283055208886,39.60128305520889,0.3951743801642668,-0.3951743801642668
11,1986,"[2178.3, 2258.8, 1779.0]","[3035.8936439983954, 2992.7795786946317, 2768.6202529370266]",0.41828797431732756,41.82879743173275,0.4152432354096706,-0.4152432354096706
11,1987,"[2239.9, 2227.2, 2095.0]","[3061.450720565704, 2995.633463759783, 2793.73522518493]",0.34953549510684145,34.95354951068415,0.3487785022341045,-0.3487785022341045
11,1988,"[2280.5, 1911.8, 2263.5]","[3078.551390682235, 2995.7543405237634, 2767.9334522518575]",0.3856619939153719,38.56619939153719,0.3696581652866965,-0.3696581652866965
11,1989,"[2556.2, 2355.2, 2365.7]","[3078.3774596163094, 3052.517312058042, 2836.114082097114]",0.23564698104380172,23.56469810438017,0.23222284340897695,-0.23222284340897695
11,1990,"[2566.1, 2293.5, 2406.7]","[3079.106634552487, 3032.932463567221, 2791.8569642811863]",0.23334257300964173,23.334257300964172,0.225368628105211,-0.225368628105211
11,1991,"[2659.2, 2197.7, 2048.1]","[3134.580988643819, 3050.9812314658975, 2806.154994192189]",0.3101425758464002,31.01425758464002,0.30220379642315803,-0.30220379642315803
11,1992,"[2689.3, 2655.5, 2410.0]","[3079.269929240106, 3042.473425011754, 2814.3610865410387]",0.15236032461425617,15.236032461425616,0.15233203187611527,-0.15233203187611527
11,1993,"[2718.5, 2266.8, 2123.7]","[3165.1849238041023, 3027.0955975240527, 2820.358400335897]",0.2738030427384924,27.380304273849237,0.26777872016655674,-0.26777872016655674
11,1994,"[2532.8, 2581.2, 2391.0]","[3161.444081154984, 3068.94578798043, 2811.0927186342897]",0.20765212989789408,20.765212989789408,0.20472785979609642,-0.20472785979609642
11,1995,"[2652.7, 2532.3, 2455.4]","[3138.7419791599077, 3058.4166199493297, 2802.5956602400765]",0.18044521675490258,18.04452167549026,0.17791663516953485,-0.17791663516953485
11,1996,"[2762.9, 2552.6, 2417.0]","[3163.7844818241006, 3058.6020368186196, 2801.744792915059]",0.16833655105130987,16.833655105130987,0.167039290211158,-0.167039290211158
11,1997,"[2743.1, 2760.7, 2443.4]","[3178.2235740338047, 3083.9640605149166, 2791.7441937341428]",0.14043085142622877,14.043085142622877,0.13926059848536143,-0.13926059848536143
11,1998,"[2935.8, 2711.6, 2472.2]","[3175.6095995668397, 3103.564933888927, 2870.950884005445]",0.12978166942039981,12.978166942039982,0.12691824935479726,-0.12691824935479726
11,1999,"[3213.9, 2930.4, 2702.8]","[3144.157932639436, 3084.1349509212896, 2843.0147440585583]",0.0429631842964872,4.29631842964872,0.041108584998520645,-0.025342499533099364
11,2000,"[3483.6, 3060.6, 2745.4]","[3119.69045499265, 3078.8761815529247, 2929.1842002451235]",0.07608936275563034,7.6089362755630345,0.060925112685734396,0.017422619188049205
11,2001,"[3402.0, 3126.4, 2675.4]","[3135.3530710832647, 3115.249734609061, 2817.1067495044217]",0.05686465881152024,5.6864658811520234,0.04557942847650929,0.014786332254422406
11,2002,"[3490.2, 3273.9, 2675.3]","[3174.5478691041126, 3132.7630879995363, 2846.679077458018]",0.07081128850227719,7.081128850227719,0.06654746280000517,0.030236028289757085
11,2003,"[3576.8, 3140.3, 2857.3]","[3140.4395446134677, 3112.632328493224, 2786.7186414599078]",0.08012198730418237,8.012198730418236,0.055837387766690436,0.055837387766690436
11,2004,"[3535.9, 3283.1, 2782.5]","[3181.915302426942, 3133.552320414763, 2863.3423319930903]",0.07083876650600515,7.083876650600515,0.06086285571539708,0.04402333439204338
11,2005,"[3781.4, 3489.0, 2716.6]","[3219.336083920962, 3189.392808967505, 2855.5057415514575]",0.11305957014622624,11.305957014622624,0.10018792917422555,0.07237061835987536
11,2006,"[3854.1, 3585.5, 2557.0]","[3195.3328006397714, 3193.9591790980917, 2855.22732762413]",0.14247926577259692,14.247926577259692,0.1348994005848255,0.07523364870436017
11,2007,"[4083.3, 3723.3, 2775.0]","[3212.8876280582786, 3199.5607123515247, 3080.9882475756926]",0.17365670519849932,17.36567051984993,0.1606694552020384,0.10283543245014973
11,2008,"[4144.1, 3777.2, 2907.4]","[3276.050468029768, 3168.8126731967136, 3007.54765033589]",0.1703054432564636,17.03054432564636,0.1455931468328985,0.1270964389481312
11,2009,"[4240.4, 3841.9, 2716.4]","[3297.790820196571, 3242.8510701998057, 3008.6619410746634]",0.18516965047105216,18.516965047105217,0.16982785434156764,0.11569875712159425
11,2010,"[4342.2, 3590.9, 2980.5]","[3318.5539760111783, 3244.680135626743, 3033.9358168927615]",0.17170864994700016,17.170864994700015,0.13041541794227754,0.12062289908639835
11,2011,"[4391.7, 3751.3, 3312.0]","[3296.106836597017, 3211.777991885773, 2979.7706692180677]",0.19136724518272308,19.13672451827231,0.1717454825228409,0.1717454825228409
11,2012,"[4420.6, 3736.7, 3170.9]","[3318.0819930914377, 3246.4144878504894, 2955.1521425966257]",0.18741444202926744,18.741444202926743,0.15965037485756317,0.15965037485756317
11,2013,"[4531.7, 3831.5, 3394.2]","[3327.069273417749, 3247.373651362697, 3038.493013478064]",0.2040664853325275,20.40664853325275,0.18239271112163316,0.18239271112163316
11,2014,"[4538.2, 4178.6, 3359.6]","[3307.2497495572097, 3226.1644086986767, 3007.538830199331]",0.22886509147790207,22.886509147790207,0.20995056569381457,0.20995056569381457
11,2015,"[4551.8, 4250.1, 3154.3]","[3319.640019289202, 3189.8266369348626, 3015.914455383314]",0.2363385892164397,23.63385892164397,0.2033103233797212,0.2033103233797212
11,2016,"[4586.3, 4262.5, 3369.0]","[3347.2110600536666, 3251.7251570270764, 3041.681043895568]",0.23139103855302776,23.139103855302775,0.21093672666303992,0.21093672666303992
11,2017,"[4661.9, 4225.1, 3505.8]","[3315.876872854372, 3280.464185573937, 3053.3117042497624]",0.23837057900726838,23.837057900726837,0.22135007724823516,0.22135007724823516
11,2018,"[4725.7, 4226.4, 3760.7]","[3308.8811785944285, 3245.249888033321, 3033.104812842054]",0.2548694676505634,25.486946765056338,0.24585961554733782,0.24585961554733782
11,2019,"[4740.2, 4154.8, 3804.8]","[3351.9935911138136, 3214.0824963170458, 3065.249465104686]",0.24995903614640547,24.995903614640547,0.24161596619351922,0.24161596619351922
11,2020,"[4808.8, 3818.1, 3815.3]","[3317.2230281687416, 3255.8018547920483, 3108.9593021527276]",0.24271296344065263,24.271296344065263,0.2218430675352014,0.2218430675352014
11,2021,"[4818.7, 4071.9, 3472.8]","[3344.2534463056436, 3264.94435210365, 3120.243177361887]",0.24059933979322567,24.05993397932257,0.21304487634702582,0.21304487634702582
11,2022,"[4891.2, 4393.5, 3786.9]","[3339.9752675011223, 3305.258955044599, 3121.928031266948]",0.26609258212066683,26.609258212066685,0.25279520075486783,0.25279520075486783
3,1984,"[1821.3, 1288.3, 2731.6, 2006.9, 2067.0, 1708.7]","[2246.197520364055, 2252.4864648859802, 2690.610829633009, 2468.9589384976016, 2387.2340485785467, 1991.6881940556016]",0.2587788443567974,25.87788443567974,0.21467629662836385,-0.20762366833692888
