year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[2145.4, 2016.6, 1821.3, 5405.8, 3143.3, 4392.7, 4313.3, 2430.0, 2566.0, 1288.3, 2731.6, 2006.9, 3906.0, 2067.0, 1967.8, 4623.5, 1708.7, 2488.3]","[3055.330760623217, 3183.746173845121, 3018.602135233437, 3224.7011884615845, 3300.602346950896, 3229.692291389694, 3890.4503128439146, 3409.289640705717, 2490.541254874144, 2884.7167362480504, 2954.2808688948376, 2917.597928949303, 3592.847500203582, 2684.441815018441, 2824.618325941596, 3500.4064786049257, 2375.824641021307, 2780.504639171731]",0.2744123724956582,0.34620230238101213,34.620230238101215,0.29110719753492686,-0.08419217088503109
1985,"[2169.3, 2102.8, 1840.0, 5947.8, 2650.8, 5000.0, 4953.5, 2587.9, 1909.1, 1249.7, 3077.7, 2000.0, 3941.8, 2060.8, 2016.1, 4699.4, 1709.0, 2349.9]","[2980.5133124214926, 3169.9451689117345, 2942.2712403626315, 3141.138664389122, 3281.926011821501, 3261.4094195040607, 3826.9499740873594, 3358.5105748080646, 2542.276706032971, 2841.4924296081654, 2853.810496342693, 2746.347370787238, 3562.6849294884782, 2682.999598518735, 2757.482515987369, 3476.1886934585764, 2326.9737208300794, 2821.974897033746]",0.2942966625341027,0.3884234918549016,38.84234918549016,0.33110365842644945,-0.04418385562193904
1986,"[2178.3, 2258.8, 1878.0, 5774.7, 2527.5, 4714.0, 4784.2, 2717.3, 1607.1, 1377.0, 3094.4, 2000.0, 3977.3, 2052.2, 1779.0, 4677.4, 1709.4, 2532.0]","[3000.3956998694875, 3179.331920038342, 2952.085890830452, 3201.8560683169662, 3249.4764366917343, 3284.520226162212, 3846.3817574750797, 3394.3111945531596, 2549.8608968123335, 2849.5377907406046, 2885.321496426386, 2788.939886698967, 3588.965230745837, 2660.3429832095294, 2768.0777055156386, 3554.5464735896844, 2313.49652095289, 2879.4958741771843]",0.326011434134893,0.3689683945521306,36.89683945521306,0.32202967445620434,-0.06406726853180546
1987,"[2239.9, 2227.2, 1983.6, 5826.5, 2829.9, 4685.6, 4225.3, 2622.9, 1282.5, 1324.8, 3131.8, 2130.5, 4039.1, 2014.7, 2095.0, 5350.1, 1709.7, 2476.5]","[2996.6033513343227, 3134.564550561048, 2872.203681661155, 3189.4656818831627, 3320.4060116259166, 3266.0811368304185, 3885.037257866095, 3183.2390150801684, 2473.8950328609244, 2834.7879142616366, 2832.728042644135, 2747.3666098252174, 3532.6692708448095, 2645.515687543605, 2728.643318179367, 3466.2676549471057, 2305.6219019146947, 2830.4085426070956]",0.3284878524095203,0.3731914717155798,37.31914717155798,0.31079643825225556,-0.039273514673092695
1988,"[2280.5, 1911.8, 1934.3, 6063.7, 3318.7, 4165.9, 4707.7, 2644.2, 1535.1, 1369.9, 3036.7, 2156.2, 4110.8, 2146.5, 2263.5, 4564.0, 1710.0, 2351.1]","[3122.8357339919185, 3182.460926669497, 2867.03270760241, 3196.414723107958, 3319.83479912222, 3197.197485610004, 3914.3506163811135, 3329.301633370795, 2461.922317179271, 2828.8471646093194, 2855.3249812767726, 2713.4028606037973, 3576.913424976903, 2662.4903051195524, 2772.9230911404698, 3411.2994617915315, 2297.5107081222995, 2775.8153851945585]",0.331985426096443,0.3579499090097144,35.79499090097144,0.2909834006034335,-0.04238096225928902
1989,"[2556.2, 2355.2, 2076.8, 6482.5, 3124.7, 4034.2, 5644.5, 2704.6, 1511.1, 1435.8, 2991.6, 2587.3, 4247.0, 2085.3, 2365.7, 4074.8, 1710.3, 2292.5]","[3038.8939142490744, 3104.0851296546275, 2877.173880453237, 3267.3496009336395, 3280.0127722176962, 3396.0970692209703, 3749.7701528409734, 3354.144955036621, 2498.7677127152256, 2849.309896730973, 2898.782389550027, 2719.767142159627, 3563.5087888096436, 2617.9253598429773, 2764.1910973898034, 3389.8848111853004, 2337.2283680825603, 2831.4558836504275]",0.3493601848308757,0.3605356616551203,36.05356616551203,0.2703875508638027,-0.004757709081659844
1990,"[2566.1, 2293.5, 2077.3, 7266.3, 3121.8, 3330.7, 4447.4, 2978.6, 1467.1, 1347.7, 3064.3, 2636.1, 4301.8, 1955.6, 2406.7, 4061.8, 1710.6, 2315.1]","[3132.8525342893154, 3182.727900898443, 2808.218753410299, 3279.2824677543963, 3252.507099428196, 3427.1675990306917, 3937.497366162482, 3354.409487433339, 2604.3697776681756, 2872.798227276163, 2894.084049779147, 2741.912387349854, 3542.315520427128, 2676.804517114089, 2860.7830819263077, 3429.258485352682, 2320.4245994537478, 2871.0619801168305]",0.2842186542935664,0.38971278745505833,38.971278745505835,0.26164372111530065,-0.034489738884341384
1991,"[2659.2, 2197.7, 2054.6, 7455.4, 2692.1, 2812.7, 4776.7, 2824.3, 1526.5, 1396.2, 3021.5, 2623.7, 4346.5, 2253.4, 2048.1, 3995.9, 1711.0, 2319.9]","[3158.6769730506767, 3173.482897016801, 2905.974390261, 3206.989982477179, 3212.2505605935457, 3400.3266500415198, 3937.2532019731852, 3387.0931247624803, 2577.1895564176107, 2842.0284710626356, 2850.246114977816, 2813.269237437373, 3611.0910692384805, 2663.5638268191237, 2796.6398056870444, 3514.0957800788187, 2324.773812509081, 2902.030048938749]",0.24767890943533843,0.4188889550892777,41.88889550892777,0.29430153628450434,-0.048592546074640836
1992,"[2689.3, 2655.5, 2086.9, 7651.1, 3325.4, 3987.0, 4755.7, 2854.5, 1729.8, 1317.8, 3054.4, 2716.9, 4344.6, 2174.5, 2410.0, 4096.0, 1711.3, 2368.6]","[3038.70504627622, 3197.1766389261616, 2978.7926279869807, 3241.2707700529045, 3311.652581920168, 3225.1524437586027, 3956.608791291626, 3311.1495302361204, 2491.5697500542237, 2821.9494947772955, 2881.7864048530255, 2762.478670533351, 3647.6756009290516, 2625.2980573313093, 2813.3652422585765, 3558.2513190239283, 2323.0959010731995, 2790.540596190677]",0.2851176009334868,0.3916245548529976,39.16245548529976,0.24729119877800743,0.017035445330561613
1993,"[2718.5, 2266.8, 2078.2, 7718.4, 3480.4, 3286.0, 5171.7, 2874.2, 1460.1, 1306.9, 3135.0, 2745.3, 4375.0, 2049.7, 2123.7, 4120.2, 1711.6, 2739.7]","[3233.278146827651, 3197.5909921516445, 2924.8376634947945, 3181.327924891616, 3350.8705283279305, 3156.8694078731387, 4004.971159818347, 3416.268090302763, 2450.541896742051, 2840.0400948766946, 2954.0319680866396, 2805.8274237452542, 3620.6164364612214, 2638.800674614133, 2945.836451110913, 3565.2614909448066, 2326.562578985784, 2799.312766979274]",0.26557009654259534,0.418146641377724,41.814664137772404,0.2701692490332119,-0.0009292701455284459
1994,"[2532.8, 2581.2, 2069.4, 7913.0, 3738.5, 2739.9, 4915.8, 2885.9, 1539.0, 1487.7, 2993.3, 2575.9, 4345.3, 2352.1, 2391.0, 4059.0, 1711.9, 2433.3]","[3169.4165272530436, 3404.468871463857, 3052.1570646304003, 3167.8448442772133, 3379.896006223686, 3146.093260465645, 4007.184934303573, 3540.280668803688, 2487.796673636615, 2996.4359106118177, 3104.8168367848693, 3035.0081931648147, 3773.4432597392824, 2834.355156161617, 2897.8651374908254, 3679.5393140640863, 2404.5916042407307, 2799.6069076295025]",0.2210440737061189,0.4280309618556303,42.80309618556303,0.2812482485068231,-0.029237332325074927
1995,"[2652.7, 2532.3, 2130.4, 8135.6, 3262.2, 3936.0, 5509.9, 2804.3, 1230.4, 1792.0, 3158.6, 2582.2, 4348.7, 2415.8, 2455.4, 4284.0, 1712.2, 2752.2]","[3186.7813941653358, 3241.5130080395547, 2925.014240364036, 3180.319024031657, 3409.2191459895353, 3270.874626960665, 3943.924126847321, 3433.5996731369696, 2435.8304702169976, 2876.5936460959965, 2942.6953838775653, 2848.7435966378303, 3715.53976434048, 2689.212349774779, 2860.1259982177876, 3506.838121892934, 2301.298687929774, 2822.5580193397473]",0.24615116311644403,0.4264394043363649,42.64394043363649,0.2690185645864318,0.03647148573168572
1996,"[2762.9, 2552.6, 2193.0, 8291.0, 3562.0, 3830.6, 6468.4, 2855.8, 1067.6, 1811.6, 3123.1, 2672.6, 4416.8, 2409.8, 2417.0, 4079.4, 1712.6, 2868.5]","[3188.91346027752, 3313.6850065702747, 2867.467310159158, 3197.132184682446, 3305.3599460009177, 3270.251620425726, 3955.4070817131437, 3511.154138086579, 2470.7809501948686, 2930.24459807132, 2981.887067454626, 2835.562557420336, 3713.317190837571, 2752.600608530531, 2904.1547558507846, 3649.9379588771985, 2316.716046523156, 2937.8746386748917]",0.24088135622400686,0.4481087316180008,44.81087316180008,0.27757133004431467,0.05064451622462276
1997,"[2743.1, 2760.7, 2173.7, 8415.2, 3587.6, 3718.9, 6583.9, 2932.9, 1023.6, 1770.6, 3245.1, 2674.2, 4432.2, 2378.8, 2443.4, 4644.5, 1712.9, 2804.8]","[3244.7894502395707, 3318.039344800216, 2967.317222131719, 3228.913613754767, 3506.6269046058874, 3223.3079040892235, 3987.766939172406, 3453.8474659268963, 2463.8261903623584, 2914.924280729414, 2988.920807764859, 2871.2633922111418, 3530.657674251085, 2710.498262592913, 2975.1263544894487, 3631.260523005576, 2330.7308752523677, 2944.0721867184384]",0.23955931584392287,0.4550330133534061,45.50330133534061,0.28820657226382196,0.0625221389549315
1998,"[2935.8, 2711.6, 2034.1, 8640.1, 3206.0, 4059.8, 5086.2, 2698.6, 1342.9, 1788.4, 3510.2, 2665.1, 4197.4, 2418.0, 2472.2, 4711.6, 1713.2, 2893.0]","[3300.692084150092, 3276.6438753865045, 2964.181437985574, 3120.1592462171257, 3603.3247225162577, 3209.177374444375, 4039.41499044735, 3313.8360401028167, 2441.7286310771224, 2910.5947357102314, 2950.734854306083, 2913.2159795770285, 3721.3133666817976, 2697.3293344744825, 3016.1758188585477, 3614.2554626069887, 2330.9201504221646, 2955.2285201943655]",0.1878921187550897,0.4494343520341731,44.94343520341731,0.277489007818528,0.04578674797731193
1999,"[3213.9, 2930.4, 2128.4, 8878.0, 3522.5, 3968.0, 6383.0, 2946.8, 2171.2, 1943.3, 3281.0, 2648.9, 4251.9, 2424.4, 2702.8, 4800.9, 1713.5, 3074.4]","[3281.679435519005, 3460.328193591894, 2927.2295423859687, 3174.4594966987534, 3551.2230288767314, 3207.3351761891695, 4039.4434539669955, 3649.5248532734995, 2400.5210479152797, 3031.476000635187, 3072.6863446187954, 3062.930738765887, 3726.838481585597, 2904.512369047441, 2989.4287742643196, 3657.242982913909, 2383.033478462522, 2883.2911658569647]",0.16363781116728537,0.4460729524988578,44.60729524988578,0.2567615599834805,0.08859674604906509
2000,"[3483.6, 3060.6, 2051.2, 9102.5, 3681.2, 4237.3, 6384.0, 3068.1, 2214.3, 2115.5, 3437.4, 3000.0, 4400.7, 2612.8, 2745.4, 4732.4, 1713.9, 3031.2]","[3290.519411499526, 3570.378502298215, 3024.262014611111, 3220.284808553071, 3440.6506960139177, 3168.8672525504367, 4024.3778836622346, 3648.849273159221, 2449.6200395334463, 3214.322131193442, 3117.4076891678546, 3036.258643291498, 3772.332872614945, 2933.360925817996, 3134.9485270818695, 3623.0041712484526, 2626.3386829315227, 2920.782973388747]",0.11979765176067647,0.4471739323646671,44.71739323646671,0.2607663035497415,0.10535288551287712
2001,"[3402.0, 3126.4, 2195.6, 9283.3, 3600.0, 4526.6, 6703.7, 3186.6, 2328.6, 2069.9, 3522.8, 1538.4, 4387.9, 2873.9, 2675.4, 4547.2, 1719.4, 2754.2]","[3175.038856945469, 3471.5693443612104, 2953.126285922332, 3171.7914025309246, 3479.2970824782865, 3268.397607610195, 3982.9637792622552, 3535.87211017426, 2452.887000189533, 3068.009325739074, 2969.575759906466, 2829.2162520590464, 3780.0004035627003, 2753.541373946572, 2910.728917380541, 3616.6822021603693, 2331.749797349654, 2963.487874132633]",0.14254234347052408,0.4744127945790055,47.44127945790055,0.2726837420824811,0.11992142727462222
2002,"[3490.2, 3273.9, 2141.4, 9388.9, 3874.6, 4560.2, 5863.2, 3279.7, 2045.2, 1916.4, 3488.9, 1533.0, 4469.1, 2933.8, 2675.3, 4800.1, 1728.9, 3019.2]","[3265.041062029752, 3471.482213565805, 3045.917451467545, 3186.7391660046574, 3465.6702268572885, 3306.6608268766313, 3984.4650346723524, 3472.492800944466, 2527.301714435083, 3034.544974463432, 3007.9222622208413, 2995.188696595803, 3653.879853878925, 2805.024108478865, 2965.5104730754965, 3586.2934822070365, 2337.303712035711, 2998.427792628314]",0.13088796338270747,0.47052643232287217,47.05264323228722,0.2773490000423169,0.11432855909497217
2003,"[3576.8, 3140.3, 2296.2, 9748.4, 3872.6, 3744.1, 5904.2, 3369.6, 1780.2, 2101.2, 3369.6, 1502.5, 4542.6, 2933.9, 2857.3, 4853.6, 1738.4, 2955.1]","[3244.4510943368336, 3428.1203805761324, 3037.911791064053, 3218.3339998793776, 3440.3955856264256, 3303.858414287697, 3996.036404797924, 3486.6966844777917, 2417.6593402025974, 3007.7390269728485, 3115.624164705796, 3238.8094510623964, 3685.09428036413, 2730.642455125071, 3015.743478387864, 3612.3528525589672, 2378.1085575869665, 2931.388051813599]",0.12838333189683937,0.48711938253261483,48.711938253261486,0.27140666028122234,0.10885058451020165
