year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[2145.4, 2016.6, 1821.3, 5405.8, 3143.3, 4392.7, 4313.3, 2430.0, 2566.0, 1288.3, 2731.6, 2006.9, 3906.0, 2067.0, 1967.8, 4623.5, 1708.7, 2488.3]","[2394.933837890625, 2235.810546875, 1671.83251953125, 6180.33544921875, 3042.117431640625, 4311.44873046875, 4636.9716796875, 2554.943359375, 1883.2794189453125, 1338.65966796875, 3370.879150390625, 1975.0595703125, 4035.542724609375, 1983.2275390625, 2068.280029296875, 4618.9248046875, 1658.886474609375, 2427.630615234375]",0.9251497023140833,0.11119411007998044,11.119411007998044,0.07559114784301654,-0.0267776676917965
1985,"[2169.3, 2102.8, 1840.0, 5947.8, 2650.8, 5000.0, 4953.5, 2587.9, 1909.1, 1249.7, 3077.7, 2000.0, 3941.8, 2060.8, 2016.1, 4699.4, 1709.0, 2349.9]","[2285.810546875, 2020.2808837890625, 1996.53173828125, 5466.1748046875, 3036.31396484375, 3463.74365234375, 4747.30322265625, 2650.429443359375, 1756.370361328125, 1337.8687744140625, 2820.630859375, 2189.4814453125, 4119.1630859375, 2005.5330810546875, 1952.2373046875, 4612.05615234375, 1643.9420166015625, 3048.996826171875]",0.8919940285333067,0.15195615162558782,15.19561516255878,0.09304635336297917,0.02128994665587883
1986,"[2178.3, 2258.8, 1878.0, 5774.7, 2527.5, 4714.0, 4784.2, 2717.3, 1607.1, 1377.0, 3094.4, 2000.0, 3977.3, 2052.2, 1779.0, 4677.4, 1709.4, 2532.0]","[2289.64697265625, 2307.103515625, 2189.861328125, 5969.34619140625, 2743.28466796875, 3774.301025390625, 4406.583984375, 2561.0732421875, 1984.4451904296875, 1468.8612060546875, 2965.9423828125, 2229.872802734375, 4024.896484375, 2127.489990234375, 2104.74755859375, 4136.25146484375, 1775.843017578125, 2386.551025390625]",0.9365332811964847,0.11322333037469827,11.322333037469827,0.08491120597346268,0.0037277917917749493
1987,"[2239.9, 2227.2, 1983.6, 5826.5, 2829.9, 4685.6, 4225.3, 2622.9, 1282.5, 1324.8, 3131.8, 2130.5, 4039.1, 2014.7, 2095.0, 5350.1, 1709.7, 2476.5]","[2295.4609375, 2135.646240234375, 1893.197021484375, 5903.943359375, 3078.865966796875, 3692.566650390625, 4786.64404296875, 2616.58203125, 1810.45849609375, 1358.1763916015625, 3098.08056640625, 2313.36572265625, 4134.3544921875, 2097.345458984375, 2025.000732421875, 4573.71240234375, 1711.029296875, 2571.490478515625]",0.9255861675025688,0.12423146596013333,12.423146596013334,0.07707831692754635,0.001909733998920667
1988,"[2280.5, 1911.8, 1934.3, 6063.7, 3318.7, 4165.9, 4707.7, 2644.2, 1535.1, 1369.9, 3036.7, 2156.2, 4110.8, 2146.5, 2263.5, 4564.0, 1710.0, 2351.1]","[2347.26904296875, 2134.873291015625, 1879.5413818359375, 5973.5810546875, 2985.229248046875, 3280.33251953125, 4718.5419921875, 2529.50244140625, 1510.9376220703125, 1278.8660888671875, 3226.162841796875, 2297.508544921875, 4014.62158203125, 2097.2529296875, 2171.755859375, 4334.4736328125, 1705.65576171875, 2362.41015625]",0.9618154696592432,0.08558014426580449,8.55801442658045,0.05179997449943779,0.027206192559279235
1989,"[2556.2, 2355.2, 2076.8, 6482.5, 3124.7, 4034.2, 5644.5, 2704.6, 1511.1, 1435.8, 2991.6, 2587.3, 4247.0, 2085.3, 2365.7, 4074.8, 1710.3, 2292.5]","[2261.29443359375, 2202.920654296875, 2016.50830078125, 6048.5654296875, 3078.1201171875, 4688.68408203125, 5702.70849609375, 2602.4609375, 1425.588623046875, 1329.0679931640625, 2918.560546875, 2388.763671875, 3988.233642578125, 2151.271240234375, 2077.310791015625, 4494.0166015625, 1687.134521484375, 2316.4248046875]",0.9651016645542294,0.08349880632578423,8.349880632578422,0.06164460937845428,0.016626076818294123
1990,"[2566.1, 2293.5, 2077.3, 7266.3, 3121.8, 3330.7, 4447.4, 2978.6, 1467.1, 1347.7, 3064.3, 2636.1, 4301.8, 1955.6, 2406.7, 4061.8, 1710.6, 2315.1]","[2426.231689453125, 2351.5244140625, 2275.51318359375, 6481.900390625, 2644.203369140625, 4017.400390625, 4800.91259765625, 2745.400390625, 1690.8531494140625, 1462.4296875, 3279.0673828125, 2169.797607421875, 4445.671875, 2191.501953125, 2122.561767578125, 4292.5751953125, 1727.1923828125, 2317.516357421875]",0.9375862989923158,0.11507856466764575,11.507856466764576,0.0911883812008245,-0.0017573836973802024
1991,"[2659.2, 2197.7, 2054.6, 7455.4, 2692.1, 2812.7, 4776.7, 2824.3, 1526.5, 1396.2, 3021.5, 2623.7, 4346.5, 2253.4, 2048.1, 3995.9, 1711.0, 2319.9]","[2719.501953125, 2359.55126953125, 1982.9349365234375, 6817.2490234375, 3226.5498046875, 3802.9345703125, 4686.0, 2763.697265625, 1478.5050048828125, 1489.138916015625, 2947.74462890625, 2448.48046875, 4398.287109375, 2166.72119140625, 2472.987548828125, 4256.07958984375, 1566.9053955078125, 2418.78125]",0.9428917001338888,0.11541092093182283,11.541092093182282,0.07710031787067323,-0.024407477260114
1992,"[2689.3, 2655.5, 2086.9, 7651.1, 3325.4, 3987.0, 4755.7, 2854.5, 1729.8, 1317.8, 3054.4, 2716.9, 4344.6, 2174.5, 2410.0, 4096.0, 1711.3, 2368.6]","[2405.966552734375, 2430.1064453125, 2356.353759765625, 7463.17236328125, 3189.024169921875, 3749.464599609375, 4921.79443359375, 2683.834716796875, 1554.17724609375, 1405.070556640625, 2840.120361328125, 2519.6826171875, 4264.2236328125, 2272.296875, 2235.148193359375, 4216.54833984375, 1710.6683349609375, 2415.679443359375]",0.9850507384141536,0.056632076065218445,5.663207606521844,0.051358664864475136,0.023171528311608375
1993,"[2718.5, 2266.8, 2078.2, 7718.4, 3480.4, 3286.0, 5171.7, 2874.2, 1460.1, 1306.9, 3135.0, 2745.3, 4375.0, 2049.7, 2123.7, 4120.2, 1711.6, 2739.7]","[2516.628662109375, 2640.210205078125, 2159.78369140625, 7701.958984375, 3418.445068359375, 3328.651123046875, 4499.70751953125, 2743.29443359375, 1511.3388671875, 1439.370849609375, 3140.665283203125, 2445.8505859375, 4189.21142578125, 2095.266357421875, 2435.33544921875, 4455.64306640625, 1704.6226806640625, 2544.898681640625]",0.9739597579343569,0.07873647098697208,7.873647098697208,0.056896083744015453,0.007053959354887815
