koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1984,"[1187.2, 1721.1]","[1540.7739034219485, 2322.7990869927544]",0.33936369170313,33.936369170313,0.3284643917115507,-0.3284643917115507
11,1985,"[1239.8, 1928.9]","[1695.4571015361148, 1834.714977755216]",0.20766199385042533,20.766199385042533,0.17352293488840814,-0.11407582898075894
11,1986,"[1406.7, 2091.1]","[5145.081301148159, 1696.0519043735578]",1.5199000988539777,151.99000988539777,1.1817226247282866,-0.9558388717255751
11,1987,"[1442.6, 1744.7]","[1284.3370628192797, 1094.6587907909923]",0.296850270246911,29.685027024691102,0.2536015268063025,0.2536015268063025
11,1988,"[1344.0, 2687.4]","[1812.2876656040105, 1617.1592633120376]",0.4098067109828476,40.98067109828476,0.38163625596367834,0.1493161361025827
11,1989,"[1443.8, 1807.8]","[1829.1428159376508, 1953.4295554811383]",0.1791657671237879,17.91657671237879,0.16329572254237582,-0.16329572254237582
11,1990,"[1815.3, 1431.6]","[2290.766324717707, 2422.6953075054967]",0.47878476822393684,47.87847682239369,0.4516805667631291,-0.4516805667631291
11,1991,"[2006.5, 1714.0]","[2864.477943461762, 1616.4282375140988]",0.32823142010939327,32.82314201093933,0.25683367986766925,-0.20438279289769143
11,1992,"[1826.6, 731.1]","[1741.6222316013975, 1622.4754623893193]",0.49509744413141404,49.509744413141405,0.3817309421698877,-0.3152823607110752
11,1993,"[1753.6, 2522.8]","[1960.8769698224405, 1445.1777703827775]",0.36290421576906184,36.29042157690618,0.30046281906268435,0.20352288368599342
11,1994,"[1988.2, 1502.5]","[2313.988086676315, 817.7717157740749]",0.3072082555769999,30.72082555769999,0.28948817455015907,0.1028275696993755
11,1995,"[1730.4, 1418.5]","[1904.7814265327047, 1573.7267340345973]",0.1048506668390836,10.48506668390836,0.10467406413900152,-0.10467406413900152
11,1996,"[2089.2, 2086.4]","[1516.8469978992462, 1519.2303337535852]",0.2729031652891283,27.29031652891283,0.27290034206992253,0.27290034206992253
11,1997,"[2060.5, 1479.4]","[2010.6759784081826, 1499.4001808391274]",0.02144885776921292,2.144885776921292,0.019724908169989196,0.008425051767759005
11,1998,"[2368.5, 1250.3]","[2766.6509558733405, 1851.4655760165945]",0.28178667093994864,28.178667093994864,0.27614583063168313,-0.27614583063168313
11,1999,"[2359.7, 1375.9]","[1998.4076186483576, 2014.9294854251161]",0.27791055606880083,27.791055606880082,0.26778077598692535,-0.07434872686408443
11,2000,"[2387.8, 1772.0]","[5145.748529877782, 1994.32706609367]",0.9406656118225589,94.0665611822559,0.7164468474377258,-0.7164468474377258
11,2001,"[2550.0, 1378.0]","[3013.2577037255737, 1592.754699300337]",0.1838386221932185,18.383862219321852,0.172610082236739,-0.172610082236739
11,2002,"[2761.0, 1670.9]","[2454.2705168678735, 2181.157923158874]",0.1899766219474608,18.997662194746077,0.1843424730456464,-0.0459235181359569
11,2003,"[2771.0, 1725.6]","[2383.1367240708487, 1691.2540598473513]",0.12246317071025578,12.246317071025578,0.09389521329044165,0.09389521329044165
