year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[1187.2, 2166.2, 961.3, 148.5, 4455.4, 1329.4, 1721.1, 929.4, 1065.7, 680.0, 991.3, 1191.1, 1139.0, 1087.0, 3140.7, 1434.5, 1198.8, 1713.4, 1055.8, 807.7, 1790.0, 832.6]","[1623.4543368643024, 1995.4253635291175, 1063.0844606056862, 220.65801421485517, 4846.170307460101, 1107.1164992599997, 1946.766485899292, 971.5019618037968, 1154.2912624778548, 793.9197275822463, 2205.7438598444433, 1388.8845776496341, 1225.0585001734796, 1090.4016592188336, 4162.600768100167, 1686.5130701819735, 1845.7654273641451, 1967.0780628544728, 1068.8882588246254, 964.2178268171762, 1578.016716525625, 1468.9471524403486]",0.7614206981604299,0.3060099235299019,30.600992352990193,0.21138612784277405,-0.17238403472212682
1985,"[1239.8, 1954.4, 1008.6, 181.6, 4584.6, 1621.4, 1928.9, 906.1, 1117.1, 782.2, 1875.6, 1183.5, 1173.5, 1067.0, 3562.9, 1698.7, 1218.2, 1774.4, 1111.1, 889.0, 2022.0, 2163.7]","[1350.6706622148606, 1955.9962412571958, 1172.8357018830657, 299.2982731478818, 4742.264666046514, 1185.5512463475939, 1587.2371589807633, 1015.8669450524822, 1101.0617212545412, 711.9725145966195, 1708.5269730902858, 1111.551284838199, 1151.4708455848254, 1352.948996891146, 3195.0352328196836, 1610.7700609684346, 1414.382687450863, 1709.9328224296578, 910.75732301812, 837.252361352201, 1345.025004659918, 1136.435003782401]",0.8811548157468428,0.20106523603070167,20.106523603070166,0.1353337902145705,0.07008428151518062
1986,"[1406.7, 1696.0, 1184.5, 409.1, 4990.3, 973.7, 2091.1, 645.4, 1148.2, 708.9, 1780.9, 1084.9, 1267.9, 1072.0, 3745.0, 1701.3, 1130.5, 1883.8, 1111.1, 854.3, 1431.2, 1937.3]","[1488.8106921722726, 1769.835643657165, 1184.8722427496514, 1439.4277486155493, 4676.258120463041, 1015.7084015328156, 1624.2983211917615, 1054.176804574699, 1247.111382481548, 898.9983496924932, 1822.038386893893, 1260.3744093834669, 1386.8813331522326, 1328.1090157989818, 3373.0167533136464, 1711.1612182559757, 1251.3984137903683, 1836.5166570975277, 982.4507204011642, 893.6512882390713, 1280.8827299348427, 1546.651385389421]",0.9068163175635408,0.19681441779276124,19.681441779276124,0.13306379800370693,-0.023895826157499057
1987,"[1442.6, 2073.8, 1090.7, 606.5, 4757.1, 916.3, 1744.7, 765.2, 1161.7, 666.4, 1558.4, 1016.4, 1353.3, 1140.0, 3189.7, 1804.6, 1483.9, 1963.3, 1000.0, 707.5, 1238.5, 917.3]","[1601.0143438482726, 1727.7332019094165, 1061.5513841852132, 242.95517826145226, 4948.042316029553, 974.8200778858384, 1673.5906793771624, 960.1402696136214, 1135.9445673306739, 803.112327647263, 1812.3343271749536, 1203.1869504603317, 967.9612504391185, 1274.8146885439685, 3822.9000716672776, 1660.0956532038388, 1041.1948514811952, 1842.602041416868, 1128.4185663263584, 873.8179491980072, 1486.4904809875443, 625.6521948061579]",0.9205220212772666,0.17441167950415623,17.441167950415622,0.14453419904263443,-0.00829726368244844
1988,"[1344.0, 2113.7, 1390.7, 232.2, 4965.0, 881.6, 2687.4, 1109.9, 1182.3, 922.1, 1619.5, 1171.8, 1640.1, 1288.2, 3774.4, 1902.0, 1800.0, 1953.1, 952.0, 871.2, 1287.0, 1806.6]","[1540.4082516782587, 1971.2199440002883, 1141.7968130277798, 342.8426339835046, 4742.323155547988, 1112.976042822287, 1535.311804021144, 991.1013372236588, 1198.9261823902832, 1076.7350442647949, 2262.520500751308, 1461.9986715284995, 1051.32279655361, 1297.4378920021181, 2717.855655499351, 1740.7555567600302, 1223.2377703437012, 1844.052086611376, 992.8664316904766, 845.9340534597303, 1372.1810904615288, 1274.6442826559887]",0.8110843602643252,0.261330896217438,26.1330896217438,0.18194264465096474,0.08555005048739375
1989,"[1443.8, 2130.1, 1261.0, 377.9, 5380.4, 1091.7, 1807.8, 1073.4, 1225.8, 1047.6, 2840.5, 1187.8, 1395.0, 1269.2, 2910.3, 1988.9, 1187.5, 2103.3, 984.5, 885.3, 1018.8, 1707.9]","[1523.1327404684062, 1928.7053565350868, 1162.8288017268621, 353.27801488675453, 4946.982339724529, 1034.4560844770908, 1716.4107593688657, 936.7057532716208, 1405.8747128217433, 872.3829907589721, 1809.5491468483485, 1165.5192805307702, 1342.0410511692544, 1543.6477776689478, 3628.65337395905, 1696.8886011949603, 1266.4220939189308, 1978.3312917746605, 1001.812396585531, 1027.0277211601615, 1292.3825400943351, 1811.7387003125389]",0.902096067100849,0.19194859409238316,19.194859409238315,0.12690261394941607,0.024057394185954248
1990,"[1815.3, 2138.3, 1188.9, 289.9, 5780.3, 1060.2, 1431.6, 965.3, 1335.8, 1100.0, 2205.1, 999.3, 1130.1, 1327.5, 3460.8, 2199.1, 1025.2, 2132.3, 1017.9, 895.4, 1240.3, 1720.6]","[1568.9248497145936, 1999.6635133615664, 1283.3454336518498, 182.6308685630019, 5407.63231149477, 1190.4084223852815, 1854.0401592262042, 1009.2697843410346, 1417.0582356168886, 816.8356859629696, 1865.1784983923355, 1335.9183237977113, 1439.653831277515, 1319.2527266756063, 3854.237872110695, 1932.4506620710274, 1366.03800472908, 2021.096534514694, 1206.9851288327905, 1121.0462595596368, 3643.044402732463, 1359.4824657963006]",0.7346147990033788,0.3450269685387595,34.50269685387595,0.19763181149652997,-0.07501519437639925
1991,"[2006.5, 1644.8, 1526.0, 396.2, 5895.1, 1382.1, 1714.0, 906.0, 1296.9, 540.8, 2257.3, 1141.9, 1129.9, 1392.1, 4044.4, 1650.2, 1155.6, 2150.5, 1052.7, 928.1, 1010.5, 1440.0]","[1930.7497407087799, 1811.8221429430464, 1199.9666713240224, 289.2617433825939, 5742.4339559834, 1117.2176136032565, 1733.9730791431173, 984.9783417841841, 1281.273697841819, 1009.6030974785912, 2169.158395580291, 1144.304799897017, 1189.1662076592038, 1516.848432188757, 3729.1065839224516, 2055.083720744474, 1099.4569354805215, 2173.1157738064385, 947.3358984859922, 909.3764717081896, 1423.4933083280937, 854.1766276614625]",0.9573185977558158,0.1453408993419196,14.53408993419196,0.10564390447471315,0.009538502420633529
1992,"[1826.6, 2198.9, 1204.0, 189.9, 6134.6, 1041.6, 731.1, 1014.0, 1386.5, 579.2, 785.3, 480.2, 1118.1, 1409.5, 4523.7, 1743.0, 1225.0, 2203.0, 1088.5, 977.1, 1543.5, 410.8]","[1434.2358388895766, 1806.776417825423, 1240.5134247571102, 337.6600308805809, 5919.2635078591575, 1170.6065901992388, 1365.9513754677296, 901.6243993997175, 1404.2406677319457, 645.4837532400188, 2145.947049603789, 1276.7857081357358, 1143.8495123922892, 1491.0979623435255, 4030.6194620173947, 1978.1726739452993, 1165.0420388077323, 2143.9014225181922, 1067.5707014921397, 953.7881037961401, 1053.095762786259, 995.269459840505]",0.8920042039449353,0.28414254952169865,28.414254952169866,0.1885414827881278,-0.05492962592319476
1993,"[1753.6, 2048.2, 1509.2, 135.3, 6078.0, 1144.2, 2522.8, 1159.9, 1523.5, 887.5, 2284.0, 1532.7, 1184.8, 1800.0, 4355.2, 1763.0, 1740.0, 2197.5, 1125.5, 977.8, 1378.5, 1652.6]","[1826.6249375006205, 2079.2729529671997, 1286.6230674184237, 273.97199024437975, 5990.971458857947, 1152.6759984871414, 1932.7798435264492, 1047.2782077716438, 1428.158671408264, 888.0270739517507, 1981.866638650357, 1327.1378867025014, 1169.234272477636, 1482.292394178526, 4375.153024503218, 1864.3607509680558, 1189.802949526993, 2189.008047999952, 1144.7931623484872, 997.6693109464406, 1520.5787476709736, 1638.8355400378268]",0.9682018253341145,0.11634701247212581,11.63470124721258,0.07546140411524195,0.04825766117160149
1994,"[1988.2, 1524.5, 1493.3, 169.8, 5906.5, 1120.8, 1502.5, 930.6, 1503.5, 862.9, 2848.1, 920.9, 1272.0, 1882.3, 4237.1, 2114.0, 1675.0, 2209.1, 1163.9, 1022.8, 1273.3, 1213.3]","[1786.9484271496337, 1930.8203711732112, 1185.9071403049963, 351.71016157769276, 7240.945113839978, 1186.789961476776, 933.714128534207, 1088.2023980677088, 1580.5895863243184, 636.1405248808808, 1705.36656001525, 890.8374929969015, 1279.0494852497882, 1480.0680460571555, 4376.90693805084, 1882.902605445724, 1484.5365473036813, 2239.8568823595574, 1171.6552943938573, 1104.653438630324, 1028.9474401290458, 602.1843011188995]",0.8579505139525481,0.2574252190416797,25.74252190416797,0.17115821068968937,0.04289153829902282
1995,"[1730.4, 2197.2, 1502.0, 947.7, 6163.0, 1155.1, 1418.5, 855.3, 1533.4, 812.6, 1380.0, 1351.7, 1266.6, 1835.5, 4522.3, 2466.0, 1120.0, 2258.0, 1203.6, 1173.7, 2206.5, 594.9]","[1926.1528439515505, 2009.6981751305236, 1567.2039420862284, 308.4222840013984, 6060.604277047737, 1169.8808855519244, 1642.4973569990032, 1155.8672956633188, 1514.2067984402586, 715.0999276260766, 2423.002791755648, 1079.6174528541826, 1547.5202508908108, 1490.7604929373601, 2964.351224460731, 2078.637176695676, 1111.5530412600667, 2297.557577022496, 1315.1959589028393, 1194.839697828911, 1572.7421748771471, 767.9604607719933]",0.8523400844005814,0.2650290313572011,26.502903135720107,0.16928971723921918,0.04485886817262354
1996,"[2089.2, 2257.2, 1515.3, 246.3, 6952.3, 1142.5, 2086.4, 940.4, 1517.5, 1249.0, 2704.3, 1443.3, 1326.1, 1834.6, 4039.7, 2015.0, 1109.9, 2486.2, 1244.6, 1081.8, 1776.6, 1415.0]","[1998.1046764099167, 2268.027965068459, 1570.5368439226036, 259.2815194044565, 6177.079710645066, 1215.6078947850885, 1803.958581059214, 1054.911936998509, 1598.7685809116897, 1111.4027543124057, 3586.4770129879903, 1255.97385648538, 1323.8424560702592, 1631.7294209460135, 4373.305197796841, 2322.5897096842855, 1114.4194216235796, 2394.3332874707335, 1326.0094264693805, 1077.8713737270987, 1685.0973184822694, 1352.5076394050889]",0.9529237718080217,0.14915090891501417,14.915090891501418,0.09148909040617229,-0.0006742271518588113
1997,"[2060.5, 1658.2, 1528.5, 286.7, 7129.8, 1148.2, 1479.4, 1067.6, 1589.4, 985.7, 2519.5, 1095.9, 1251.0, 1577.0, 4555.7, 2748.3, 1090.8, 2614.1, 1287.0, 1202.0, 1921.8, 1104.3]","[2080.9164187663346, 1948.7378963041788, 1350.2657317460487, 235.33991400098452, 6954.827320608458, 1345.4914707922676, 1865.6404896311547, 1167.6796819203132, 1641.836878485047, 766.0590978135633, 2773.9165341970047, 1474.8076078977547, 1359.548171958753, 1536.889072826476, 3546.832734827503, 2251.290790921586, 1136.9232104240325, 2399.3914490175866, 1328.7053982702319, 1153.505770746701, 1748.0869742962639, 1322.7840888019593]",0.9547359038997617,0.15892686478445558,15.892686478445558,0.112222956527559,0.01221733153894136
