year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[1187.2, 2166.2, 961.3, 148.5, 4455.4, 1329.4, 1721.1, 929.4, 1065.7, 680.0, 991.3, 1191.1, 1139.0, 1087.0, 3140.7, 1434.5, 1198.8, 1713.4, 1055.8, 807.7, 1790.0, 832.6]","[1797.4590000000005, 1945.254, 1241.4179999999997, 224.9879999999998, 4919.318999999994, 1113.5189999999998, 2024.094999999998, 1112.5620000000001, 1264.3, 809.0849999999996, 2220.8259999999996, 1311.6739999999998, 1378.7839999999994, 1237.198, 3878.3690000000015, 1786.444000000001, 1465.8629999999996, 2042.821999999998, 1155.7230000000006, 1046.8480000000006, 1607.7309999999995, 1491.0090000000002]",0.7707617061684305,0.2999595631182497,29.99595631182497,0.23487908567302995,-0.19497100828012523
1985,"[1239.8, 1954.4, 1008.6, 181.6, 4584.6, 1621.4, 1928.9, 906.1, 1117.1, 782.2, 1875.6, 1183.5, 1173.5, 1067.0, 3562.9, 1698.7, 1218.2, 1774.4, 1111.1, 889.0, 2022.0, 2163.7]","[1413.89, 2084.567000000002, 1177.7959999999998, 277.89799999999997, 5042.017999999999, 1304.0659999999996, 1841.9010000000003, 1166.5729999999992, 1218.5949999999991, 788.852, 2008.9179999999985, 1132.86, 1239.3260000000002, 1399.3630000000007, 3554.414000000002, 1589.0710000000004, 1360.817, 1830.4789999999994, 1010.0950000000005, 953.8059999999995, 1291.0140000000001, 1326.5110000000009]",0.8999945010325214,0.18444128292865788,18.444128292865788,0.12642676454399474,0.001467874732990516
1986,"[1406.7, 1696.0, 1184.5, 409.1, 4990.3, 973.7, 2091.1, 645.4, 1148.2, 708.9, 1780.9, 1084.9, 1267.9, 1072.0, 3745.0, 1701.3, 1130.5, 1883.8, 1111.1, 854.3, 1431.2, 1937.3]","[1618.6299999999992, 1737.3550000000002, 1155.0749999999996, 194.54300000000003, 4755.210999999998, 1155.3089999999997, 1692.7679999999996, 1120.2879999999998, 1259.6900000000007, 900.3279999999999, 1979.655000000002, 1293.7390000000005, 1312.3280000000007, 1227.2730000000004, 3747.3580000000006, 1751.6600000000003, 1231.7810000000002, 1858.146999999999, 1060.2590000000005, 928.387, 1294.7190000000003, 1557.601000000001]",0.9590192333337085,0.13051998488798489,13.051998488798489,0.10270764667587255,-0.01687400924268926
1987,"[1442.6, 2073.8, 1090.7, 606.5, 4757.1, 916.3, 1744.7, 765.2, 1161.7, 666.4, 1558.4, 1016.4, 1353.3, 1140.0, 3189.7, 1804.6, 1483.9, 1963.3, 1000.0, 707.5, 1238.5, 917.3]","[1635.4010000000007, 1746.7319999999997, 1162.2099999999998, 617.9919999999994, 5175.012999999997, 1134.729, 1447.4360000000004, 1047.99, 1318.5910000000001, 841.0919999999996, 1875.8389999999997, 1292.987, 1347.751, 1405.7870000000007, 3842.2610000000013, 1742.6209999999994, 1168.8669999999997, 1898.6409999999998, 1086.445, 955.1709999999996, 1429.8220000000001, 713.0980000000004]",0.9175959822211577,0.17759320743643825,17.759320743643826,0.14847839891526748,-0.07020624027928171
1988,"[1344.0, 2113.7, 1390.7, 232.2, 4965.0, 881.6, 2687.4, 1109.9, 1182.3, 922.1, 1619.5, 1171.8, 1640.1, 1288.2, 3774.4, 1902.0, 1800.0, 1953.1, 952.0, 871.2, 1287.0, 1806.6]","[1663.585000000001, 1969.5410000000008, 1218.509, 335.60399999999964, 5095.338999999996, 1194.9249999999995, 1612.8199999999995, 944.5059999999996, 1250.8829999999998, 966.8010000000004, 2215.0159999999996, 1400.6819999999998, 1152.1430000000005, 1416.9589999999996, 3024.598999999998, 1865.6100000000017, 1269.1810000000003, 1947.0569999999984, 1036.7909999999997, 929.2650000000006, 1308.7060000000006, 1292.1120000000003]",0.8547026499403574,0.22918471402504073,22.918471402504075,0.16206831314982048,0.04835819681906406
1989,"[1443.8, 2130.1, 1261.0, 377.9, 5380.4, 1091.7, 1807.8, 1073.4, 1225.8, 1047.6, 2840.5, 1187.8, 1395.0, 1269.2, 2910.3, 1988.9, 1187.5, 2103.3, 984.5, 885.3, 1018.8, 1707.9]","[1692.4269999999995, 2052.2179999999994, 1293.0829999999994, 377.413, 5217.505999999998, 1049.3649999999996, 1858.0349999999994, 1038.705, 1405.1810000000003, 913.4250000000003, 2136.1419999999985, 1189.1229999999994, 1381.8640000000003, 1587.6960000000004, 3557.684000000002, 1810.0860000000016, 1184.7379999999998, 1932.942999999999, 1111.900999999999, 1096.9859999999994, 1305.5310000000004, 1408.9350000000009]",0.9352211442408067,0.15613544402011087,15.613544402011087,0.10804980932582575,-0.00777804700083968
1990,"[1815.3, 2138.3, 1188.9, 289.9, 5780.3, 1060.2, 1431.6, 965.3, 1335.8, 1100.0, 2205.1, 999.3, 1130.1, 1327.5, 3460.8, 2199.1, 1025.2, 2132.3, 1017.9, 895.4, 1240.3, 1720.6]","[1796.588000000001, 1886.9890000000014, 1255.1480000000001, 371.19499999999994, 5388.469000000003, 1337.8120000000001, 1847.7509999999997, 1034.2969999999996, 1337.8070000000005, 832.0440000000001, 2066.7459999999987, 1256.59, 1433.15, 1425.6179999999995, 3873.320000000003, 1859.4439999999997, 1187.4800000000005, 2002.3929999999998, 1105.2450000000003, 1005.2560000000002, 1428.51, 1196.593]",0.9483415169289535,0.15222483655880734,15.222483655880733,0.12596856211875193,-0.012870414051871873
1991,"[2006.5, 1644.8, 1526.0, 396.2, 5895.1, 1382.1, 1714.0, 906.0, 1296.9, 540.8, 2257.3, 1141.9, 1129.9, 1392.1, 4044.4, 1650.2, 1155.6, 2150.5, 1052.7, 928.1, 1010.5, 1440.0]","[1693.2250000000004, 1820.3160000000003, 1306.7509999999995, 312.95800000000037, 5737.575999999998, 1220.741, 1813.1179999999995, 1033.0589999999997, 1288.9770000000012, 1008.1670000000006, 2269.4740000000006, 1166.0420000000006, 1336.5400000000006, 1454.0050000000003, 3745.407, 1948.1970000000001, 1156.9149999999995, 2179.5910000000003, 1047.8930000000005, 1001.6890000000004, 1477.376, 966.992]",0.9618770792497419,0.1373604126214694,13.736041262146939,0.1026187891417724,-0.008821464420538173
1992,"[1826.6, 2198.9, 1204.0, 189.9, 6134.6, 1041.6, 731.1, 1014.0, 1386.5, 579.2, 785.3, 480.2, 1118.1, 1409.5, 4523.7, 1743.0, 1225.0, 2203.0, 1088.5, 977.1, 1543.5, 410.8]","[1469.0670000000005, 1769.2830000000004, 1405.5469999999998, 303.6910000000002, 5613.347999999994, 1208.3029999999997, 1642.9930000000002, 980.6450000000001, 1347.262999999999, 697.1479999999999, 2350.222000000001, 1306.1219999999998, 1316.0329999999992, 1522.785, 4051.757000000004, 1981.7550000000006, 1166.614, 2105.163, 1095.6060000000007, 997.72, 1241.0869999999998, 987.6320000000004]",0.8606563471549166,0.3227575747942663,32.27575747942663,0.21792181368127506,-0.08119938132317576
1993,"[1753.6, 2048.2, 1509.2, 135.3, 6078.0, 1144.2, 2522.8, 1159.9, 1523.5, 887.5, 2284.0, 1532.7, 1184.8, 1800.0, 4355.2, 1763.0, 1740.0, 2197.5, 1125.5, 977.8, 1378.5, 1652.6]","[1875.0070000000007, 1970.1320000000007, 1339.7729999999997, 159.30800000000008, 5846.951999999999, 1198.389, 1761.3249999999991, 986.8399999999998, 1344.2959999999994, 911.2430000000005, 2371.921, 1246.9669999999994, 1313.503000000001, 1424.3320000000008, 4156.7410000000045, 2008.0909999999997, 1176.649, 2179.1250000000005, 1133.473, 965.0529999999999, 1468.1510000000007, 1348.24]",0.9528901159753349,0.141615294006792,14.161529400679198,0.10143007523224826,0.06301962025627043
