koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1984,"[1187.2, 1721.1]","[2073.0785274345676, 1338.5194789862508]",0.46922948773223155,46.922948773223155,0.436151376559611,-0.17305573923626116
11,1985,"[1239.8, 1928.9]","[2039.9540372430088, 1201.1047813197613]",0.4827410730500478,48.27410730500478,0.48220066775751813,-0.022835490441748988
11,1986,"[1406.7, 2091.1]","[2168.4724599595634, 1518.3600152845988]",0.3853376673311315,38.533766733113154,0.3815290881911385,-0.054043248683218664
11,1987,"[1442.6, 1744.7]","[2213.7691024916658, 1215.6476763242895]",0.41495053727074854,41.495053727074854,0.407938200410183,-0.07596297142282034
11,1988,"[1344.0, 2687.4]","[2144.394063211444, 1474.651090314805]",0.5097337569913898,50.97337569913898,0.4993657223040728,0.10228576833699235
11,1989,"[1443.8, 1807.8]","[2397.2988700908886, 1631.34143235084]",0.42174561400821503,42.1745614008215,0.34750813068644626,-0.2389716762337707
11,1990,"[1815.3, 1431.6]","[2411.569644573452, 1774.597048698702]",0.29961346238304776,29.961346238304778,0.2892810660236393,-0.2892810660236393
11,1991,"[2006.5, 1714.0]","[2252.4173250635586, 1733.2248556401803]",0.09376178615161251,9.376178615161251,0.07126520110300735,-0.07126520110300735
11,1992,"[1826.6, 731.1]","[2345.128141754649, 1588.112972323478]",0.5538472901607878,55.38472901607878,0.5378039309059417,-0.5378039309059417
11,1993,"[1753.6, 2522.8]","[2389.665054581293, 1852.6919645603125]",0.30554126094610723,30.554126094610723,0.3054375385887618,0.007960663375361159
11,1994,"[1988.2, 1502.5]","[2457.114424133158, 1786.6112475117443]",0.22212473119885892,22.212473119885892,0.21572339978941255,-0.21572339978941255
11,1995,"[1730.4, 1418.5]","[2557.2671351407375, 1686.8343186670493]",0.3904221517898943,39.04221517898943,0.3478044567333947,-0.3478044567333947
11,1996,"[2089.2, 2086.4]","[2556.6476803393766, 1894.8009315905679]",0.17110053416597942,17.110053416597943,0.15783282612051178,-0.06606202987114296
11,1997,"[2060.5, 1479.4]","[2637.343136839805, 2109.894491835172]",0.3414020489909068,34.14020489909068,0.34106546192688414,-0.34106546192688414
11,1998,"[2368.5, 1250.3]","[2660.3998612418077, 1996.4214634360505]",0.3131014220702044,31.31014220702044,0.28684130780309997,-0.28684130780309997
11,1999,"[2359.7, 1375.9]","[2644.017319987103, 2046.540213783287]",0.2757630400882038,27.57630400882038,0.2556369883741273,-0.2556369883741273
11,2000,"[2387.8, 1772.0]","[2683.539941908632, 2043.153616952008]",0.1364071508532206,13.64071508532206,0.13627904198774937,-0.13627904198774937
11,2001,"[2550.0, 1378.0]","[2757.1144278518377, 2121.3327097368]",0.2778193472286886,27.78193472286886,0.24196719388712776,-0.24196719388712776
11,2002,"[2761.0, 1670.9]","[2484.625324035428, 1822.3319590143296]",0.10056146545317052,10.056146545317052,0.0965289458198293,0.028191682337201283
11,2003,"[2771.0, 1725.6]","[2632.3226837696516, 2064.741596632478]",0.11523524624902212,11.523524624902212,0.10626226768287737,-0.044581301517175105
11,2004,"[3014.8, 1923.9]","[2471.376645816038, 2122.720881298712]",0.16569910613451508,16.56991061345151,0.15029141990456474,0.06977594769580057
11,2005,"[4332.1, 1859.4]","[2668.4392108711927, 2108.084556566703]",0.38422224546957356,38.42222454695736,0.3088662433490286,0.22853528750094557
11,2006,"[3953.3, 2301.3]","[2758.0466205251228, 2282.827059689733]",0.2702883332952485,27.028833329524847,0.19405338787214926,0.19405338787214926
11,2007,"[4363.6, 2334.2]","[2793.3224716131276, 2125.14106879294]",0.3344833049649849,33.44833049649849,0.26565983749797434,0.26565983749797434
11,2008,"[4832.8, 2244.2]","[2807.824683272624, 2285.0259699740072]",0.40473781514318535,40.47378151431854,0.29190353069116626,0.28036588197730233
11,2009,"[5464.3, 2069.2]","[2987.2821467910794, 2384.5529876394803]",0.4687472104359108,46.87472104359108,0.3706604952344065,0.28694031533409975
11,2010,"[4798.6, 2587.1]","[2919.0520121221257, 2515.810083389355]",0.36015456463396567,36.01545646339657,0.2641371710858171,0.2641371710858171
11,2011,"[5168.4, 2741.4]","[2842.612770873266, 2425.4569270814495]",0.4196527466766195,41.96527466766195,0.333981934062212,0.333981934062212
11,2012,"[5718.5, 2654.5]","[3011.164506985222, 2448.1489491627513]",0.4585997594425641,45.85997594425641,0.3479859720353549,0.3479859720353549
11,2013,"[5726.0, 2538.2]","[3035.9805871904664, 2428.834232880364]",0.46071062049008477,46.071062049008475,0.33873637858826855,0.33873637858826855
11,2014,"[5803.3, 2780.2]","[3045.4476807847504, 2408.271633776644]",0.45849595151131345,45.849595151131346,0.3646275628168702,0.3646275628168702
11,2015,"[5968.9, 3031.0]","[2941.266959851521, 2430.3798428451673]",0.48502305202765794,48.5023052027658,0.40314372351951816,0.40314372351951816
11,2016,"[5995.8, 2481.6]","[3179.4571315467065, 2499.06159361378]",0.46983589709199514,46.983589709199514,0.3342775452458388,0.33015798179152966
