year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[1187.2, 2166.2, 961.3, 148.5, 4455.4, 1329.4, 1721.1, 929.4, 1065.7, 680.0, 991.3, 1191.1, 1139.0, 1087.0, 3140.7, 1434.5, 1198.8, 1713.4, 1055.8, 807.7, 1790.0, 832.6]","[2133.7478533941853, 1149.4996904509621, 1435.0701065020046, 623.5359511257257, 2135.959283789986, 1472.3700868262572, 2034.7874183804606, 901.9699324964624, 1831.9173604289174, 744.444069531203, 2820.9553678955217, 1306.6298674939862, 1237.938606287665, 1938.9852330024992, 3331.706136835852, 2488.333431959537, 1348.197666624662, 2624.027677706898, 549.1862991923067, 677.4500158544258, 1987.1736469761377, 1364.698028810572]",0.11719257520713056,0.5886431807631467,58.86431807631467,0.42265554768398034,-0.16478009584079953
1985,"[1239.8, 1954.4, 1008.6, 181.6, 4584.6, 1621.4, 1928.9, 906.1, 1117.1, 782.2, 1875.6, 1183.5, 1173.5, 1067.0, 3562.9, 1698.7, 1218.2, 1774.4, 1111.1, 889.0, 2022.0, 2163.7]","[2158.8507799700405, 1245.4453743102165, 1803.4159832190983, 309.6528140448968, 1951.6666325947676, 1338.899464657513, 2137.5816158791176, 1271.0843322969731, 1810.6037289902092, 532.0337367460163, 2451.355645587874, 1349.1884576446655, 1069.1637573363605, 1789.5543142477031, 3275.9481895995405, 2553.6775132817684, 1108.8143964222095, 2563.660392049375, 543.4554308435161, 907.0740215448518, 1515.8635676295403, 1300.351552538139]",0.29555394819711933,0.48951957549099373,48.951957549099376,0.35784993557774586,0.0021947764126364544
1986,"[1406.7, 1696.0, 1184.5, 409.1, 4990.3, 973.7, 2091.1, 645.4, 1148.2, 708.9, 1780.9, 1084.9, 1267.9, 1072.0, 3745.0, 1701.3, 1130.5, 1883.8, 1111.1, 854.3, 1431.2, 1937.3]","[2202.6415886351174, 846.1988936383275, 1414.779066982427, 478.93645314276455, 2096.890497375211, 1151.9572489763136, 2080.7708954263276, 822.1280871841379, 1567.860867514653, 813.9005305612388, 2655.6978742811434, 1401.939680507783, 1129.19319961773, 1905.7379548539934, 3082.796534389642, 2632.492740668682, 1086.11719712092, 2556.448741409382, 443.05736957963245, 777.9829210100454, 1479.6617675607822, 1354.2367463090904]",0.36085089878560683,0.5154518072359333,51.54518072359333,0.3380570018716443,0.00796030674443806
1987,"[1442.6, 2073.8, 1090.7, 606.5, 4757.1, 916.3, 1744.7, 765.2, 1161.7, 666.4, 1558.4, 1016.4, 1353.3, 1140.0, 3189.7, 1804.6, 1483.9, 1963.3, 1000.0, 707.5, 1238.5, 917.3]","[2205.5819163482274, 846.73206926627, 1282.6512493168398, 122.23617362599157, 2088.2202844669664, 1206.7729731765926, 1736.1082682638294, 634.7811830666367, 1596.3427821113044, 492.13607629707735, 2695.3790126758868, 957.2075599558082, 1278.8709623780303, 1472.947578584594, 3142.06906936423, 2474.49197788018, 1166.4654354992322, 2417.800502016522, 317.17464985596007, 812.09220952687, 1792.2906587119692, 846.2437670671493]",0.309627460083265,0.5140364453170758,51.403644531707585,0.3337271836910294,0.03108493616287654
1988,"[1344.0, 2113.7, 1390.7, 232.2, 4965.0, 881.6, 2687.4, 1109.9, 1182.3, 922.1, 1619.5, 1171.8, 1640.1, 1288.2, 3774.4, 1902.0, 1800.0, 1953.1, 952.0, 871.2, 1287.0, 1806.6]","[2101.0217544048514, 1001.1014376893702, 1316.7772259819376, 926.6193787405573, 2045.0763032768937, 1370.62310714962, 1826.7177321398517, 729.8223226095913, 1679.498825293299, 589.8842225143821, 2597.989600146272, 1153.7176146787986, 1103.5714096222455, 1559.6231728785046, 2809.275393637934, 2347.866149120803, 1007.758279087655, 2489.798923396931, 470.7816521559537, 798.7132813828657, 1492.1475613664122, 1173.7768720698905]",0.26898242506073955,0.5140681655313971,51.40681655313971,0.38089960443341286,0.11661908400791927
1989,"[1443.8, 2130.1, 1261.0, 377.9, 5380.4, 1091.7, 1807.8, 1073.4, 1225.8, 1047.6, 2840.5, 1187.8, 1395.0, 1269.2, 2910.3, 1988.9, 1187.5, 2103.3, 984.5, 885.3, 1018.8, 1707.9]","[1993.6206121865093, 1214.1151595442452, 1280.6634326481449, 318.34120576940177, 2046.6603173610097, 1346.227872283847, 1779.9156997175508, 647.1835259884715, 1703.8778327538205, 380.7242631706267, 2512.506384536222, 930.8438839988216, 1111.8110819949432, 1704.841264571464, 3084.721204920378, 2694.183930709687, 925.103691655372, 2603.804461698678, 582.4310118995702, 864.8639277855991, 1470.4164578593598, 1093.7152875315846]",0.32573566692482414,0.5037324863993636,50.373248639936364,0.3074752985029246,0.11090566761883591
1990,"[1815.3, 2138.3, 1188.9, 289.9, 5780.3, 1060.2, 1431.6, 965.3, 1335.8, 1100.0, 2205.1, 999.3, 1130.1, 1327.5, 3460.8, 2199.1, 1025.2, 2132.3, 1017.9, 895.4, 1240.3, 1720.6]","[2075.1407983792305, 1486.917146150171, 1556.5458115554784, 325.46318710569835, 2217.797835640662, 1334.6435881142029, 1690.5746261823313, 896.1016125452545, 1691.7350244043914, 516.9996440986263, 2570.0452286982904, 852.8651130189769, 1469.733271192096, 1606.507319334949, 3505.0539195054225, 2675.9333536980994, 1006.8287313872518, 2586.670795560599, 655.8203186696223, 963.7189965855482, 1586.0906172862146, 1086.9887220517653]",0.4327550412393809,0.5044289625652516,50.44289625652516,0.2729664231261307,0.05762672628129853
1991,"[2006.5, 1644.8, 1526.0, 396.2, 5895.1, 1382.1, 1714.0, 906.0, 1296.9, 540.8, 2257.3, 1141.9, 1129.9, 1392.1, 4044.4, 1650.2, 1155.6, 2150.5, 1052.7, 928.1, 1010.5, 1440.0]","[1885.1774970552208, 1110.4495830385445, 1366.7103024562102, 803.4303982289505, 2172.056711232279, 1152.1455401583748, 1782.4471825968985, 688.5819537313096, 1671.9302387386404, 622.6567962231575, 2654.6289237645206, 1031.0539237850949, 1200.5922084715266, 1729.1304182216566, 3338.000881551752, 2477.579291966098, 772.5986263880504, 2561.5120393027673, 581.0456859669878, 788.1355182575669, 1796.538094690904, 1118.6607498130288]",0.4260065788220946,0.5329935592324918,53.29935592324918,0.29678542722550844,0.09155458120650654
1992,"[1826.6, 2198.9, 1204.0, 189.9, 6134.6, 1041.6, 731.1, 1014.0, 1386.5, 579.2, 785.3, 480.2, 1118.1, 1409.5, 4523.7, 1743.0, 1225.0, 2203.0, 1088.5, 977.1, 1543.5, 410.8]","[1786.1976361449836, 1631.7479817083436, 1240.635677929412, 390.5264541742674, 2250.357002765326, 1049.8742760110727, 1400.353587891026, 476.6969552397436, 1882.5572467490651, 388.8153276948394, 2507.6271725676415, 642.3267209268195, 1110.3854370688591, 1683.7736969181108, 3304.2165521038905, 2342.5531788030576, 1049.527813585729, 2848.1729857325704, 466.50165429753883, 575.0134323721859, 1390.5384944741056, 867.1319767455657]",0.4180039247062277,0.659618573359064,65.9618573359064,0.3865202589154542,0.07477853138471366
1993,"[1753.6, 2048.2, 1509.2, 135.3, 6078.0, 1144.2, 2522.8, 1159.9, 1523.5, 887.5, 2284.0, 1532.7, 1184.8, 1800.0, 4355.2, 1763.0, 1740.0, 2197.5, 1125.5, 977.8, 1378.5, 1652.6]","[1982.313883846504, 1091.8102674581319, 1338.9400663861843, 811.2218991064599, 2110.3796812991354, 1310.47048791116, 1890.4916486699651, 678.3171644921804, 1774.6257005068437, 766.4140770016616, 2936.856642430471, 1026.2879259883873, 1310.386275615509, 1747.971600460987, 3332.1767792158753, 2418.5337323056447, 1069.2209453399155, 2636.666170733277, 537.8588336211906, 779.0201291490794, 1545.3020359130867, 1340.846223858506]",0.3384174963368358,0.5306964058968827,53.06964058968827,0.3200104403866082,0.15502082820963553
