country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Lao People's Democratic Republic,1984,[1187.2],[1349.3721923828125],0.1366005663601857,13.66005663601857,0.1366005663601857,-0.1366005663601857,11
Lao People's Democratic Republic,1985,[1239.8],[1284.7911376953125],0.036289028629869775,3.6289028629869775,0.036289028629869775,-0.036289028629869775,11
Lao People's Democratic Republic,1986,[1406.7],[1293.19677734375],0.0806875827512974,8.068758275129738,0.0806875827512974,0.0806875827512974,11
Lao People's Democratic Republic,1987,[1442.6],[1265.989990234375],0.12242479534564323,12.242479534564323,0.12242479534564323,0.12242479534564323,11
Lao People's Democratic Republic,1988,[1344.0],[1508.21337890625],0.12218257359095983,12.218257359095983,0.12218257359095983,-0.12218257359095983,11
Lao People's Democratic Republic,1989,[1443.8],[1451.18310546875],0.0051136621891882846,0.5113662189188285,0.0051136621891882846,-0.0051136621891882846,11
Lao People's Democratic Republic,1990,[1815.3],[1516.6949462890625],0.16449350174127553,16.449350174127552,0.16449350174127553,0.16449350174127553,11
Lao People's Democratic Republic,1991,[2006.5],[1907.1513671875],0.04951339786319462,4.951339786319462,0.04951339786319462,0.04951339786319462,11
Lao People's Democratic Republic,1992,[1826.6],[2014.171630859375],0.10268894714736401,10.268894714736401,0.10268894714736401,-0.10268894714736401,11
Lao People's Democratic Republic,1993,[1753.6],[1858.25927734375],0.05968252585752173,5.968252585752173,0.05968252585752173,-0.05968252585752173,11
Lao People's Democratic Republic,1994,[1988.2],[1789.354248046875],0.10001295239569713,10.001295239569712,0.10001295239569713,0.10001295239569713,11
Lao People's Democratic Republic,1995,[1730.4],[1998.545654296875],0.1549616587476161,15.49616587476161,0.1549616587476161,-0.1549616587476161,11
Lao People's Democratic Republic,1996,[2089.2],[1758.8431396484375],0.15812601012424007,15.812601012424008,0.15812601012424007,0.15812601012424007,11
Lao People's Democratic Republic,1997,[2060.5],[1983.849365234375],0.03720001687242174,3.720001687242174,0.03720001687242174,0.03720001687242174,11
Lao People's Democratic Republic,1998,[2368.5],[2361.714111328125],0.0028650574928752374,0.28650574928752376,0.0028650574928752374,0.0028650574928752374,11
Lao People's Democratic Republic,1999,[2359.7],[2335.783935546875],0.010135213990390652,1.0135213990390652,0.010135213990390652,0.010135213990390652,11
Lao People's Democratic Republic,2000,[2387.8],[2751.8388671875],0.15245785542654317,15.245785542654316,0.15245785542654317,-0.15245785542654317,11
Lao People's Democratic Republic,2001,[2550.0],[2432.662353515625],0.04601476332720588,4.601476332720588,0.04601476332720588,0.04601476332720588,11
Lao People's Democratic Republic,2002,[2761.0],[2715.994140625],0.01630056478630931,1.6300564786309308,0.01630056478630931,0.01630056478630931,11
Lao People's Democratic Republic,2003,[2771.0],[2729.950439453125],0.0148139879274179,1.48139879274179,0.0148139879274179,0.0148139879274179,11
Lao People's Democratic Republic,2004,[3014.8],[2480.27734375],0.17729954101432935,17.729954101432934,0.17729954101432935,0.17729954101432935,11
Lao People's Democratic Republic,2005,[4332.1],[2719.9326171875],0.3721445448656541,37.214454486565415,0.3721445448656541,0.3721445448656541,11
Lao People's Democratic Republic,2006,[3953.3],[5141.43994140625],0.3005438346207598,30.05438346207598,0.3005438346207598,-0.3005438346207598,11
Lao People's Democratic Republic,2007,[4363.6],[4172.10400390625],0.043884864812024554,4.388486481202455,0.043884864812024554,0.043884864812024554,11
Lao People's Democratic Republic,2008,[4832.8],[5097.2666015625],0.05472326633887183,5.472326633887183,0.05472326633887183,-0.05472326633887183,11
Lao People's Democratic Republic,2009,[5464.3],[4834.1103515625],0.11532852303817509,11.53285230381751,0.11532852303817509,0.11532852303817509,11
Lao People's Democratic Republic,2010,[4798.6],[5444.3505859375],0.13457062183501428,13.457062183501428,0.13457062183501428,-0.13457062183501428,11
Lao People's Democratic Republic,2011,[5168.4],[5147.20361328125],0.004101150591817514,0.4101150591817514,0.004101150591817514,0.004101150591817514,11
Lao People's Democratic Republic,2012,[5718.5],[5118.9150390625],0.10485004125863426,10.485004125863426,0.10485004125863426,0.10485004125863426,11
Lao People's Democratic Republic,2013,[5726.0],[5825.4013671875],0.017359651971271393,1.7359651971271393,0.017359651971271393,-0.017359651971271393,11
Lao People's Democratic Republic,2014,[5803.3],[5428.6025390625],0.0645662745226854,6.45662745226854,0.0645662745226854,0.0645662745226854,11
Lao People's Democratic Republic,2015,[5968.9],[5459.3076171875],0.08537458875379042,8.537458875379041,0.08537458875379042,0.08537458875379042,11
Lao People's Democratic Republic,2016,[5995.8],[5916.8310546875],0.013170710382684575,1.3170710382684576,0.013170710382684575,0.013170710382684575,11
Lao People's Democratic Republic,2017,[5755.7],[5399.43115234375],0.06189843940029012,6.189843940029012,0.06189843940029012,0.06189843940029012,11
Lao People's Democratic Republic,2018,[5927.3],[5127.361328125],0.13495835740978188,13.495835740978187,0.13495835740978188,0.13495835740978188,11
Lao People's Democratic Republic,2019,[5230.2],[5173.51025390625],0.010838925106831444,1.0838925106831443,0.010838925106831444,0.010838925106831444,11
Lao People's Democratic Republic,2020,[5225.6],[5250.67578125],0.004798641543554737,0.4798641543554737,0.004798641543554737,-0.004798641543554737,11
Lao People's Democratic Republic,2021,[4826.0],[5336.37353515625],0.10575498034733734,10.575498034733734,0.10575498034733734,-0.10575498034733734,11
Lao People's Democratic Republic,2022,[4989.4],[5381.3310546875],0.0785527427521346,7.85527427521346,0.0785527427521346,-0.0785527427521346,11
El Salvador,1984,[2166.2],[2295.875],0.05986289354630237,5.986289354630237,0.05986289354630237,-0.05986289354630237,3
El Salvador,1985,[1954.4],[2122.61962890625],0.0860722620273485,8.60722620273485,0.0860722620273485,-0.0860722620273485,3
El Salvador,1986,[1696.0],[1910.77587890625],0.12663672105321344,12.663672105321345,0.12663672105321344,-0.12663672105321344,3
El Salvador,1987,[2073.8],[1814.9927978515625],0.12479853512799578,12.479853512799579,0.12479853512799578,0.12479853512799578,3
El Salvador,1988,[2113.7],[2026.1650390625],0.041413143273643295,4.14131432736433,0.041413143273643295,0.041413143273643295,3
El Salvador,1989,[2130.1],[2153.7021484375],0.011080300660767144,1.1080300660767144,0.011080300660767144,-0.011080300660767144,3
El Salvador,1990,[2138.3],[2030.339111328125],0.05048912157876592,5.048912157876592,0.05048912157876592,0.05048912157876592,3
El Salvador,1991,[1644.8],[2067.967041015625],0.25727568155132846,25.727568155132847,0.25727568155132846,-0.25727568155132846,3
El Salvador,1992,[2198.9],[1823.94189453125],0.17052076286722911,17.05207628672291,0.17052076286722911,0.17052076286722911,3
El Salvador,1993,[2048.2],[1959.397705078125],0.04335626155740398,4.335626155740398,0.04335626155740398,0.04335626155740398,3
El Salvador,1994,[1524.5],[1938.9344482421875],0.27184942488828306,27.184942488828305,0.27184942488828306,-0.27184942488828306,3
El Salvador,1995,[2197.2],[2079.77490234375],0.05344306283280986,5.344306283280986,0.05344306283280986,0.05344306283280986,3
El Salvador,1996,[2257.2],[2165.34423828125],0.0406945603928539,4.06945603928539,0.0406945603928539,0.0406945603928539,3
El Salvador,1997,[1658.2],[1953.4593505859375],0.17806015594375676,17.806015594375676,0.17806015594375676,-0.17806015594375676,3
El Salvador,1998,[1906.2],[2193.4814453125],0.15070897351405935,15.070897351405934,0.15070897351405935,-0.15070897351405935,3
El Salvador,1999,[2504.7],[2058.806884765625],0.17802256367404273,17.802256367404272,0.17802256367404273,0.17802256367404273,3
El Salvador,2000,[2247.5],[1651.3870849609375],0.26523377754796995,26.523377754796996,0.26523377754796995,0.26523377754796995,3
El Salvador,2001,[1943.1],[2125.57373046875],0.0939085638766662,9.39085638766662,0.0939085638766662,-0.0939085638766662,3
El Salvador,2002,[2604.1],[2045.7132568359375],0.2144259986805662,21.442599868056618,0.2144259986805662,0.2144259986805662,3
El Salvador,2003,[2747.1],[2925.49755859375],0.06494032201002879,6.494032201002879,0.06494032201002879,-0.06494032201002879,3
El Salvador,2004,[2764.1],[2994.5791015625],0.08338305472396082,8.338305472396081,0.08338305472396082,-0.08338305472396082,3
El Salvador,2005,[2943.4],[2984.072998046875],0.013818372646216928,1.3818372646216928,0.013818372646216928,-0.013818372646216928,3
El Salvador,2006,[3079.4],[2905.83984375],0.056361679629148564,5.636167962914857,0.056361679629148564,0.056361679629148564,3
El Salvador,2007,[2910.7],[2986.114013671875],0.025909236153459712,2.590923615345971,0.025909236153459712,-0.025909236153459712,3
El Salvador,2008,[3389.5],[2611.055419921875],0.22966354331852043,22.966354331852042,0.22966354331852043,0.22966354331852043,3
El Salvador,2009,[3004.1],[3160.101806640625],0.05192963171686199,5.192963171686199,0.05192963171686199,-0.05192963171686199,3
El Salvador,2010,[3025.3],[2890.09228515625],0.0446923329401217,4.469233294012169,0.0446923329401217,0.0446923329401217,3
El Salvador,2011,[2818.1],[3111.028076171875],0.10394523834210109,10.394523834210109,0.10394523834210109,-0.10394523834210109,3
El Salvador,2012,[3258.0],[2993.06494140625],0.08131831141612952,8.131831141612953,0.08131831141612952,0.08131831141612952,3
El Salvador,2013,[2946.1],[2928.276611328125],0.0060498247418196635,0.6049824741819664,0.0060498247418196635,0.0060498247418196635,3
El Salvador,2014,[2606.4],[2731.515380859375],0.04800313875820093,4.800313875820093,0.04800313875820093,-0.04800313875820093,3
El Salvador,2015,[2511.0],[2621.251220703125],0.043907296178066504,4.390729617806651,0.043907296178066504,-0.043907296178066504,3
El Salvador,2016,[3042.5],[2677.2470703125],0.12005026448233361,12.00502644823336,0.12005026448233361,0.12005026448233361,3
El Salvador,2017,[3186.7],[3035.479248046875],0.04745371448618471,4.745371448618471,0.04745371448618471,0.04745371448618471,3
El Salvador,2018,[2531.2],[3014.53369140625],0.19095041537857546,19.095041537857547,0.19095041537857546,-0.19095041537857546,3
El Salvador,2019,[2971.5],[2997.5361328125],0.008761949457344775,0.8761949457344774,0.008761949457344775,-0.008761949457344775,3
El Salvador,2020,[2949.4],[3011.414306640625],0.021026075351130706,2.1026075351130706,0.021026075351130706,-0.021026075351130706,3
El Salvador,2021,[3177.1],[2981.651123046875],0.061518012323541885,6.151801232354188,0.061518012323541885,0.061518012323541885,3
El Salvador,2022,[2896.6],[2774.5205078125],0.042145788920631054,4.2145788920631055,0.042145788920631054,0.042145788920631054,3
Ghana,1984,[961.3],[1257.001220703125],0.3076055557090659,30.76055557090659,0.3076055557090659,-0.3076055557090659,3
Ghana,1985,[1008.6],[1027.5919189453125],0.018829981107785523,1.8829981107785523,0.018829981107785523,-0.018829981107785523,3
Ghana,1986,[1184.5],[1106.3314208984375],0.0659928907569122,6.59928907569122,0.0659928907569122,0.0659928907569122,3
Ghana,1987,[1090.7],[1227.1676025390625],0.1251192835234826,12.511928352348258,0.1251192835234826,-0.1251192835234826,3
Ghana,1988,[1390.7],[1232.9842529296875],0.11340745456986592,11.340745456986593,0.11340745456986592,0.11340745456986592,3
Ghana,1989,[1261.0],[1423.504150390625],0.12886927073007534,12.886927073007534,0.12886927073007534,-0.12886927073007534,3
Ghana,1990,[1188.9],[1198.6424560546875],0.00819451262064716,0.819451262064716,0.00819451262064716,-0.00819451262064716,3
Ghana,1991,[1526.0],[1420.9010009765625],0.06887221430107307,6.887221430107307,0.06887221430107307,0.06887221430107307,3
