koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
5,1984,"[2096.8, 2306.8]","[2435.726368785659, 1795.4635097233054]",0.19701308374483226,19.701308374483226,0.19308358140211496,0.03915208499660189
5,1985,"[2300.9, 1617.7]","[2506.5853581895, 1871.6356285323186]",0.1179366776545156,11.79366776545156,0.11729214176538005,-0.11729214176538005
5,1986,"[2856.5, 1781.9]","[2531.9360438066524, 1905.2289630312962]",0.10586042667536219,10.58604266753622,0.09656194360655479,0.04338457079209459
5,1987,"[2770.1, 1884.7]","[2936.7234638344116, 1870.058781635908]",0.05081832168043748,5.081832168043747,0.038941454455294275,-0.032650649967843864
5,1988,"[3007.5, 1834.4]","[3065.0573073784044, 2494.2485399558705]",0.19345920730773597,19.345920730773596,0.14816618421162658,-0.14816618421162658
5,1989,"[3267.7, 1894.7]","[2987.0392968027095, 1842.8504849057867]",0.07818660514451467,7.818660514451467,0.06441000664255069,0.06441000664255069
5,1990,"[2948.1, 1894.7]","[3377.8629033851107, 1901.7419424334632]",0.1255179053158659,12.55179053158659,0.09019675514548897,-0.09019675514548897
5,1991,"[3405.7, 1897.2]","[3290.9597602068593, 1777.248568976024]",0.04426813996374126,4.4268139963741255,0.04425723110319195,0.04425723110319195
5,1992,"[3378.7, 1662.5, 2180.9]","[3169.5592621760534, 2322.8378442924777, 2211.953952120921]",0.16628646304710135,16.628646304710134,0.12469123028445254,-0.06677435352452223
5,1993,"[3350.0, 1358.5, 2327.2]","[3522.7859037854637, 1561.3290020059733, 2030.063613221994]",0.09825173217818735,9.825173217818735,0.09561966720716386,-0.01115432991933016
5,1994,"[3515.7, 1515.0, 2023.7]","[3473.1432501034005, 2115.286456029441, 2258.8833413731923]",0.15863943651796844,15.863943651796845,0.12446509232524844,-0.11239978559566144
5,1995,"[3550.0, 2142.1, 2167.5]","[3358.573479301633, 2205.6976397826547, 1920.8106441513116]",0.07022442560270047,7.022442560270046,0.06383448474855082,0.047651055621711076
5,1996,"[3327.8, 2063.5, 1934.4]","[3626.019496700049, 2077.0209821000863, 2132.863300491558]",0.08475632753152608,8.475632753152608,0.06964573751200473,-0.06964573751200473
5,1997,"[4017.4, 2199.4, 2242.6]","[3474.4997082463838, 2503.28352855881, 1969.8072459883413]",0.13909379993598675,13.909379993598675,0.13234704285458598,0.060501869778762714
5,1998,"[4384.6, 2633.4, 2608.8]","[3592.034473281455, 2098.5212221483644, 2183.499499722802]",0.18828368663941375,18.828368663941376,0.18206930702282997,0.18206930702282997
5,1999,"[3534.2, 2646.0, 2302.8]","[4355.947596595563, 2728.805676794505, 2808.051199763344]",0.19768545478734076,19.768545478734076,0.1661917332492528,-0.1661917332492528
5,2000,"[3812.0, 2717.4, 2487.3]","[3680.334846816015, 2445.284094606123, 2423.4840127139273]",0.059348935914059486,5.934893591405949,0.051859000062543376,0.051859000062543376
5,2001,"[4299.9, 3150.9, 2493.4]","[3992.469389545433, 2663.303531714002, 2339.6611870059573]",0.10390931393429015,10.390931393429014,0.09540897123294056,0.09540897123294056
5,2002,"[4272.2, 4041.0, 2239.8]","[3717.4309138632357, 2654.310780899171, 2439.3199635972223]",0.2473112695544292,24.73112695544292,0.20287863819149204,0.16506570090404352
5,2003,"[4323.0, 3731.5, 2036.1]","[4312.061991962438, 3531.9973689438552, 2587.740250547862]",0.10070862675258324,10.070862675258324,0.0755238429470566,-0.03381360984026275
5,2004,"[4571.0, 3745.7, 2544.1]","[3688.8787628687082, 3529.3218786450598, 4095.4781774741737]",0.28669258113517543,28.669258113517543,0.2439854832020114,-0.04169847699874244
5,2005,"[4413.0, 4207.3, 2635.6]","[4234.523321867371, 4021.4998151648283, 2610.6974794188122]",0.03982942979727109,3.9829429797271088,0.03457559000604025,0.03457559000604025
5,2006,"[4460.1, 4210.8, 2530.2]","[4547.123773308718, 4132.228823314184, 2512.874283149951]",0.018326850580698495,1.8326850580698495,0.016330598498770853,0.0007921650754967368
5,2007,"[4785.9, 4478.6, 2623.4]","[5660.820516565987, 4691.727148732079, 4549.672214146538]",0.3098086714222401,30.98086714222401,0.25356201511155074,-0.25356201511155074
5,2008,"[4574.8, 4477.1, 2827.1]","[5438.800674363666, 4725.2874382203645, 2001.1908436787703]",0.177994242280733,17.7994242280733,0.16315323418682204,-0.024099583825473555
5,2009,"[4080.9, 4901.3, 1962.8]","[4784.098894204441, 4511.645481032071, 2668.5724752312203]",0.16929349047209288,16.92934904720929,0.16433310995007683,-0.09313082233601942
5,2010,"[5765.8, 4600.0, 2711.3]","[5613.415742623038, 4756.16793973665, 2590.9070305522987]",0.03300718292455809,3.300718292455809,0.03280124542607411,0.008917060134740447
5,2011,"[5806.0, 4556.0, 3506.3]","[4629.794247198546, 4540.001738656655, 2681.6927613442117]",0.17941549462281936,17.941549462281937,0.1454259896887569,0.1454259896887569
5,2012,"[4946.8, 4709.5, 3219.9]","[5836.573597138242, 4640.505565081148, 3049.8098035026264]",0.12220865901652586,12.220865901652585,0.08767013781662814,-0.050534238806636766
5,2013,"[5814.3, 4739.3, 2658.1]","[5011.00208404269, 4637.493630294421, 3088.3526610916665]",0.12020993999609897,12.020993999609896,0.10107381690127361,0.035941750461426114
5,2014,"[5329.0, 4782.1, 2661.9]","[4154.016138197581, 4665.509449223816, 3301.740315226082]",0.18211048303667485,18.211048303667486,0.15121073575547525,0.05102435585630009
5,2015,"[5632.6, 4817.5, 2810.0]","[5270.952227193921, 4735.043275148789, 3115.042076189372]",0.06273069496615753,6.273069496615753,0.05649629896054043,0.010487283012037487
5,2016,"[6070.6, 4802.3, 2862.3]","[5828.426997158516, 4917.3052380926765, 3330.03201328597]",0.06798431323086337,6.798431323086337,0.06005811740783754,-0.024794997418105466
