country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Chile,1984,[2096.8],[2780.481000000001],0.3260592331171313,32.605923311713134,0.3260592331171313,-0.3260592331171313,5
Chile,1985,[2300.9],[2719.4179999999997],0.18189317223695056,18.189317223695056,0.18189317223695056,-0.18189317223695056,5
Chile,1986,[2856.5],[2807.629000000001],0.017108699457377623,1.7108699457377623,0.017108699457377623,0.017108699457377623,5
Chile,1987,[2770.1],[2797.678],0.00995559727085664,0.995559727085664,0.00995559727085664,-0.00995559727085664,5
Chile,1988,[3007.5],[3010.648000000004],0.0010467165419796429,0.10467165419796429,0.0010467165419796429,-0.0010467165419796429,5
Chile,1989,[3267.7],[2958.149000000001],0.09473054441962207,9.473054441962207,0.09473054441962207,0.09473054441962207,5
Chile,1990,[2948.1],[3269.7080000000033],0.10908992232285315,10.908992232285316,0.10908992232285315,-0.10908992232285315,5
Chile,1991,[3405.7],[3139.766000000002],0.0780849751886537,7.80849751886537,0.0780849751886537,0.0780849751886537,5
Chile,1992,[3378.7],[3279.618000000002],0.029325480214282895,2.9325480214282895,0.029325480214282895,0.029325480214282895,5
Chile,1993,[3350.0],[3317.021000000002],0.0098444776119397,0.9844477611939699,0.0098444776119397,0.0098444776119397,5
Chile,1994,[3515.7],[3664.239],0.04225019199590415,4.225019199590415,0.04225019199590415,-0.04225019199590415,5
Chile,1995,[3550.0],[3374.412000000002],0.04946140845070364,4.946140845070364,0.04946140845070364,0.04946140845070364,5
Chile,1996,[3327.8],[3674.463000000002],0.10417182522988215,10.417182522988215,0.10417182522988215,-0.10417182522988215,5
Chile,1997,[4017.4],[3583.4570000000017],0.10801588091800626,10.801588091800626,0.10801588091800626,0.10801588091800626,5
Chile,1998,[4384.6],[3772.127000000002],0.1396873146923318,13.96873146923318,0.1396873146923318,0.1396873146923318,5
Chile,1999,[3534.2],[4218.27],0.19355724067681532,19.355724067681532,0.19355724067681532,-0.19355724067681532,5
Chile,2000,[3812.0],[3924.885000000004],0.029613064008395557,2.9613064008395558,0.029613064008395557,-0.029613064008395557,5
Chile,2001,[4299.9],[4114.213999999999],0.04318379497197623,4.318379497197624,0.04318379497197623,0.04318379497197623,5
Chile,2002,[4272.2],[4314.331000000002],0.00986166377978609,0.986166377978609,0.00986166377978609,-0.00986166377978609,5
Chile,2003,[4323.0],[4306.257000000001],0.0038730048577373523,0.3873004857737352,0.0038730048577373523,0.0038730048577373523,5
Chile,2004,[4571.0],[4199.805000000003],0.08120651936118944,8.120651936118945,0.08120651936118944,0.08120651936118944,5
Chile,2005,[4413.0],[4307.673],0.02386743711760712,2.386743711760712,0.02386743711760712,0.02386743711760712,5
Chile,2006,[4460.1],[4269.572000000004],0.04271832470123912,4.271832470123912,0.04271832470123912,0.04271832470123912,5
Chile,2007,[4785.9],[4411.481000000002],0.0782337700328043,7.823377003280429,0.0782337700328043,0.0782337700328043,5
Chile,2008,[4574.8],[4561.748000000001],0.0028530208970881286,0.2853020897088129,0.0028530208970881286,0.0028530208970881286,5
Chile,2009,[4080.9],[4917.9959999999965],0.20512533999852883,20.512533999852884,0.20512533999852883,-0.20512533999852883,5
Chile,2010,[5765.8],[4652.123000000003],0.19315220784626538,19.31522078462654,0.19315220784626538,0.19315220784626538,5
Chile,2011,[5806.0],[5365.1039999999975],0.07593799517740311,7.593799517740312,0.07593799517740311,0.07593799517740311,5
Chile,2012,[4946.8],[5818.8219999999965],0.17628001940648425,17.628001940648424,0.17628001940648425,-0.17628001940648425,5
