koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
5,1984,"[2096.8, 2306.8]","[2650.127854773476, 2166.5220326783738]",0.18332248946463683,18.332248946463682,0.1575088159903493,-0.09379823041417235
5,1985,"[2300.9, 1617.7]","[2800.5121996574444, 2408.6410202313505]",0.33762743546403595,33.7627435464036,0.32934038174062025,-0.32934038174062025
5,1986,"[2856.5, 1781.9]","[2636.8434391285423, 2561.132328167385]",0.24684097599537877,24.68409759953788,0.21535203713324477,-0.1206398256502085
5,1987,"[2770.1, 1884.7]","[2924.399734370006, 3005.917425013584]",0.34385697972974494,34.38569797297449,0.2740219041384356,-0.2740219041384356
5,1988,"[3007.5, 1834.4]","[3056.027379208044, 3077.59880748493]",0.36338782884715054,36.33878288471505,0.2667808477442686,-0.2667808477442686
5,1989,"[3267.7, 1894.7]","[2859.5209081441026, 2819.4469688144804]",0.27691042672497285,27.691042672497286,0.25819891148891555,-0.1000635125055368
5,1990,"[2948.1, 1894.7]","[3159.01026941511, 2833.454312537957]",0.28097238363678273,28.097238363678272,0.2373966676206052,-0.2373966676206052
5,1991,"[3405.7, 1897.2]","[3181.6730030196036, 2877.621699630359]",0.26820459464675644,26.820459464675643,0.22713019227418121,-0.14263793446038261
5,1992,"[3378.7, 1662.5, 2180.9]","[3492.0405159053594, 2217.835126527717, 3065.488954648297]",0.25195946467110464,25.195946467110463,0.21507104541357405,-0.21507104541357405
5,1993,"[3350.0, 1358.5, 2327.2]","[3370.297271456561, 857.6400065352382, 3058.795882449146]",0.21832533068421048,21.832533068421046,0.17805664644178534,-0.03567991250919529
5,1994,"[3515.7, 1515.0, 2023.7]","[4088.497057878945, 1787.7076498183264, 3060.1629108980387]",0.2983663318536737,29.836633185367372,0.2667792609712109,-0.2667792609712109
5,1995,"[3550.0, 2142.1, 2167.5]","[3322.0871073600592, 2690.4215130411108, 2953.6249061562767]",0.2171094820688349,21.71094820688349,0.19878356555515908,-0.14078751164912295
5,1996,"[3327.8, 2063.5, 1934.4]","[3448.0920565160714, 2548.6476073658855, 3017.479496826315]",0.2820321530133177,28.20321530133177,0.2304925345985055,-0.2304925345985055
5,1997,"[4017.4, 2199.4, 2242.6]","[3489.584539669323, 2715.51810025043, 2674.504850208252]",0.1751180287010951,17.51180287010951,0.17446135787282302,-0.04967343902971899
