year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1984,"[2096.8, 955.8, 3666.8, 1543.6, 1072.0, 790.4, 1208.0, 2306.8, 1481.9]","[2610.5390625, 824.8798217773438, 3841.943359375, 2355.556884765625, 1830.844970703125, 1331.3807373046875, 1461.773193359375, 1928.47119140625, 1767.9818115234375]",0.6714724793847093,0.2894587653839291,28.945876538392913,0.2545789940780484,-0.18722737137797282
1985,"[2300.9, 912.5, 3759.0, 1162.7, 1245.0, 1335.9, 853.8, 1617.7, 1612.3]","[2794.48876953125, 948.990478515625, 3776.169921875, 1519.3583984375, 902.7139892578125, 1147.84423828125, 1080.087646484375, 2142.7744140625, 1592.478271484375]",0.8699138565667459,0.187136569544292,18.7136569544292,0.1490177657727005,-0.07467034202689815
1986,"[2856.5, 835.5, 3802.8, 1243.0, 1713.8, 1166.7, 1198.9, 1781.9, 1880.6]","[2713.71435546875, 1054.125732421875, 3790.630615234375, 1374.6761474609375, 1707.75146484375, 1339.3851318359375, 1311.0450439453125, 1788.6524658203125, 1584.713623046875]",0.9697725004428187,0.08454662347871376,8.454662347871377,0.06667442143307371,-0.011225603626165814
1987,"[2770.1, 840.8, 4715.8, 1842.5, 1060.8, 1400.5, 1803.3, 1884.7, 1559.3]","[2975.7900390625, 926.591064453125, 3729.23681640625, 1913.150146484375, 1249.62890625, 1165.435791015625, 1509.5303955078125, 1918.5517578125, 1857.1099853515625]",0.8803483197001988,0.1909610077298513,19.09610077298513,0.13413389211672438,0.03539446115608464
1988,"[3007.5, 892.5, 4751.0, 2341.0, 1735.2, 1247.0, 1801.9, 1834.4, 1734.3]","[3082.35888671875, 799.6030883789062, 4742.94091796875, 2056.32373046875, 1256.25537109375, 1070.7591552734375, 1619.0885009765625, 1944.375, 1773.526123046875]",0.9616317665824412,0.09842920428762103,9.842920428762103,0.07483609267635069,0.05167121014816483
1989,"[3267.7, 837.4, 4941.6, 2392.0, 1493.4, 754.0, 1090.6, 1894.7, 1865.5]","[3042.9306640625, 784.3966674804688, 4804.6416015625, 1965.933837890625, 1490.3453369140625, 1319.723388671875, 1582.9798583984375, 1766.6275634765625, 1783.8447265625]",0.9417182601664709,0.14825588775537804,14.825588775537804,0.11391779904520681,-0.00024403460230842513
1990,"[2948.1, 1012.9, 5196.7, 1851.0, 1329.0, 1272.1, 1093.4, 1894.7, 1824.9]","[3249.64599609375, 770.6128540039062, 4917.35302734375, 1576.922607421875, 1364.1651611328125, 1154.9403076171875, 1116.1578369140625, 1983.4864501953125, 1656.2239990234375]",0.9745590759191721,0.09696969721798575,9.696969721798574,0.08303855271325644,0.0343754348011109
1991,"[3405.7, 805.6, 4816.3, 1613.5, 1869.9, 1700.6, 1491.6, 1897.2, 1841.0]","[3037.91796875, 850.9464111328125, 5262.552734375, 1434.712158203125, 945.2904663085938, 1223.34716796875, 1414.7283935546875, 1969.2752685546875, 1791.3121337890625]",0.8743153266399223,0.1867514527828289,18.67514527828289,0.13572407982389545,0.07773706098137384
1992,"[3378.7, 2733.5, 907.3, 1662.5, 599.9, 5254.6, 2170.5, 2303.5, 1767.4, 3092.6, 701.1, 1703.0, 1765.3, 1903.0, 2180.9, 1332.4, 1991.0, 2160.0]","[3546.90234375, 1931.767822265625, 1084.675537109375, 1809.5775146484375, 847.2218017578125, 4843.61376953125, 1605.049072265625, 2006.2396240234375, 1530.116943359375, 2872.47265625, 1442.50732421875, 1430.6707763671875, 1445.82177734375, 1493.794921875, 1882.7349853515625, 704.5025634765625, 1997.3228759765625, 1823.251220703125]",0.8511718395446398,0.19399701803799224,19.399701803799225,0.16710553470209,0.08798731279453305
1993,"[3350.0, 2455.5, 851.3, 1358.5, 589.7, 5297.0, 1685.5, 1601.8, 1425.0, 3798.0, 680.8, 1370.0, 1845.4, 1765.5, 2327.2, 917.8, 1946.6, 2225.7]","[3435.42041015625, 2207.3193359375, 922.363525390625, 1589.625, 933.3475341796875, 4930.5283203125, 1715.2518310546875, 2415.11474609375, 1434.5203857421875, 2443.84814453125, 1502.224853515625, 1489.391357421875, 1797.3076171875, 1935.1905517578125, 2209.0390625, 1276.7294921875, 1937.2642822265625, 2129.90478515625]",0.8436651097434862,0.23142999954148497,23.142999954148497,0.1491483304260041,-0.022909592924225463
1994,"[3515.7, 1826.5, 840.9, 1515.0, 743.1, 5002.6, 1629.6, 2565.3, 1324.4, 3074.5, 1811.1, 1069.4, 1756.1, 1449.8, 2023.7, 749.0, 1893.5, 1784.2]","[3015.62109375, 2323.913818359375, 1040.702880859375, 1711.4923095703125, 679.7571411132812, 5279.75439453125, 2038.0816650390625, 2012.40185546875, 1591.1702880859375, 2384.549072265625, 917.0471801757812, 1197.7974853515625, 1975.4669189453125, 1647.7216796875, 2210.093505859375, 950.64453125, 1983.5811767578125, 2269.872802734375]",0.8501269473505714,0.20893653750556573,20.893653750556574,0.17515610145824112,-0.018952456146879983
1995,"[3550.0, 1717.5, 888.2, 2142.1, 805.2, 5422.1, 1494.0, 2335.9, 1303.2, 2969.9, 554.3, 1278.0, 1450.7, 1394.6, 2167.5, 574.8, 2081.1, 2548.0]","[3524.7587890625, 2256.9580078125, 931.8836669921875, 4186.439453125, 772.1619873046875, 5171.03466796875, 1819.3094482421875, 2492.0419921875, 1585.1710205078125, 2941.220458984375, 1007.408447265625, 1595.2791748046875, 1705.0443115234375, 1645.996826171875, 2065.455078125, 788.89453125, 2121.301025390625, 2146.0732421875]",0.777014377103851,0.28433047112423226,28.433047112423225,0.16619970186782132,-0.11763763777554206
1996,"[3327.8, 2135.3, 856.6, 2063.5, 866.7, 5638.4, 1662.7, 2595.7, 1403.9, 2299.3, 1841.5, 1615.1, 2096.1, 1544.9, 1934.4, 683.5, 2018.4, 2356.9]","[3875.194580078125, 2177.48681640625, 1182.8260498046875, 1946.2867431640625, 953.4116821289062, 5513.07275390625, 1721.41943359375, 2393.11474609375, 1881.453857421875, 2669.597412109375, 1254.4022216796875, 1190.172119140625, 1880.0516357421875, 1873.1270751953125, 2136.069091796875, 853.516357421875, 2083.541259765625, 2058.20068359375]",0.9181464767876584,0.14962158347491375,14.962158347491375,0.12577029434749054,-0.01901004905275126
