koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1987,"[2095.0, 2227.2, 2239.9]","[1779.0077414675611, 2102.7991897133943, 2169.2974233803343]",0.09155270078477246,9.155270078477246,0.07787074952206004,0.07787074952206004
11,1988,"[2280.5, 1911.8, 2263.5]","[2178.2979606580607, 2227.1965641521087, 1779.0085177980982]",0.15750745572605498,15.7507455726055,0.1397332763864974,0.04202375497873732
11,1989,"[2355.2, 2365.7, 2556.2]","[2102.8002436104175, 1779.0087953645116, 2280.495474823083]",0.16557371753882513,16.557371753882514,0.15319227249893327,0.15319227249893327
11,1990,"[2566.1, 2406.7, 2293.5]","[2280.496871804885, 2016.1038702253202, 2258.7974970139035]",0.11563625589738126,11.563625589738127,0.09783545421409674,0.09783545421409674
11,1991,"[2048.1, 2197.7, 2659.2]","[2378.324101115403, 2355.195823025666, 2556.1904841852024]",0.0953403054951201,9.53403054951201,0.08555096885675118,-0.05571475862799016
11,1992,"[2689.3, 2655.5, 2410.0]","[2659.188086638321, 2197.7003447244556, 2048.104464790086]",0.13051401940440624,13.051401940440623,0.10958465774064295,0.10958465774064295
11,1993,"[2266.8, 2123.7, 2718.5]","[2689.288483894825, 2406.6958924930746, 2689.288483894825]",0.1240988214966492,12.40988214966492,0.10334729110888657,-0.0951291124325115
11,1994,"[2532.8, 2581.2, 2391.0]","[2689.288791397462, 2655.4896403463254, 2409.9961611696694]",0.04021813567363428,4.021813567363428,0.0332810916606871,-0.0332810916606871
11,1995,"[2455.4, 2532.3, 2652.7]","[2090.393727788882, 2600.528509033187, 2689.2894048158028]",0.0845864491016857,8.45864491016857,0.06149209283023243,0.034054284901592576
11,1996,"[2762.9, 2552.6, 2417.0]","[2604.0520727942694, 2532.2950385001636, 2405.4458149347743]",0.035964095151812155,3.5964095151812154,0.024663055127163623,0.024663055127163623
11,1997,"[2443.4, 2760.7, 2743.1]","[2374.4296616925603, 2533.088427535675, 2728.2139116470917]",0.05193562122132666,5.193562122132666,0.0391921682007088,0.0391921682007088
11,1998,"[2935.8, 2472.2, 2711.6]","[2587.716763688785, 2415.312777179956, 2199.830515180475]",0.13258420109832408,13.258420109832409,0.1129045696771743,0.1129045696771743
