koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1987,"[2095.0, 2227.2, 2239.9]","[1930.0020000000004, 2085.5899999999992, 2166.0239999999962]",0.06061343363708267,6.061343363708267,0.057982048429619175,0.057982048429619175
11,1988,"[2280.5, 1911.8, 2263.5]","[2180.101999999996, 2181.6690000000012, 1962.121]",0.11183001681145378,11.18300168114538,0.10403760959137597,0.020432479320921095
11,1989,"[2355.2, 2365.7, 2556.2]","[2120.750999999998, 1983.2369999999996, 2221.4269999999974]",0.13322766967251787,13.322766967251788,0.13077805719311328,0.13077805719311328
11,1990,"[2566.1, 2406.7, 2293.5]","[2330.196, 2214.966000000001, 2266.6250000000014]",0.07274505976422546,7.274505976422546,0.06255081678433283,0.06255081678433283
11,1991,"[2048.1, 2197.7, 2659.2]","[2338.1700000000037, 2360.826000000003, 2509.9610000000034]",0.09148718695228245,9.148718695228245,0.08724619840695201,-0.04401984069515001
11,1992,"[2689.3, 2655.5, 2410.0]","[2413.4910000000027, 2243.877000000002, 2176.4040000000027]",0.12234949352295732,12.234949352295732,0.11876876257285714,0.11876876257285714
11,1993,"[2266.8, 2123.7, 2718.5]","[2515.6550000000007, 2356.3990000000013, 2614.652000000001]",0.08677966378585787,8.677966378585786,0.0823466028977354,-0.05313067942045335
11,1994,"[2532.8, 2581.2, 2391.0]","[2569.704999999997, 2366.5989999999997, 2262.0810000000006]",0.05840108729110601,5.840108729110601,0.0506895403064619,0.040854763491006335
11,1995,"[2455.4, 2532.3, 2652.7]","[2241.384000000002, 2447.6179999999986, 2588.1420000000003]",0.054190208731519585,5.4190208731519585,0.047544107638343464,0.047544107638343464
11,1996,"[2762.9, 2552.6, 2417.0]","[2598.620000000001, 2502.7279999999973, 2369.655]",0.03989188744436575,3.9891887444365755,0.03381791141286798,0.03381791141286798
11,1997,"[2443.4, 2760.7, 2743.1]","[2355.8770000000004, 2523.0140000000015, 2650.184999999998]",0.05879991498643651,5.879991498643651,0.052612744111133446,0.052612744111133446
11,1998,"[2935.8, 2472.2, 2711.6]","[2682.1510000000017, 2395.2899999999995, 2434.591999999998]",0.08178328713067555,8.178328713067556,0.07482720823685908,0.07482720823685908
11,1999,"[2702.8, 2930.4, 3213.9]","[2341.8670000000006, 2659.932000000003, 2775.401]",0.1231534339772046,12.31534339772046,0.12093228289495958,0.12093228289495958
11,2000,"[3060.6, 3483.6, 2745.4]","[2876.0549999999985, 2937.408999999998, 2577.998999999999]",0.11193315676521085,11.193315676521085,0.09668198846021407,0.09668198846021407
11,2001,"[3402.0, 2675.4, 3126.4]","[3020.3699999999994, 2673.2139999999986, 2914.8709999999996]",0.08211384351420144,8.211384351420143,0.06468469545187885,0.06468469545187885
11,2002,"[3273.9, 3490.2, 2675.3]","[3045.0679999999998, 3245.609999999999, 2573.8089999999993]",0.0642191249807292,6.42191249807292,0.06090567197067629,0.06090567197067629
11,2003,"[2857.3, 3576.8, 3140.3]","[2795.0979999999977, 3381.3110000000015, 2949.590000000001]",0.05067109854626806,5.067109854626806,0.04683332637032088,0.04683332637032088
11,2004,"[3283.1, 3535.9, 2782.5]","[3046.0539999999983, 3417.5050000000006, 2774.634999999996]",0.04781967747190602,4.781967747190602,0.03783846274019737,0.03783846274019737
11,2005,"[3781.4, 3489.0, 2716.6]","[3368.378999999999, 3178.7189999999996, 2702.8409999999967]",0.08962348603929428,8.962348603929428,0.07380204265545257,0.07380204265545257
11,2006,"[3854.1, 3585.5, 2557.0]","[3261.872999999999, 3250.482999999999, 2736.6839999999993]",0.12193348538612758,12.193348538612758,0.11073044835243993,0.07478142568473307
11,2007,"[4083.3, 3723.3, 2775.0]","[3482.691999999999, 3409.9209999999985, 2812.5499999999984]",0.11105846030473257,11.105846030473257,0.08992373554093909,0.08282651016859495
11,2008,"[2907.4, 3777.2, 4144.1]","[2706.9589999999985, 3323.971999999998, 3756.911999999998]",0.1005914947550998,10.059149475509981,0.09612021756997662,0.09612021756997662
