year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1987,"[2239.9, 2227.2, 1983.6, 5826.5, 2829.9, 4685.6, 4225.3, 2622.9, 1282.5, 1324.8, 3131.8, 2130.5, 4039.1, 2014.7, 2095.0, 5350.1, 1709.7, 2476.5]","[2166.6039999999966, 2140.6789999999987, 1997.447, 5362.631999999997, 2687.3979999999983, 4150.586000000001, 4521.097999999999, 2665.868999999998, 2185.9660000000017, 1433.9800000000005, 3065.5440000000012, 2321.6530000000002, 3852.413999999996, 2041.7980000000014, 1952.9460000000013, 4324.318000000002, 1765.1329999999996, 2342.7009999999977]",0.9164670004842886,0.13162361429149974,13.162361429149975,0.08611304401137283,0.02331296124577572
1988,"[2280.5, 1911.8, 1934.3, 6063.7, 3318.7, 4165.9, 4707.7, 2644.2, 1535.1, 1369.9, 3036.7, 2156.2, 4110.8, 2146.5, 2263.5, 4564.0, 1710.0, 2351.1]","[2169.215999999997, 2191.4390000000003, 2056.3640000000014, 5696.766999999997, 2721.089999999998, 3684.456, 4365.827999999996, 2635.4229999999966, 1898.6620000000025, 1352.987, 3074.866, 2088.259000000001, 3913.246999999995, 2063.176000000001, 1784.9040000000005, 4617.006999999999, 1723.1109999999999, 2456.5559999999987]",0.9528176634259637,0.09513033142193349,9.513033142193349,0.07130685318324295,0.03400079585847523
1989,"[2556.2, 2355.2, 2076.8, 6482.5, 3124.7, 4034.2, 5644.5, 2704.6, 1511.1, 1435.8, 2991.6, 2587.3, 4247.0, 2085.3, 2365.7, 4074.8, 1710.3, 2292.5]","[2199.141999999998, 2103.089999999999, 1961.7689999999996, 5601.807, 2767.9689999999996, 4649.772000000001, 4509.109000000004, 2660.685999999999, 1628.8160000000012, 1338.396, 3061.133000000002, 2117.0150000000012, 3968.2859999999946, 2106.894000000001, 1945.8450000000003, 4718.104, 1729.8329999999999, 2331.4689999999996]",0.8869572032746036,0.15027936710355924,15.027936710355924,0.10931090768071557,0.05307589705988013
1990,"[2566.1, 2293.5, 2077.3, 7266.3, 3121.8, 3330.7, 4447.4, 2978.6, 1467.1, 1347.7, 3064.3, 2636.1, 4301.8, 1955.6, 2406.7, 4061.8, 1710.6, 2315.1]","[2211.686999999997, 2237.048, 2116.6289999999985, 5967.554999999998, 2856.6650000000013, 4383.080000000002, 4659.189000000001, 2669.0090000000014, 2012.1330000000014, 1395.0070000000007, 3019.0620000000017, 2407.235999999999, 3982.609999999995, 2145.0649999999982, 2192.001000000001, 4596.380999999998, 2150.8550000000005, 2401.347]",0.8759960416941435,0.16220798993455593,16.220798993455592,0.116942613194373,-0.0010133180876687163
1991,"[2659.2, 2197.7, 2054.6, 7455.4, 2692.1, 2812.7, 4776.7, 2824.3, 1526.5, 1396.2, 3021.5, 2623.7, 4346.5, 2253.4, 2048.1, 3995.9, 1711.0, 2319.9]","[2410.1710000000007, 2258.674000000001, 1994.705999999999, 6196.0109999999995, 2979.2019999999993, 3926.8300000000054, 4532.673, 2759.231000000001, 1807.028000000003, 1373.723, 3038.698999999999, 2385.361, 4186.476999999995, 2093.7070000000003, 2181.4520000000007, 4448.616999999995, 2173.5370000000007, 2388.163000000001]",0.8980326271472112,0.15421545725824107,15.421545725824107,0.10119892858633359,-0.00794572364053012
1992,"[2689.3, 2655.5, 2086.9, 7651.1, 3325.4, 3987.0, 4755.7, 2854.5, 1729.8, 1317.8, 3054.4, 2716.9, 4344.6, 2174.5, 2410.0, 4096.0, 1711.3, 2368.6]","[2299.687000000001, 2209.666000000002, 1987.5960000000005, 6530.630000000002, 2841.136, 4346.748000000003, 4607.373000000005, 2734.263999999999, 1597.8020000000015, 1425.6919999999998, 3034.554, 2379.8690000000015, 4239.122999999998, 2123.4729999999995, 2040.828000000002, 4293.812999999998, 1813.5, 2380.426]",0.936725997174261,0.11651055385173928,11.651055385173928,0.08228384764336387,0.054410121349632266
1993,"[2718.5, 2266.8, 2078.2, 7718.4, 3480.4, 3286.0, 5171.7, 2874.2, 1460.1, 1306.9, 3135.0, 2745.3, 4375.0, 2049.7, 2123.7, 4120.2, 1711.6, 2739.7]","[2490.55, 2467.9580000000005, 2068.0389999999984, 6743.852999999999, 3169.973000000001, 3574.9050000000025, 4617.311000000002, 2743.6509999999994, 1718.769000000002, 1367.259, 3074.976000000002, 2398.5190000000007, 3998.8399999999947, 2162.1939999999995, 2319.7500000000014, 4289.9879999999985, 1761.1269999999995, 2366.0060000000008]",0.9480860726188969,0.11117198999922022,11.117198999922023,0.08492617599988449,0.03662718067100897
1994,"[2532.8, 2581.2, 2069.4, 7913.0, 3738.5, 2739.9, 4915.8, 2885.9, 1539.0, 1487.7, 2993.3, 2575.9, 4345.3, 2352.1, 2391.0, 4059.0, 1711.9, 2433.3]","[2512.4139999999984, 2255.1619999999994, 2057.22, 7014.388000000002, 3199.5929999999994, 3611.9600000000028, 4949.8160000000025, 2848.514000000002, 1601.2090000000017, 1444.3469999999995, 3137.355, 2663.8109999999992, 4271.726999999997, 2141.3350000000005, 1998.5660000000007, 4269.917000000004, 1806.1770000000001, 2511.364000000001]",0.9432359043344448,0.11554618312105046,11.554618312105045,0.07486009228263842,0.017554057721885303
1995,"[2652.7, 2532.3, 2130.4, 8135.6, 3262.2, 3936.0, 5509.9, 2804.3, 1230.4, 1792.0, 3158.6, 2582.2, 4348.7, 2415.8, 2455.4, 4284.0, 1712.2, 2752.2]","[2569.8049999999985, 2395.0599999999995, 2068.03, 7217.136000000003, 3280.5240000000013, 3268.4430000000016, 4840.578000000003, 2814.3149999999996, 2006.8590000000008, 1364.177, 3037.336000000001, 2487.3439999999996, 4071.7249999999967, 2203.346, 2266.450000000001, 4309.433000000001, 1770.1630000000005, 2418.9399999999996]",0.936124725364267,0.12413138003678661,12.413138003678661,0.08807752504987441,0.05728818318430213
1996,"[2762.9, 2552.6, 2193.0, 8291.0, 3562.0, 3830.6, 6468.4, 2855.8, 1067.6, 1811.6, 3123.1, 2672.6, 4416.8, 2409.8, 2417.0, 4079.4, 1712.6, 2868.5]","[2590.0720000000006, 2438.119999999999, 2159.4989999999993, 7701.312999999995, 3290.088000000004, 4212.614000000002, 5111.777000000004, 2783.720999999998, 1589.181000000002, 1487.0999999999997, 3108.8089999999993, 2555.9180000000006, 4211.619999999997, 2330.847999999997, 2357.1420000000003, 4418.725000000003, 1852.1240000000003, 2581.769000000002]",0.9392596110381058,0.1267556602887389,12.675566028873888,0.0859585787702239,0.03917164309175174
1997,"[2743.1, 2760.7, 2173.7, 8415.2, 3587.6, 3718.9, 6583.9, 2932.9, 1023.6, 1770.6, 3245.1, 2674.2, 4432.2, 2378.8, 2443.4, 4644.5, 1712.9, 2804.8]","[2633.5119999999997, 2526.053, 2156.7959999999985, 7981.403999999997, 3137.236, 3799.3360000000025, 5465.630000000006, 2818.2799999999975, 1382.4750000000008, 1509.611, 3065.476999999999, 2766.582000000001, 4036.8509999999974, 2276.0789999999997, 2315.998000000001, 4256.027, 1701.684000000001, 2550.894]",0.9566414044617383,0.10865453003620476,10.865453003620477,0.07876549850864602,0.06105600530259252
1998,"[2935.8, 2711.6, 2034.1, 8640.1, 3206.0, 4059.8, 5086.2, 2698.6, 1342.9, 1788.4, 3510.2, 2665.1, 4197.4, 2418.0, 2472.2, 4711.6, 1713.2, 2893.0]","[2629.5209999999997, 2549.1390000000015, 2181.466, 7808.181999999998, 3334.541000000001, 3487.8860000000013, 4821.465000000004, 2779.6849999999995, 2600.195, 1380.9520000000007, 3112.619999999999, 2635.1059999999998, 4141.749, 2256.244999999998, 2396.0659999999993, 4883.422999999999, 1916.0720000000003, 2725.4549999999995]",0.9317165241817262,0.13032184251635404,13.032184251635403,0.0917740444992062,0.024447009522004192
1999,"[3213.9, 2930.4, 2128.4, 8878.0, 3522.5, 3968.0, 6383.0, 2946.8, 2171.2, 1943.3, 3281.0, 2648.9, 4251.9, 2424.4, 2702.8, 4800.9, 1713.5, 3074.4]","[2701.110999999998, 2553.5520000000015, 2122.775000000001, 8103.393999999991, 3369.009000000001, 3337.7580000000016, 5332.357000000002, 2798.3229999999985, 1638.7990000000004, 1863.8310000000006, 3208.419000000002, 2599.972000000001, 4311.7159999999985, 2368.0579999999977, 2396.6650000000004, 4250.4339999999975, 1709.5270000000005, 2687.438]",0.9351093498187085,0.12425096153840104,12.425096153840103,0.09129077072811372,0.08939134659504988
2000,"[3483.6, 3060.6, 2051.2, 9102.5, 3681.2, 4237.3, 6384.0, 3068.1, 2214.3, 2115.5, 3437.4, 3000.0, 4400.7, 2612.8, 2745.4, 4732.4, 1713.9, 3031.2]","[2851.4139999999984, 4867.041000000004, 2189.7749999999996, 8103.183999999992, 3363.8320000000012, 3661.0830000000014, 5637.468000000004, 2917.069999999997, 1864.717000000001, 1799.9000000000005, 2654.488999999999, 2672.2800000000007, 2969.2269999999976, 2511.6989999999987, 2417.9339999999997, 4358.680000000002, 1970.2119999999998, 2668.771999999999]",0.8289933326809076,0.1971023212707097,19.71023212707097,0.15361389904429104,0.0859557782828586
