country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Bangladesh,1987,[2239.9],[2165.9393555362863],0.0330196189400035,3.30196189400035,0.0330196189400035,0.0330196189400035,11
Bangladesh,1988,[2280.5],[2169.9972235225077],0.04845550382700823,4.845550382700823,0.04845550382700823,0.04845550382700823,11
Bangladesh,1989,[2556.2],[2189.332577525062],0.14352062533250057,14.352062533250058,0.14352062533250057,0.14352062533250057,11
Bangladesh,1990,[2566.1],[2207.0595685848834],0.1399167730856617,13.99167730856617,0.1399167730856617,0.1399167730856617,11
Bangladesh,1991,[2659.2],[2251.5530133946986],0.1532968511602366,15.329685116023661,0.1532968511602366,0.1532968511602366,11
Bangladesh,1992,[2689.3],[2264.7561874229696],0.1578640585197005,15.78640585197005,0.1578640585197005,0.1578640585197005,11
Bangladesh,1993,[2718.5],[2317.674703001188],0.14744355232621376,14.744355232621375,0.14744355232621376,0.14744355232621376,11
Bangladesh,1994,[2532.8],[2454.739298152613],0.030819923344672696,3.0819923344672695,0.030819923344672696,0.030819923344672696,11
Bangladesh,1995,[2652.7],[2522.334366256341],0.0491445070093334,4.91445070093334,0.0491445070093334,0.0491445070093334,11
Bangladesh,1996,[2762.9],[2554.1466191362874],0.07555589448178097,7.555589448178098,0.07555589448178097,0.07555589448178097,11
Bangladesh,1997,[2743.1],[2577.401582736964],0.06040553288725746,6.040553288725746,0.06040553288725746,0.06040553288725746,11
Bangladesh,1998,[2935.8],[2573.4182254839234],0.12343544332586578,12.343544332586578,0.12343544332586578,0.12343544332586578,11
Bangladesh,1999,[3213.9],[2592.8976776258855],0.19322390938551745,19.322390938551745,0.19322390938551745,0.19322390938551745,11
Bangladesh,2000,[3483.6],[2621.8859877021932],0.2473630762136315,24.73630762136315,0.2473630762136315,0.2473630762136315,11
Bangladesh,2001,[3402.0],[2676.163685033874],0.2133557657160864,21.335576571608637,0.2133557657160864,0.2133557657160864,11
Bangladesh,2002,[3490.2],[2709.2908705377463],0.22374337558370683,22.374337558370684,0.22374337558370683,0.22374337558370683,11
Bangladesh,2003,[3576.8],[2728.290368240816],0.23722590912524721,23.722590912524723,0.23722590912524721,0.23722590912524721,11
Bangladesh,2004,[3535.9],[2721.2301973191443],0.23039955956923436,23.039955956923436,0.23039955956923436,0.23039955956923436,11
Bangladesh,2005,[3781.4],[2735.216058196015],0.2766657697688647,27.66657697688647,0.2766657697688647,0.2766657697688647,11
Bangladesh,2006,[3854.1],[2724.4792573845934],0.29309585703936236,29.309585703936236,0.29309585703936236,0.29309585703936236,11
Bangladesh,2007,[4083.3],[2717.552968442686],0.3344713911682497,33.44713911682497,0.3344713911682497,0.3344713911682497,11
Bangladesh,2008,[4144.1],[2754.269090173013],0.3353758137658327,33.53758137658327,0.3353758137658327,0.3353758137658327,11
Bangladesh,2009,[4240.4],[2782.7331988922697],0.34375690998673003,34.375690998673,0.34375690998673003,0.34375690998673003,11
Bangladesh,2010,[4342.2],[2812.5795938163633],0.35226852889863125,35.226852889863125,0.35226852889863125,0.35226852889863125,11
Bangladesh,2011,[4391.7],[2847.999264326109],0.35150414091898147,35.15041409189815,0.35150414091898147,0.35150414091898147,11
Bangladesh,2012,[4420.6],[2904.1308361110555],0.34304600368478144,34.30460036847814,0.34304600368478144,0.34304600368478144,11
Bangladesh,2013,[4531.7],[3001.5142750971722],0.33766262658667334,33.76626265866734,0.33766262658667334,0.33766262658667334,11
Bangladesh,2014,[4538.2],[3136.239947864648],0.3089242545800872,30.89242545800872,0.3089242545800872,0.3089242545800872,11
Bangladesh,2015,[4551.8],[3265.889350273799],0.28250596461316424,28.250596461316423,0.28250596461316424,0.28250596461316424,11
Bangladesh,2016,[4586.3],[3389.9921588389534],0.260843782822983,26.0843782822983,0.260843782822983,0.260843782822983,11
Bangladesh,2017,[4661.9],[3499.6019625432245],0.24931852623539227,24.93185262353923,0.24931852623539227,0.24931852623539227,11
Bangladesh,2018,[4725.7],[3510.576713116872],0.25713085614472525,25.713085614472526,0.25713085614472525,0.25713085614472525,11
Bangladesh,2019,[4740.2],[3584.9952605543804],0.2437037971911775,24.37037971911775,0.2437037971911775,0.2437037971911775,11
Bangladesh,2020,[4808.8],[3574.6931935300054],0.2566350870217091,25.663508702170912,0.2566350870217091,0.2566350870217091,11
Bangladesh,2021,[4818.7],[3635.368249876752],0.24557074524731728,24.55707452473173,0.24557074524731728,0.24557074524731728,11
Bangladesh,2022,[4891.2],[3673.598296433942],0.24893721450074788,24.89372145007479,0.24893721450074788,0.24893721450074788,11
Lao People's Democratic Republic,1987,[2227.2],[2100.735162666782],0.05678198515320489,5.6781985153204895,0.05678198515320489,0.05678198515320489,11
Lao People's Democratic Republic,1988,[1911.8],[2162.808417002971],0.13129428653780265,13.129428653780264,0.13129428653780265,-0.13129428653780265,11
Lao People's Democratic Republic,1989,[2355.2],[2103.921313040259],0.10669101858005298,10.669101858005298,0.10669101858005298,0.10669101858005298,11
