koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1987,"[2095.0, 2227.2, 2239.9]","[1927.5435791015625, 2113.498046875, 2169.29931640625]",0.05658229959806213,5.658229959806213,0.05360464753923094,0.05360464753923094
11,1988,"[2280.5, 1911.8, 2263.5]","[2186.325927734375, 2196.626708984375, 1827.98193359375]",0.1418842779930549,14.188427799305488,0.12616853800555314,0.03792952533961708
11,1989,"[2355.2, 2365.7, 2556.2]","[2227.28857421875, 1781.4329833984375, 2252.63525390625]",0.15964342276627472,15.964342276627471,0.13958076548028225,0.13958076548028225
11,1990,"[2566.1, 2406.7, 2293.5]","[2205.508544921875, 2131.356689453125, 2191.6484375]",0.11083810321726668,11.083810321726668,0.10153535198450377,0.10153535198450377
11,1991,"[2048.1, 2197.7, 2659.2]","[2246.318115234375, 2354.24365234375, 2550.081787109375]",0.06901664372516253,6.901664372516253,0.06718030129887764,-0.035574736377624976
11,1992,"[2689.3, 2655.5, 2410.0]","[2563.701416015625, 2224.5478515625, 2068.50048828125]",0.12597467395816767,12.597467395816766,0.11580572602009402,0.11580572602009402
11,1993,"[2266.8, 2123.7, 2718.5]","[2653.87060546875, 2409.751953125, 2688.681396484375]",0.11748963851837722,11.748963851837722,0.0988804560570228,-0.09049148334197848
11,1994,"[2532.8, 2581.2, 2391.0]","[2647.75439453125, 2578.016845703125, 2293.383544921875]",0.03481249564912902,3.481249564912902,0.02874803516405725,-0.0018860473226182547
11,1995,"[2455.4, 2532.3, 2652.7]","[2214.2060546875, 2636.435791015625, 2663.77001953125]",0.059609213059444034,5.960921305944403,0.04664674046638593,0.016489730219049408
11,1996,"[2762.9, 2552.6, 2417.0]","[2595.275146484375, 2515.736083984375, 2447.511474609375]",0.0390473608030865,3.90473608030865,0.030391237522227613,0.022499488512366633
11,1997,"[2443.4, 2760.7, 2743.1]","[2279.405517578125, 2518.67626953125, 2727.6025390625]",0.06380604801139225,6.380604801139225,0.05303952006091765,0.05303952006091765
11,1998,"[2935.8, 2472.2, 2711.6]","[2607.52294921875, 2377.119873046875, 2304.529296875]",0.11338220825004813,11.338220825004813,0.10227448160739136,0.10227448160739136
11,1999,"[2702.8, 2930.4, 3213.9]","[2245.023193359375, 2595.76416015625, 2822.36181640625]",0.13490705603829564,13.490705603829564,0.133823606614385,0.133823606614385
11,2000,"[3060.6, 3483.6, 2745.4]","[2857.37890625, 2904.27587890625, 2445.50146484375]",0.12739557191101772,12.739557191101772,0.1165221053651395,0.1165221053651395
11,2001,"[3402.0, 2675.4, 3126.4]","[3444.75244140625, 2921.716552734375, 3022.59619140625]",0.05094140418033194,5.094140418033194,0.042685934367801895,-0.020129205930906238
11,2002,"[3273.9, 3490.2, 2675.3]","[3058.115478515625, 3483.5751953125, 2465.0986328125]",0.05528900106695411,5.528900106695412,0.04583031690143177,0.04583031690143177
11,2003,"[2857.3, 3576.8, 3140.3]","[2687.575927734375, 3406.27587890625, 3168.983154296875]",0.043832445853681574,4.383244585368158,0.0385331036572788,0.03254146881919499
11,2004,"[3283.1, 3535.9, 2782.5]","[3122.500732421875, 3430.768310546875, 2686.80224609375]",0.038691355342887826,3.8691355342887825,0.03764294234624798,0.03764294234624798
11,2005,"[3781.4, 3489.0, 2716.6]","[3267.7607421875, 3194.56201171875, 2691.884033203125]",0.10276837298079092,10.276837298079093,0.08338772533199408,0.08338772533199408
11,2006,"[3854.1, 3585.5, 2557.0]","[3603.8671875, 3327.761474609375, 2724.3486328125]",0.06866396917903385,6.866396917903385,0.06755496575867044,0.03407385561872285
11,2007,"[4083.3, 3723.3, 2775.0]","[3538.3720703125, 3517.202880859375, 2821.909912109375]",0.09567155764709033,9.567155764709034,0.07540777963044343,0.06654146222865638
11,2008,"[2907.4, 3777.2, 4144.1]","[2739.497802734375, 2976.6103515625, 3756.49951171875]",0.1447851727437878,14.47851727437878,0.12523131437609086,0.12523131437609086
11,2009,"[2716.4, 3841.9, 4240.4]","[2849.73583984375, 3769.6796875, 3946.60400390625]",0.05302976570241294,5.302976570241294,0.04624187619227311,0.021547081477400035
11,2010,"[4342.2, 3590.9, 2980.5]","[4220.95703125, 3078.0859375, 2815.416748046875]",0.08763812947094567,8.763812947094566,0.07322425993284754,0.07322425993284754
11,2011,"[3751.3, 3312.0, 4391.7]","[3853.211181640625, 2797.034912109375, 4113.99658203125]",0.08979758208741452,8.979758208741453,0.07809512767350497,0.0603018179152117
