year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1987,"[2239.9, 2227.2, 1983.6, 5826.5, 2829.9, 4685.6, 4225.3, 2622.9, 1282.5, 1324.8, 3131.8, 2130.5, 4039.1, 2014.7, 2095.0, 5350.1, 1709.7, 2476.5]","[2173.488525390625, 2219.15283203125, 1862.7919921875, 5405.80810546875, 2880.624755859375, 4334.2490234375, 4553.4990234375, 2578.209716796875, 2557.722900390625, 1342.7723388671875, 3069.57421875, 1889.591552734375, 3954.58837890625, 2067.419189453125, 2005.5465087890625, 4642.0810546875, 1711.965087890625, 2410.634765625]",0.9157794023200357,0.13216423101462302,13.216423101462302,0.07644488464724519,0.010266766342313837
1988,"[2280.5, 1911.8, 1934.3, 6063.7, 3318.7, 4165.9, 4707.7, 2644.2, 1535.1, 1369.9, 3036.7, 2156.2, 4110.8, 2146.5, 2263.5, 4564.0, 1710.0, 2351.1]","[2229.50732421875, 2192.544189453125, 2052.355712890625, 5407.98388671875, 2804.39453125, 4692.75634765625, 4544.16943359375, 2626.5615234375, 1612.85888671875, 1333.217041015625, 3107.150634765625, 2069.078857421875, 3953.2890625, 2068.685302734375, 1757.1851806640625, 4748.103515625, 1707.1201171875, 2456.892822265625]",0.9503083839569462,0.09762720322754113,9.762720322754113,0.06952799180864219,0.01734714409023067
1989,"[2556.2, 2355.2, 2076.8, 6482.5, 3124.7, 4034.2, 5644.5, 2704.6, 1511.1, 1435.8, 2991.6, 2587.3, 4247.0, 2085.3, 2365.7, 4074.8, 1710.3, 2292.5]","[2263.101318359375, 2118.401123046875, 1880.06640625, 5508.6748046875, 2660.431884765625, 4688.09765625, 4574.23486328125, 2648.822265625, 1426.8668212890625, 1318.0400390625, 3124.85400390625, 2049.097412109375, 3970.015869140625, 2072.720703125, 1984.0899658203125, 5186.544921875, 1650.0355224609375, 2208.806396484375]",0.8557173700402457,0.1697793769779866,16.97793769779866,0.12426268902458612,0.05429610524779683
1990,"[2566.1, 2293.5, 2077.3, 7266.3, 3121.8, 3330.7, 4447.4, 2978.6, 1467.1, 1347.7, 3064.3, 2636.1, 4301.8, 1955.6, 2406.7, 4061.8, 1710.6, 2315.1]","[2233.724365234375, 2286.34619140625, 2042.3919677734375, 5898.63525390625, 2655.962890625, 4113.744140625, 4475.4482421875, 2555.501953125, 2938.989501953125, 1458.119384765625, 3062.462890625, 2279.892578125, 4081.44482421875, 2102.801025390625, 2287.709228515625, 4652.33349609375, 2229.974365234375, 2408.272705078125]",0.8208806289552294,0.19495112521782612,19.495112521782612,0.13256437796326864,-0.0077838178183606424
1991,"[2659.2, 2197.7, 2054.6, 7455.4, 2692.1, 2812.7, 4776.7, 2824.3, 1526.5, 1396.2, 3021.5, 2623.7, 4346.5, 2253.4, 2048.1, 3995.9, 1711.0, 2319.9]","[2688.984130859375, 2175.744140625, 2042.7412109375, 5945.103515625, 2814.111328125, 4467.65673828125, 4473.1943359375, 2885.439453125, 1825.9530029296875, 1348.0325927734375, 3059.18115234375, 2380.769775390625, 4154.3076171875, 2018.7357177734375, 2340.31689453125, 4813.11474609375, 2072.667724609375, 2415.182861328125]",0.8258803445748746,0.20152140872825308,20.152140872825306,0.1202111551079298,-0.022874471947031867
1992,"[2689.3, 2655.5, 2086.9, 7651.1, 3325.4, 3987.0, 4755.7, 2854.5, 1729.8, 1317.8, 3054.4, 2716.9, 4344.6, 2174.5, 2410.0, 4096.0, 1711.3, 2368.6]","[2528.7216796875, 2215.044677734375, 1969.29296875, 6977.6982421875, 2966.75390625, 4246.05615234375, 4625.6708984375, 2698.2080078125, 1537.8431396484375, 1401.6165771484375, 3044.5205078125, 2521.83203125, 4127.9208984375, 2179.71142578125, 2203.72119140625, 4325.013671875, 1702.0482177734375, 2286.125244140625]",0.9690195945441606,0.08152600488704974,8.152600488704973,0.06303844703617449,0.04240175653053835
1993,"[2718.5, 2266.8, 2078.2, 7718.4, 3480.4, 3286.0, 5171.7, 2874.2, 1460.1, 1306.9, 3135.0, 2745.3, 4375.0, 2049.7, 2123.7, 4120.2, 1711.6, 2739.7]","[2768.10302734375, 2518.79296875, 2033.0250244140625, 6710.1201171875, 3320.115234375, 3956.63427734375, 4525.8076171875, 2798.150634765625, 1646.854248046875, 1324.7867431640625, 3050.329833984375, 2286.6181640625, 4354.75439453125, 2061.422607421875, 2489.372314453125, 4331.86865234375, 1772.2236328125, 2417.120849609375]",0.9377703103549117,0.12171728445631284,12.171728445631285,0.08396493949868497,0.017978224145399572
1994,"[2532.8, 2581.2, 2069.4, 7913.0, 3738.5, 2739.9, 4915.8, 2885.9, 1539.0, 1487.7, 2993.3, 2575.9, 4345.3, 2352.1, 2391.0, 4059.0, 1711.9, 2433.3]","[2566.69287109375, 2265.255126953125, 2031.1610107421875, 7295.23681640625, 3197.068359375, 3879.496337890625, 4749.8720703125, 2698.75439453125, 1555.10205078125, 1347.388427734375, 4182.17724609375, 2628.408203125, 4237.16357421875, 2153.0986328125, 2140.6689453125, 4736.16796875, 1722.9752197265625, 2501.8330078125]",0.8959640884849177,0.15642651884047237,15.642651884047238,0.10408007865511623,-0.011282371549296549
1995,"[2652.7, 2532.3, 2130.4, 8135.6, 3262.2, 3936.0, 5509.9, 2804.3, 1230.4, 1792.0, 3158.6, 2582.2, 4348.7, 2415.8, 2455.4, 4284.0, 1712.2, 2752.2]","[2518.23828125, 2488.166259765625, 2081.909912109375, 7698.2958984375, 3356.915283203125, 2827.0732421875, 5178.51220703125, 2890.157470703125, 1624.2169189453125, 1326.071044921875, 3086.281982421875, 2471.69384765625, 4010.4208984375, 2237.850830078125, 2119.091064453125, 4308.388671875, 1705.4261474609375, 2415.109619140625]",0.9477115864996765,0.11230987037018472,11.230987037018473,0.07883950070760154,0.05808278409221396
1996,"[2762.9, 2552.6, 2193.0, 8291.0, 3562.0, 3830.6, 6468.4, 2855.8, 1067.6, 1811.6, 3123.1, 2672.6, 4416.8, 2409.8, 2417.0, 4079.4, 1712.6, 2868.5]","[2565.81396484375, 2420.4521484375, 2178.31298828125, 8120.06005859375, 3158.486572265625, 3755.73681640625, 5273.765625, 2792.360595703125, 1580.932373046875, 1510.77294921875, 3142.817138671875, 2495.779541015625, 4140.61279296875, 2332.176513671875, 2339.55078125, 4529.89794921875, 1813.841552734375, 2712.15283203125]",0.953294402808281,0.1111509150315741,11.115091503157409,0.07447893206370683,0.03776572429009793
1997,"[2743.1, 2760.7, 2173.7, 8415.2, 3587.6, 3718.9, 6583.9, 2932.9, 1023.6, 1770.6, 3245.1, 2674.2, 4432.2, 2378.8, 2443.4, 4644.5, 1712.9, 2804.8]","[2728.790771484375, 2489.502197265625, 2184.9052734375, 8219.0703125, 3383.36181640625, 3302.14306640625, 5062.48876953125, 2863.462646484375, 1432.02734375, 1821.0865478515625, 3107.853759765625, 2768.231201171875, 4079.9296875, 2273.65478515625, 2239.29150390625, 4282.32958984375, 1672.178955078125, 2604.03076171875]",0.9414333522961779,0.12628024554125505,12.628024554125506,0.07760806685470104,0.05881749207262733
1998,"[2935.8, 2711.6, 2034.1, 8640.1, 3206.0, 4059.8, 5086.2, 2698.6, 1342.9, 1788.4, 3510.2, 2665.1, 4197.4, 2418.0, 2472.2, 4711.6, 1713.2, 2893.0]","[2787.434814453125, 2542.567626953125, 2243.67919921875, 8047.7216796875, 3374.501220703125, 3399.285400390625, 4482.771484375, 2568.368408203125, 1170.7574462890625, 1368.2198486328125, 3149.2587890625, 2633.990478515625, 4303.45263671875, 2234.2919921875, 2477.8701171875, 4946.11767578125, 2119.669189453125, 2765.3427734375]",0.9604015470910333,0.09924268621944485,9.924268621944485,0.08006335529422419,0.04178611572552391
1999,"[3213.9, 2930.4, 2128.4, 8878.0, 3522.5, 3968.0, 6383.0, 2946.8, 2171.2, 1943.3, 3281.0, 2648.9, 4251.9, 2424.4, 2702.8, 4800.9, 1713.5, 3074.4]","[2808.25, 2642.42333984375, 2173.940185546875, 8572.63671875, 3342.990966796875, 3514.59033203125, 6150.1484375, 2787.000732421875, 1561.9793701171875, 1780.380859375, 3183.824462890625, 2731.18701171875, 4268.66796875, 2504.5498046875, 2541.118408203125, 4242.24755859375, 1690.6190185546875, 2761.5576171875]",0.9710557618598966,0.08298311950376742,8.298311950376743,0.06628228670834174,0.05914563395425851
2000,"[3483.6, 3060.6, 2051.2, 9102.5, 3681.2, 4237.3, 6384.0, 3068.1, 2214.3, 2115.5, 3437.4, 3000.0, 4400.7, 2612.8, 2745.4, 4732.4, 1713.9, 3031.2]","[3033.718994140625, 5113.6318359375, 2239.05712890625, 8642.1064453125, 3464.007568359375, 3910.216552734375, 5475.93408203125, 2916.642578125, 1844.2940673828125, 1647.3441162109375, 2701.859375, 2646.48876953125, 2984.726318359375, 2803.2998046875, 2545.302734375, 4305.88720703125, 2036.055419921875, 3838.11572265625]",0.8183761682169177,0.20312886146166784,20.312886146166782,0.15435695334122648,0.04492572514636649
2001,"[3402.0, 3126.4, 2195.6, 9283.3, 3600.0, 4526.6, 6703.7, 3186.6, 2328.6, 2069.9, 3522.8, 1538.4, 4387.9, 2873.9, 2675.4, 4547.2, 1719.4, 2754.2]","[3081.35546875, 4127.47900390625, 2378.9931640625, 8830.28125, 3457.756591796875, 4034.7421875, 4129.09375, 3010.677001953125, 1731.519287109375, 1845.6485595703125, 3411.31689453125, 3375.77490234375, 4437.37451171875, 2536.68115234375, 2646.50634765625, 4405.1259765625, 1785.341064453125, 3113.045654296875]",0.7963735220778609,0.23118900535626027,23.11890053562603,0.14114114936101838,0.03263695253313933
2002,"[3490.2, 3273.9, 2141.4, 9388.9, 3874.6, 4560.2, 5863.2, 3279.7, 2045.2, 1916.4, 3488.9, 1533.0, 4469.1, 2933.8, 2675.3, 4800.1, 1728.9, 3019.2]","[3317.898193359375, 3208.7890625, 2090.542236328125, 8800.830078125, 3611.9541015625, 4245.28125, 5315.904296875, 3178.6826171875, 2181.141357421875, 2173.72412109375, 3303.139404296875, 3014.625732421875, 3520.826416015625, 2744.1123046875, 2713.57861328125, 4827.28466796875, 1787.5946044921875, 2826.791259765625]",0.9294307355869874,0.13407689329847242,13.407689329847242,0.08711575131007974,0.025112429555801428
