year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1987,"[1442.6, 2073.8, 1090.7, 606.5, 4757.1, 916.3, 1744.7, 765.2, 1161.7, 666.4, 1558.4, 1016.4, 1353.3, 1140.0, 3189.7, 1804.6, 1483.9, 1963.3, 1000.0, 707.5, 1238.5, 917.3]","[1657.7065724582385, 1104.1370449133244, 1031.54325066135, 413.7949048920294, 4542.965837446297, 1329.3963635004577, 1812.317260020574, 1090.1869002795197, 1601.6063171221158, 778.390942098091, 1768.4859349357725, 1213.5721375798257, 1142.4764314371841, 1099.2919012748814, 1093.2749293412187, 1435.7145381659504, 1116.8268531467056, 1855.9223787538963, 1084.736256496358, 891.2143546723203, 1117.712594364251, 521.0830630375433]",0.6441305345708194,0.3690604613648517,36.90604613648517,0.22677440300536666,0.088826066507416
1988,"[1344.0, 2113.7, 1390.7, 232.2, 4965.0, 881.6, 2687.4, 1109.9, 1182.3, 922.1, 1619.5, 1171.8, 1640.1, 1288.2, 3774.4, 1902.0, 1800.0, 1953.1, 952.0, 871.2, 1287.0, 1806.6]","[1306.1970012020129, 1911.1206399201967, 1069.6055197731628, 985.2154557645357, 4584.522345194739, 1005.8543928966251, 1596.858222380076, 977.3670825118147, 1229.5177010133843, 678.6336154694301, 1415.3842605731454, 1390.4988141799813, 1219.9113521467946, 1560.017023032648, 1516.768179118952, 1711.5169003407455, 1176.220620934074, 1389.0597607563923, 1020.0652328102482, 964.9755796005318, 1797.8879369348272, 1570.9140648638022]",0.6132145413432515,0.3739313438583442,37.39313438583442,0.24372411751920173,0.13055195579273723
1989,"[1443.8, 2130.1, 1261.0, 377.9, 5380.4, 1091.7, 1807.8, 1073.4, 1225.8, 1047.6, 2840.5, 1187.8, 1395.0, 1269.2, 2910.3, 1988.9, 1187.5, 2103.3, 984.5, 885.3, 1018.8, 1707.9]","[1379.3283825341698, 2094.533038710921, 1201.7915164808942, 414.9512038579846, 4754.706961975609, 1129.5282297849799, 1545.3736418785556, 899.6359114479862, 1231.2406939195348, 762.3261627489079, 1678.6738235275634, 1467.4868360349503, 1395.0642852243573, 1288.8623709949459, 1458.8238076424761, 1715.93717083803, 1403.4376808949771, 1892.007449022552, 1312.2536139492602, 1102.273759845387, 1382.3289392071383, 1845.8546643617053]",0.7965548368146662,0.276699612539364,27.6699612539364,0.171974184266078,0.08155843041747629
1990,"[1815.3, 2138.3, 1188.9, 289.9, 5780.3, 1060.2, 1431.6, 965.3, 1335.8, 1100.0, 2205.1, 999.3, 1130.1, 1327.5, 3460.8, 2199.1, 1025.2, 2132.3, 1017.9, 895.4, 1240.3, 1720.6]","[1405.851090608329, 2107.2069664739474, 1234.6484046723995, 231.81362095310143, 4984.946132147329, 1185.6244765005254, 2227.323392167031, 992.8261827348842, 1196.8273210189327, 981.9809318707621, 1623.6643774339313, 1587.7636562494688, 1326.8149878124134, 1231.158732842422, 2529.5390634817436, 1963.7607938809413, 1715.3436619482675, 2086.234187770877, 1960.3412341648454, 839.1072308753775, 1456.0227409887684, 1594.0532416116723]",0.8311315969813207,0.27522563981775516,27.522563981775516,0.19891179856577318,-0.0001001785066038277
1991,"[2006.5, 1644.8, 1526.0, 396.2, 5895.1, 1382.1, 1714.0, 906.0, 1296.9, 540.8, 2257.3, 1141.9, 1129.9, 1392.1, 4044.4, 1650.2, 1155.6, 2150.5, 1052.7, 928.1, 1010.5, 1440.0]","[1474.5511717685001, 2024.1657858248038, 1312.752383751483, 354.65732629670924, 4898.41859206084, 1022.5665008326866, 1914.5235634297924, 1002.7949643060738, 1214.77177125297, 991.6717809724058, 1894.033417656187, 943.1732783253573, 1276.9352959231032, 1777.9838470030809, 3441.4587810846733, 2014.0223902104635, 983.099495099029, 2105.199843912379, 1012.3409490837078, 975.8876592410062, 1375.395363161234, 1653.0106805998846]",0.9038107325537403,0.21818847770264577,21.818847770264576,0.17179195178462828,0.02722699386288734
1992,"[1826.6, 2198.9, 1204.0, 189.9, 6134.6, 1041.6, 731.1, 1014.0, 1386.5, 579.2, 785.3, 480.2, 1118.1, 1409.5, 4523.7, 1743.0, 1225.0, 2203.0, 1088.5, 977.1, 1543.5, 410.8]","[1573.1181286074025, 1454.7350515077344, 1313.3184599714264, 494.6727658909869, 5320.311015761735, 1208.3935316918305, 1524.1385245676843, 809.0654194297135, 1382.0121507286638, 441.56313911152546, 1954.756907555371, 1048.1061037494326, 1170.8602880678852, 1354.3399894809513, 2704.822340501948, 2216.4780111463406, 1245.7952155311673, 2104.652925384239, 1058.9132927300168, 741.817169842602, 1149.8145565125994, 841.2516359497911]",0.8008271158079683,0.38587616536255176,38.587616536255176,0.26257408195169424,0.020735828434852704
1993,"[1753.6, 2048.2, 1509.2, 135.3, 6078.0, 1144.2, 2522.8, 1159.9, 1523.5, 887.5, 2284.0, 1532.7, 1184.8, 1800.0, 4355.2, 1763.0, 1740.0, 2197.5, 1125.5, 977.8, 1378.5, 1652.6]","[1568.3874806265612, 2190.3476380447564, 1353.0922207788492, 254.04756948021367, 5204.886992822241, 1130.048695351331, 1524.6822200584463, 965.6159135205752, 1323.591128032273, 797.3157081504633, 1590.8235549429837, 900.8823515015374, 1327.718601577464, 1351.7518178207538, 4190.842276404895, 1749.5560915802382, 1264.710436156713, 2127.0822105990233, 1187.1939026617474, 829.6463518686894, 1434.6357538278453, 1606.6902487527752]",0.8964567456444661,0.2099495973803105,20.99495973803105,0.14534933592999127,0.11974958986498498
1994,"[1988.2, 1524.5, 1493.3, 169.8, 5906.5, 1120.8, 1502.5, 930.6, 1503.5, 862.9, 2848.1, 920.9, 1272.0, 1882.3, 4237.1, 2114.0, 1675.0, 2209.1, 1163.9, 1022.8, 1273.3, 1213.3]","[1683.1259945607594, 1944.3233410943214, 976.9961780600752, 248.20879993082357, 5975.640570609974, 1124.8588861130274, 1026.169104313327, 940.7718097728967, 1419.6660515130432, 668.7562777075464, 1534.8397727273489, 883.7135204714787, 1151.5794356028248, 1520.8303441398007, 3927.278370706204, 1922.307402186304, 1279.125800016352, 3423.244282606505, 1074.0244039231513, 1020.3416068710048, 1090.5720814462013, 374.26980632877894]",0.8374341640286856,0.275388562085455,27.538856208545496,0.18579536543768782,0.09331304614718523
1995,"[1730.4, 2197.2, 1502.0, 947.7, 6163.0, 1155.1, 1418.5, 855.3, 1533.4, 812.6, 1380.0, 1351.7, 1266.6, 1835.5, 4522.3, 2466.0, 1120.0, 2258.0, 1203.6, 1173.7, 2206.5, 594.9]","[1663.5647322100965, 2156.756134312679, 1407.0920796630426, 423.797313536341, 5861.880048864876, 1223.3643919725293, 1757.1587854007357, 1236.4368538848862, 1464.9166751906564, 864.452378371979, 2235.277203101647, 1128.101956897301, 1347.1192878704303, 1502.688545403128, 3522.0132663841932, 1790.9543451360212, 1399.601456558607, 2113.730826187327, 1276.6029183600087, 1118.3897223599604, 1661.9425501219282, 1460.6685217864992]",0.8778711534482994,0.24103009340830178,24.103009340830177,0.17800306346147463,0.027144908712277108
1996,"[2089.2, 2257.2, 1515.3, 246.3, 6952.3, 1142.5, 2086.4, 940.4, 1517.5, 1249.0, 2704.3, 1443.3, 1326.1, 1834.6, 4039.7, 2015.0, 1109.9, 2486.2, 1244.6, 1081.8, 1776.6, 1415.0]","[1741.0067026549323, 2159.4710980493455, 1479.3892811987537, 736.8533721817831, 6053.171737966557, 1180.690229193116, 1887.324412110164, 889.5786672579852, 1495.2735980710613, 863.7902206672002, 2440.356326399918, 1272.9107120040517, 1250.1293673790271, 1511.5548626816592, 4237.782538913642, 2130.7654095567646, 1598.099009182812, 2273.0869943819475, 1180.0650050649872, 1034.2056259358803, 1498.573281615748, 1964.2148556426084]",0.9405323854208474,0.16763524504027957,16.763524504027956,0.12607756235064715,0.03755089543265057
1997,"[2060.5, 1658.2, 1528.5, 286.7, 7129.8, 1148.2, 1479.4, 1067.6, 1589.4, 985.7, 2519.5, 1095.9, 1251.0, 1577.0, 4555.7, 2748.3, 1090.8, 2614.1, 1287.0, 1202.0, 1921.8, 1104.3]","[1963.6973647663556, 1970.2441036402636, 1364.839188596404, 253.7102687986376, 6195.3857976207255, 2252.814575160327, 1970.9634178651345, 1445.6926498923233, 1542.4069053059595, 1003.9276101437281, 2752.5332571967697, 1426.6683474928052, 1385.0569905648051, 1606.9321372501909, 3460.6836170119086, 2290.566465084552, 1207.189303590173, 2367.842940840039, 1242.801082866653, 1178.3537420576718, 1949.539724210667, 1926.3181008618178]",0.8886338068142026,0.24928553396454592,24.928553396454593,0.1704046367166753,-0.02044723066097818
1998,"[2368.5, 1906.2, 1485.0, 91.0, 7225.7, 1074.3, 1250.3, 867.3, 1624.0, 1317.1, 2161.1, 1371.1, 1320.0, 1847.7, 6078.0, 2457.5, 823.1, 2652.6, 1330.8, 1114.3, 1917.8, 1012.5]","[1844.5332314219104, 2110.407182106177, 1479.3911346067032, 316.69878237134424, 6926.813722247775, 1133.9744651408243, 1695.1096968399324, 1139.075363836078, 1503.8128108567378, 1098.5583657350935, 1825.7434570327507, 930.9545480812695, 1273.8364558204762, 1772.3802732172544, 4089.2815636842, 2305.6692793051834, 1449.6315912397326, 2353.919418889227, 1273.0576746996205, 1132.4760643862985, 1637.9398880897097, 1627.153491782855]",0.8931668565250175,0.26597290133809776,26.597290133809775,0.16875812291730463,0.05486620069357247
1999,"[2359.7, 2504.7, 1455.7, 111.1, 7517.4, 1181.3, 1375.9, 1197.9, 1735.1, 941.0, 2227.4, 1810.9, 1599.8, 1300.1, 5370.2, 2291.7, 755.6, 2662.9, 1376.1, 1251.8, 1645.6, 1087.0]","[1966.3668396816452, 2056.2954969893062, 1519.8944754867625, 188.52407780580788, 6847.598381117043, 1206.4963736665584, 1951.5427188261488, 1097.7126817530457, 1440.5785996960965, 971.0260096774106, 1779.083125016102, 1362.9522413850668, 1409.1552586468383, 1782.4335805680578, 2099.259259815059, 2403.627493529519, 1455.7391509824752, 2494.483267864665, 1135.1807389872777, 1217.7467829870395, 1968.3637931878925, 1799.9983458072718]",0.7425094751927852,0.39842591240516156,39.84259124051616,0.2241860134875127,0.08237961435326094
