country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Lao People's Democratic Republic,1987,[1442.6],[1290.325],0.10555594066269228,10.555594066269228,0.10555594066269228,0.10555594066269228,11
Lao People's Democratic Republic,1988,[1344.0],[1336.3210000000008],0.005713541666666055,0.5713541666666054,0.005713541666666055,0.005713541666666055,11
Lao People's Democratic Republic,1989,[1443.8],[1309.6780000000006],0.09289513783072406,9.289513783072406,0.09289513783072406,0.09289513783072406,11
Lao People's Democratic Republic,1990,[1815.3],[1369.5880000000004],0.24553076626452902,24.553076626452903,0.24553076626452902,0.24553076626452902,11
Lao People's Democratic Republic,1991,[2006.5],[1474.9430000000004],0.26491751806628433,26.491751806628432,0.26491751806628433,0.26491751806628433,11
Lao People's Democratic Republic,1992,[1826.6],[1702.5109999999997],0.06793441366473238,6.793441366473238,0.06793441366473238,0.06793441366473238,11
Lao People's Democratic Republic,1993,[1753.6],[1738.5980000000015],0.008554972627736293,0.8554972627736293,0.008554972627736293,0.008554972627736293,11
Lao People's Democratic Republic,1994,[1988.2],[1734.8370000000016],0.1274333568051496,12.743335680514962,0.1274333568051496,0.1274333568051496,11
Lao People's Democratic Republic,1995,[1730.4],[1757.9250000000015],0.015906726768378093,1.5906726768378094,0.015906726768378093,-0.015906726768378093,11
Lao People's Democratic Republic,1996,[2089.2],[1726.6779999999999],0.17352192226689642,17.352192226689642,0.17352192226689642,0.17352192226689642,11
Lao People's Democratic Republic,1997,[2060.5],[1918.2900000000002],0.06901722882795429,6.901722882795429,0.06901722882795429,0.06901722882795429,11
Lao People's Democratic Republic,1998,[2368.5],[1838.4830000000002],0.2237774963056786,22.377749630567862,0.2237774963056786,0.2237774963056786,11
Lao People's Democratic Republic,1999,[2359.7],[2038.6530000000012],0.13605415942704524,13.605415942704525,0.13605415942704524,0.13605415942704524,11
Lao People's Democratic Republic,2000,[2387.8],[2180.9130000000027],0.0866433537147154,8.664335371471541,0.0866433537147154,0.0866433537147154,11
Lao People's Democratic Republic,2001,[2550.0],[2222.827000000002],0.12830313725490117,12.830313725490116,0.12830313725490117,0.12830313725490117,11
Lao People's Democratic Republic,2002,[2761.0],[2350.3440000000014],0.1487345164795359,14.873451647953589,0.1487345164795359,0.1487345164795359,11
Lao People's Democratic Republic,2003,[2771.0],[2427.8],0.1238542042583904,12.38542042583904,0.1238542042583904,0.1238542042583904,11
Lao People's Democratic Republic,2004,[3014.8],[2575.5930000000003],0.1456836274379726,14.56836274379726,0.1456836274379726,0.1456836274379726,11
