koppen_class,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME
11,1987,"[1744.7, 1442.6]","[2101.232828378895, 1479.380284789494]",0.1590341134747458,15.90341134747458,0.12340009198016792,-0.12340009198016792
11,1988,"[1344.0, 2687.4]","[1408.8284356052923, 1828.9794625763138]",0.30199110875458407,30.199110875458405,0.22901447959244395,0.1968527315122275
11,1989,"[1807.8, 1443.8]","[2007.8934287780762, 1552.9176215075672]",0.09912557659747055,9.912557659747055,0.09509504560390071,-0.09509504560390071
11,1990,"[1815.3, 1431.6]","[1401.8366418114222, 1873.1621138240498]",0.26347810311518904,26.347810311518906,0.26333594259528403,-0.008654025573769479
11,1991,"[1714.0, 2006.5]","[1816.746163577014, 1438.2300190662345]",0.2195095899683631,21.95095899683631,0.18035644255094194,0.12512399337636113
11,1992,"[1826.6, 731.1]","[1486.981762518303, 1814.374010969734]",0.6277143472741799,62.77143472741798,0.5563171006964972,-0.29075175880206316
11,1993,"[2522.8, 1753.6]","[1777.6748754076436, 1531.101019753511]",0.25716558840167497,25.716558840167497,0.22627071949276154,0.22627071949276154
11,1994,"[1988.2, 1502.5]","[1762.1172627345418, 2187.9387590406286]",0.2924126779782943,29.24126779782943,0.26112856914260374,-0.13159424235115316
11,1995,"[1418.5, 1730.4]","[1870.4026888788621, 1632.8205713769678]",0.20763319233348548,20.763319233348547,0.1744997038654433,-0.11252286838446118
11,1996,"[2089.2, 2086.4]","[1773.5998606761239, 1875.3227704040235]",0.1285920276259777,12.859202762597771,0.12613214122996755,0.12613214122996755
11,1997,"[1479.4, 2060.5]","[2049.412416288526, 1801.430608398909]",0.25014064605649516,25.014064605649516,0.2342105166500796,-0.08783949396520661
11,1998,"[2368.5, 1250.3]","[1778.2296331913928, 1887.955097073631]",0.3395709612344665,33.957096123446654,0.33931841049028355,-0.013094045060523873
11,1999,"[1375.9, 2359.7]","[1863.3787237586298, 1891.9104502122304]",0.2557744834088229,25.57744834088229,0.2557201717385157,-0.005270685825800497
11,2000,"[1772.0, 2387.8]","[1871.4160607848878, 1866.9230518764039]",0.18027993194211717,18.027993194211717,0.14911606541383818,0.10131758434028283
11,2001,"[2550.0, 1378.0]","[1835.5287419128674, 1738.9448564875233]",0.2881960014094295,28.819600140942953,0.27378210656177593,0.09000162973513473
11,2002,"[1670.9, 2761.0]","[1735.1881303518808, 1877.5522552541083]",0.2826524552084161,28.26524552084161,0.2138441470019117,0.18483260326135767
11,2003,"[2771.0, 1725.6]","[1870.7966331814291, 1642.219306397788]",0.2843324261755464,28.433242617554637,0.21873950549766108,0.21873950549766108
11,2004,"[1923.9, 3014.8]","[1776.0410564603465, 1942.9343822759122]",0.30983890594925867,30.983890594925867,0.24697279876561473,0.24697279876561473
11,2005,"[4332.1, 1859.4]","[2048.459215020314, 1636.7977687915568]",0.5240834539791281,52.40834539791281,0.4047876954192247,0.4047876954192247
11,2006,"[2301.3, 3953.3]","[1912.4738972368025, 2148.259497917342]",0.41749539925151696,41.749539925151694,0.35076049704950857,0.35076049704950857
11,2007,"[4363.6, 2334.2]","[2208.330881813665, 1947.0847994257306]",0.46235875173567453,46.23587517356745,0.3795849859297985,0.3795849859297985
11,2008,"[2244.2, 4832.8]","[1987.3736490667084, 2269.072720596213]",0.5148798886807968,51.48798886807968,0.3985521591545964,0.3985521591545964
11,2009,"[5464.3, 2069.2]","[2371.434402281982, 2109.8552505368807]",0.580653128222799,58.0653128222799,0.4159448925804605,0.4051517020217877
11,2010,"[2587.1, 4798.6]","[2116.442654573166, 2384.6023578665468]",0.47093573162428126,47.09357316242813,0.39057299748978264,0.39057299748978264
11,2011,"[5168.4, 2741.4]","[2484.310638828511, 2176.0151245969478]",0.4904263162196712,49.04263162196712,0.4108162325943186,0.4108162325943186
11,2012,"[2654.5, 5718.5]","[2365.8606472968218, 2710.8240453527583]",0.5103353762288401,51.033537622884005,0.3936839015108587,0.3936839015108587
