country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Lao People's Democratic Republic,1987,[1442.6],[1406.6988525390625],0.024886418592081943,2.4886418592081943,0.024886418592081943,0.024886418592081943,11
Lao People's Democratic Republic,1988,[1344.0],[1239.8017578125],0.07752845400855654,7.752845400855654,0.07752845400855654,0.07752845400855654,11
Lao People's Democratic Republic,1989,[1443.8],[1187.203125],0.1777232823105693,17.77232823105693,0.1777232823105693,0.1777232823105693,11
Lao People's Democratic Republic,1990,[1815.3],[1413.644775390625],0.2212610723348069,22.126107233480692,0.2212610723348069,0.2212610723348069,11
Lao People's Democratic Republic,1991,[2006.5],[1361.99951171875],0.3212063235889609,32.12063235889609,0.3212063235889609,0.3212063235889609,11
Lao People's Democratic Republic,1992,[1826.6],[1815.2991943359375],0.006186798239385968,0.6186798239385968,0.006186798239385968,0.006186798239385968,11
Lao People's Democratic Republic,1993,[1753.6],[2006.4989013671875],0.1442169829876754,14.421698298767542,0.1442169829876754,-0.1442169829876754,11
Lao People's Democratic Republic,1994,[1988.2],[1826.598388671875],0.08128035978680467,8.128035978680467,0.08128035978680467,0.08128035978680467,11
Lao People's Democratic Republic,1995,[1730.4],[1815.2091064453125],0.04901127279548798,4.901127279548798,0.04901127279548798,-0.04901127279548798,11
Lao People's Democratic Republic,1996,[2089.2],[1715.639892578125],0.17880533573706436,17.880533573706437,0.17880533573706436,0.17880533573706436,11
Lao People's Democratic Republic,1997,[2060.5],[2005.1038818359375],0.026884794061665857,2.6884794061665858,0.026884794061665857,0.026884794061665857,11
Lao People's Democratic Republic,1998,[2368.5],[1763.3477783203125],0.2555001991470076,25.550019914700762,0.2555001991470076,0.2555001991470076,11
Lao People's Democratic Republic,1999,[2359.7],[1956.2979736328125],0.17095479356154908,17.095479356154907,0.17095479356154908,0.17095479356154908,11
Lao People's Democratic Republic,2000,[2387.8],[2345.9873046875],0.017510970480149168,1.7510970480149168,0.017510970480149168,0.017510970480149168,11
Lao People's Democratic Republic,2001,[2550.0],[2365.37060546875],0.07240368412990196,7.240368412990196,0.07240368412990196,0.07240368412990196,11
Lao People's Democratic Republic,2002,[2761.0],[2374.006103515625],0.14016439568430822,14.016439568430823,0.14016439568430822,0.14016439568430822,11
Lao People's Democratic Republic,2003,[2771.0],[2377.27978515625],0.1420859671034825,14.208596710348251,0.1420859671034825,0.1420859671034825,11
Lao People's Democratic Republic,2004,[3014.8],[2524.62744140625],0.16258874837261184,16.25887483726118,0.16258874837261184,0.16258874837261184,11
Lao People's Democratic Republic,2005,[4332.1],[2889.701904296875],0.3329558633695264,33.29558633695264,0.3329558633695264,0.3329558633695264,11
Lao People's Democratic Republic,2006,[3953.3],[3677.674072265625],0.06972046840218936,6.972046840218936,0.06972046840218936,0.06972046840218936,11
Lao People's Democratic Republic,2007,[4363.6],[3953.30029296875],0.09402779975965952,9.402779975965952,0.09402779975965952,0.09402779975965952,11
Lao People's Democratic Republic,2008,[4832.8],[4359.1650390625],0.09800425445652627,9.800425445652628,0.09800425445652627,0.09800425445652627,11
Lao People's Democratic Republic,2009,[5464.3],[3428.779052734375],0.3725126635187719,37.25126635187719,0.3725126635187719,0.3725126635187719,11
Lao People's Democratic Republic,2010,[4798.6],[4451.0673828125],0.07242375217511364,7.242375217511364,0.07242375217511364,0.07242375217511364,11
Lao People's Democratic Republic,2011,[5168.4],[4797.2802734375],0.07180553489716347,7.180553489716347,0.07180553489716347,0.07180553489716347,11
Lao People's Democratic Republic,2012,[5718.5],[5037.8759765625],0.11902142580003497,11.902142580003497,0.11902142580003497,0.11902142580003497,11
Lao People's Democratic Republic,2013,[5726.0],[5439.96630859375],0.04995349133884911,4.995349133884911,0.04995349133884911,0.04995349133884911,11
Lao People's Democratic Republic,2014,[5803.3],[5536.607421875],0.04595533198783454,4.595533198783454,0.04595533198783454,0.04595533198783454,11
Lao People's Democratic Republic,2015,[5968.9],[5306.74560546875],0.11093407403897698,11.093407403897698,0.11093407403897698,0.11093407403897698,11
Lao People's Democratic Republic,2016,[5995.8],[5780.37890625],0.03592866569098372,3.592866569098372,0.03592866569098372,0.03592866569098372,11
