year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1987,"[1442.6, 2073.8, 1090.7, 606.5, 4757.1, 916.3, 1744.7, 765.2, 1161.7, 666.4, 1558.4, 1016.4, 1353.3, 1140.0, 3189.7, 1804.6, 1483.9, 1963.3, 1000.0, 707.5, 1238.5, 917.3]","[1414.092529296875, 1692.9747314453125, 993.587646484375, 542.6848754882812, 4455.43310546875, 1388.7940673828125, 1766.195068359375, 1018.214111328125, 1350.86669921875, 818.7890625, 1764.387451171875, 1307.3131103515625, 1238.499267578125, 1146.44384765625, 1727.99267578125, 1535.6087646484375, 1116.7357177734375, 1363.058349609375, 1125.8624267578125, 918.1502685546875, 1680.3321533203125, 767.1285400390625]",0.7988079293287211,0.2774965496607111,27.74965496607111,0.19035741759402544,0.044934045744822716
1988,"[1344.0, 2113.7, 1390.7, 232.2, 4965.0, 881.6, 2687.4, 1109.9, 1182.3, 922.1, 1619.5, 1171.8, 1640.1, 1288.2, 3774.4, 1902.0, 1800.0, 1953.1, 952.0, 871.2, 1287.0, 1806.6]","[1265.5394287109375, 1754.4224853515625, 1078.1365966796875, 767.9484252929688, 4574.7626953125, 1044.7921142578125, 1255.664306640625, 976.93310546875, 1097.4429931640625, 676.8524169921875, 1506.6317138671875, 1175.33984375, 1136.87451171875, 1404.3914794921875, 1823.661376953125, 1721.8046875, 1242.216552734375, 1542.5867919921875, 1050.062744140625, 1059.6124267578125, 1623.501708984375, 1197.195068359375]",0.6441083400735765,0.3586870577060758,35.868705770607576,0.238562724590741,0.16041356846707142
1989,"[1443.8, 2130.1, 1261.0, 377.9, 5380.4, 1091.7, 1807.8, 1073.4, 1225.8, 1047.6, 2840.5, 1187.8, 1395.0, 1269.2, 2910.3, 1988.9, 1187.5, 2103.3, 984.5, 885.3, 1018.8, 1707.9]","[1301.831298828125, 2044.07666015625, 1156.494140625, 418.216552734375, 4767.7978515625, 988.0759887695312, 1994.7803955078125, 1055.4061279296875, 1226.9749755859375, 809.0922241210938, 1519.7816162109375, 1503.0943603515625, 1425.0938720703125, 1171.720703125, 2203.4912109375, 1744.595703125, 1320.06298828125, 1872.876708984375, 1489.0609130859375, 1259.814208984375, 1397.917724609375, 2063.748779296875]",0.8374555207650041,0.2473266859058289,24.73266859058289,0.17141193981394637,0.043627765329437816
1990,"[1815.3, 2138.3, 1188.9, 289.9, 5780.3, 1060.2, 1431.6, 965.3, 1335.8, 1100.0, 2205.1, 999.3, 1130.1, 1327.5, 3460.8, 2199.1, 1025.2, 2132.3, 1017.9, 895.4, 1240.3, 1720.6]","[1396.3365478515625, 2082.231689453125, 1213.08154296875, 437.15142822265625, 5232.39892578125, 995.6458129882812, 2383.746337890625, 991.9642944335938, 1200.94580078125, 736.557861328125, 1997.75439453125, 1480.9766845703125, 1345.8988037109375, 1284.111083984375, 2545.09814453125, 1924.591796875, 1609.4910888671875, 1963.81103515625, 987.9413452148438, 880.9949340820312, 1423.8905029296875, 1549.9295654296875]",0.8806814117040233,0.2313495957993903,23.13495957993903,0.1652765761619967,0.021795606552474242
1991,"[2006.5, 1644.8, 1526.0, 396.2, 5895.1, 1382.1, 1714.0, 906.0, 1296.9, 540.8, 2257.3, 1141.9, 1129.9, 1392.1, 4044.4, 1650.2, 1155.6, 2150.5, 1052.7, 928.1, 1010.5, 1440.0]","[1475.8441162109375, 2003.25, 1257.0177001953125, 319.1045227050781, 4860.9267578125, 968.255615234375, 1916.008056640625, 1086.2215576171875, 1206.3692626953125, 1038.90380859375, 2360.8515625, 922.6387939453125, 1324.22021484375, 1400.98291015625, 3379.435302734375, 2036.698974609375, 941.0025634765625, 2049.019287109375, 997.3472290039062, 1060.512939453125, 1157.6209716796875, 1502.34033203125]",0.9057633127461177,0.215962580917405,21.5962580917405,0.16215468438371355,0.03810601612455414
1992,"[1826.6, 2198.9, 1204.0, 189.9, 6134.6, 1041.6, 731.1, 1014.0, 1386.5, 579.2, 785.3, 480.2, 1118.1, 1409.5, 4523.7, 1743.0, 1225.0, 2203.0, 1088.5, 977.1, 1543.5, 410.8]","[1890.651611328125, 1717.910400390625, 1152.3834228515625, 597.6298217773438, 5359.23388671875, 1296.1771240234375, 1507.01416015625, 790.575439453125, 1313.768798828125, 519.8801879882812, 2068.482666015625, 1054.407958984375, 1182.8529052734375, 1380.7137451171875, 3479.227294921875, 1776.167724609375, 1077.5562744140625, 2063.8525390625, 1018.1473999023438, 813.47607421875, 1161.0904541015625, 904.5619506835938]",0.8644341071805646,0.3183523552336565,31.83523552336565,0.2244930370727836,-0.009216919593314986
1993,"[1753.6, 2048.2, 1509.2, 135.3, 6078.0, 1144.2, 2522.8, 1159.9, 1523.5, 887.5, 2284.0, 1532.7, 1184.8, 1800.0, 4355.2, 1763.0, 1740.0, 2197.5, 1125.5, 977.8, 1378.5, 1652.6]","[1784.7296142578125, 2035.23828125, 1399.7161865234375, 318.3682861328125, 5269.85693359375, 1192.560302734375, 1674.4925537109375, 1022.7261962890625, 1325.7750244140625, 803.7404174804688, 1451.93115234375, 870.810302734375, 1343.226806640625, 1343.43994140625, 3984.392822265625, 1996.892578125, 1005.2886962890625, 2174.413330078125, 1058.9107666015625, 915.465087890625, 1436.3773193359375, 1594.700439453125]",0.8880408845866308,0.21831514766140722,21.83151476614072,0.15155045112117993,0.11657187698936584
1994,"[1988.2, 1524.5, 1493.3, 169.8, 5906.5, 1120.8, 1502.5, 930.6, 1503.5, 862.9, 2848.1, 920.9, 1272.0, 1882.3, 4237.1, 2114.0, 1675.0, 2209.1, 1163.9, 1022.8, 1273.3, 1213.3]","[1604.3299560546875, 2063.5556640625, 968.0696411132812, 208.7371368408203, 5965.443359375, 1365.3245849609375, 1131.6671142578125, 863.3828735351562, 1329.46533203125, 748.8406372070312, 1982.43310546875, 1156.0341796875, 1223.599365234375, 1092.69677734375, 3923.167236328125, 1931.1387939453125, 1459.3724365234375, 2105.384765625, 1056.416748046875, 978.6950073242188, 1244.8101806640625, 367.0503845214844]",0.8963684732342788,0.21987568518856176,21.987568518856175,0.1621751480569327,0.10466969284574068
1995,"[1730.4, 2197.2, 1502.0, 947.7, 6163.0, 1155.1, 1418.5, 855.3, 1533.4, 812.6, 1380.0, 1351.7, 1266.6, 1835.5, 4522.3, 2466.0, 1120.0, 2258.0, 1203.6, 1173.7, 2206.5, 594.9]","[1671.1427001953125, 1883.5135498046875, 1280.8734130859375, 418.9808349609375, 5896.3486328125, 1070.108642578125, 1722.36376953125, 1143.728515625, 1456.1988525390625, 869.0194702148438, 2114.6201171875, 1147.0985107421875, 1448.60888671875, 1325.17041015625, 2847.145263671875, 1773.94677734375, 1434.720703125, 2160.5126953125, 1295.065185546875, 1232.7564697265625, 1757.443603515625, 1165.29638671875]",0.8385326661082642,0.2771433604051376,27.71433604051376,0.1960320355135734,0.06498051617087518
1996,"[2089.2, 2257.2, 1515.3, 246.3, 6952.3, 1142.5, 2086.4, 940.4, 1517.5, 1249.0, 2704.3, 1443.3, 1326.1, 1834.6, 4039.7, 2015.0, 1109.9, 2486.2, 1244.6, 1081.8, 1776.6, 1415.0]","[1839.856201171875, 2219.034423828125, 1540.2384033203125, 841.4548950195312, 6118.94775390625, 1150.849853515625, 2001.611328125, 1050.606201171875, 1534.5157470703125, 1030.9068603515625, 2539.366455078125, 1295.29931640625, 1235.3687744140625, 1772.71826171875, 4372.703125, 2127.00439453125, 1549.512939453125, 2258.728759765625, 1211.554931640625, 1129.44970703125, 1569.39892578125, 1770.6041259765625]",0.9539971673995268,0.14744069235358406,14.744069235358406,0.10360762551214281,0.0073803861193094825
1997,"[2060.5, 1658.2, 1528.5, 286.7, 7129.8, 1148.2, 1479.4, 1067.6, 1589.4, 985.7, 2519.5, 1095.9, 1251.0, 1577.0, 4555.7, 2748.3, 1090.8, 2614.1, 1287.0, 1202.0, 1921.8, 1104.3]","[1967.6693115234375, 1831.9512939453125, 1431.435302734375, 245.08937072753906, 6451.134765625, 2254.49755859375, 2177.636474609375, 1156.14111328125, 1496.7215576171875, 1190.50830078125, 2597.916259765625, 1360.3157958984375, 1412.8670654296875, 1446.7308349609375, 3040.00341796875, 2275.156494140625, 1161.147705078125, 2349.240234375, 1285.873779296875, 1171.1627197265625, 1904.6400146484375, 1966.7718505859375]",0.8710825551054462,0.26821078334105763,26.821078334105763,0.17052164401724101,-0.006520336344691972
1998,"[2368.5, 1906.2, 1485.0, 91.0, 7225.7, 1074.3, 1250.3, 867.3, 1624.0, 1317.1, 2161.1, 1371.1, 1320.0, 1847.7, 6078.0, 2457.5, 823.1, 2652.6, 1330.8, 1114.3, 1917.8, 1012.5]","[1950.420654296875, 2115.900634765625, 1510.761962890625, 445.7179870605469, 7012.98583984375, 1172.9591064453125, 1644.829833984375, 972.620361328125, 1569.9500732421875, 1011.9806518554688, 2030.057861328125, 787.8685913085938, 1244.4849853515625, 1664.4293212890625, 2017.760986328125, 2279.740478515625, 1332.9281005859375, 2318.598876953125, 1294.261474609375, 1123.860107421875, 1490.498046875, 1625.3262939453125]",0.6719685929953185,0.4660602893673362,46.606028936733615,0.2152574850420214,0.1080462069104786
1999,"[2359.7, 2504.7, 1455.7, 111.1, 7517.4, 1181.3, 1375.9, 1197.9, 1735.1, 941.0, 2227.4, 1810.9, 1599.8, 1300.1, 5370.2, 2291.7, 755.6, 2662.9, 1376.1, 1251.8, 1645.6, 1087.0]","[2281.756591796875, 2085.52490234375, 1557.87109375, 143.4025421142578, 7018.08056640625, 1215.3985595703125, 1946.2579345703125, 1360.0968017578125, 1515.73583984375, 960.4286499023438, 2116.8662109375, 1313.576171875, 1370.98095703125, 1515.509765625, 2489.045166015625, 2202.751220703125, 1220.0218505859375, 2571.41943359375, 1126.27685546875, 1139.8843994140625, 2056.644287109375, 1625.4287109375]",0.808625630633246,0.34348583819175527,34.34858381917552,0.18340639002564427,0.06686506033395401
2000,"[2387.8, 2247.5, 1457.8, 112.3, 7680.0, 1461.4, 1772.0, 1202.0, 1797.0, 677.3, 2849.2, 1742.8, 1300.1, 1608.2, 5432.9, 1951.2, 701.8, 2764.9, 1423.0, 1148.1, 1645.6, 1179.5]","[1916.37451171875, 1953.727294921875, 1511.7120361328125, 827.3096313476562, 6884.52001953125, 1055.188720703125, 997.8946533203125, 941.2974243164062, 1489.6876220703125, 922.9161987304688, 4140.2705078125, 1227.377685546875, 1152.19091796875, 1447.0682373046875, 4420.1943359375, 2228.0615234375, 1166.2777099609375, 2504.87890625, 1100.7098388671875, 995.000244140625, 2103.6142578125, 1006.1869506835938]",0.8905697292377888,0.2616824530321125,26.16824530321125,0.21462392017388207,0.05724749388188275
