year,y_true,y_pred,R2,NRMSE,rRMSE,NMAE,nME
1987,"[2770.1, 840.8, 4715.8, 1842.5, 1060.8, 1400.5, 1803.3, 1884.7, 1559.3]","[2856.469775193737, 821.9204411452573, 3752.912278440775, 1162.7147160649236, 821.9204411452573, 1335.910188870498, 1199.4242758782525, 2263.777619640522, 1612.3028717133855]",0.8180311918955586,0.23549612866013978,23.549612866013977,0.17269171402536557,0.11469237780417008
1988,"[3007.5, 892.5, 4751.0, 2341.0, 1735.2, 1247.0, 1801.9, 1834.4, 1734.3]","[2770.0745477792902, 835.528528526715, 3758.948011512972, 1162.830688433231, 1204.1875457628898, 1336.2010401443201, 1803.2993518128737, 2790.7984148043297, 1880.392644752432]",0.6516124228872751,0.296598808948711,29.659880894871097,0.21652961671864573,0.09317952247999188
1989,"[3267.7, 837.4, 4941.6, 2392.0, 1493.4, 754.0, 1090.6, 1894.7, 1865.5]","[3007.4665509868178, 852.4239157274004, 3666.7574625624125, 933.4294019162697, 962.2708276984699, 1055.9264596708845, 1802.0000682559823, 1776.4882709818894, 1789.4616477145912]",0.6722131464532739,0.3515940051222937,35.159400512229375,0.2561041102770052,0.14515239303687685
1990,"[2948.1, 1012.9, 5196.7, 1851.0, 1329.0, 1272.1, 1093.4, 1894.7, 1824.9]","[2986.949779815033, 837.4585227734902, 3704.2696587490445, 1209.7113256226387, 1662.2645325586964, 1259.4147093240258, 1713.5171121503665, 1820.6547068790164, 1814.609996959604]",0.7724068235428709,0.2900342036663291,29.00342036663291,0.1844677521449658,0.07674998671038522
1991,"[3405.7, 805.6, 4816.3, 1613.5, 1869.9, 1700.6, 1491.6, 1897.2, 1841.0]","[2786.0036478319803, 846.9414671961785, 4744.045541058924, 1174.6835484785727, 1660.0772117908245, 1125.3808119272844, 1059.607590342377, 1839.96922299428, 1862.410187027408]",0.9014234072595533,0.1653901838676503,16.53901838676503,0.12693448413176744,0.12047901752714159
1992,"[3378.7, 2733.5, 907.3, 1662.5, 599.9, 5254.6, 2170.5, 2303.5, 1767.4, 3092.6, 701.1, 1703.0, 1765.3, 1903.0, 2180.9, 1332.4, 1991.0, 2160.0]","[3262.5582452577237, 3191.6454042799196, 3224.09691060794, 2331.6722645754935, 953.5938843753942, 4751.075882329789, 3262.606909926361, 2332.748207872431, 3331.9983120494207, 3148.2783854790946, 1574.4270487283072, 1632.3051788983669, 1590.8917412156118, 3192.6246351754803, 1904.6809676099854, 3192.63936185737, 1863.9216138886322, 3192.073269385391]",0.13727908716591752,0.46707611616777883,46.70761161677788,0.34202947747007206,-0.27459205214726734
1993,"[3350.0, 2455.5, 851.3, 1358.5, 589.7, 5297.0, 1685.5, 1601.8, 1425.0, 3798.0, 680.8, 1370.0, 1845.4, 1765.5, 2327.2, 917.8, 1946.6, 2225.7]","[3042.462678077805, 1888.915887666555, 957.3144594860377, 880.3719586024429, 1529.295127930064, 4769.3913580663775, 1999.896319996515, 1870.9694493210297, 1926.731960726854, 2136.2283271847186, 1700.1974963114944, 1906.7033522339925, 1637.5022130867385, 1999.7900146743882, 2301.4477344874963, 1547.1871268237585, 1771.7537556049879, 2111.26660383335]",0.7135756476231501,0.3132540306862544,31.32540306862544,0.24274244084870558,-0.013697041926179258
1994,"[3515.7, 1826.5, 840.9, 1515.0, 743.1, 5002.6, 1629.6, 2565.3, 1324.4, 3074.5, 1811.1, 1069.4, 1756.1, 1449.8, 2023.7, 749.0, 1893.5, 1784.2]","[3182.6678946103534, 2729.7379019727505, 1225.8516453525745, 1290.0101113582648, 758.0806370457668, 3914.521394246904, 2261.875843058908, 2083.100197315166, 2044.9387961812924, 3090.8379227365426, 897.1676354999296, 1375.2741228961834, 1798.807729063878, 1895.3456968991968, 2185.659020599359, 905.0189928499038, 1899.5724297517602, 2312.4208378234166]",0.7456435866373087,0.27219112645779375,27.219112645779376,0.21290186794856641,-0.03692005672584774
1995,"[3550.0, 1717.5, 888.2, 2142.1, 805.2, 5422.1, 1494.0, 2335.9, 1303.2, 2969.9, 554.3, 1278.0, 1450.7, 1394.6, 2167.5, 574.8, 2081.1, 2548.0]","[3386.398653790426, 2266.2855711454486, 844.245738719735, 1390.1879616616834, 716.5408004510764, 5219.337574957233, 2085.287266489763, 2264.5336355510326, 1727.3450106788157, 3188.3240297651614, 838.3985278626557, 1542.9888911466446, 1515.2243785859505, 1810.06876141449, 1918.640749546527, 1459.4703061867756, 1868.0077987442658, 1921.251044582838]",0.8704802027595681,0.21669707603505364,21.669707603505366,0.17612051715024865,-0.037068748577029874
1996,"[3327.8, 2135.3, 856.6, 2063.5, 866.7, 5638.4, 1662.7, 2595.7, 1403.9, 2299.3, 1841.5, 1615.1, 2096.1, 1544.9, 1934.4, 683.5, 2018.4, 2356.9]","[3534.820915570192, 2037.0722677169506, 879.209375280956, 1728.5954850436801, 849.0052549038089, 5138.319137956779, 1549.8271657659977, 2314.533478031593, 1682.3986966601576, 3657.8185582996343, 1893.5472406546642, 1152.0173091917306, 1644.8437184322597, 1535.2777384760234, 2105.7694182450095, 599.1667254758138, 1885.5222093142181, 2222.408133232779]",0.8589965118255214,0.19637693896809838,19.63769389680984,0.12751993278873924,0.014362130976071183
1997,"[4017.4, 2317.4, 1268.7, 2199.4, 756.6, 5599.4, 1691.4, 1984.3, 1710.9, 2827.7, 929.2, 1106.1, 1757.5, 1841.7, 2242.6, 844.9, 2053.3, 1700.9]","[3410.7859937053, 1984.0019321710415, 884.5080954316945, 2038.108085658635, 863.3418712669176, 5262.419705900896, 1713.9835310951703, 1775.4909152378905, 1709.0507093825097, 3663.0691127800746, 1812.7547366327774, 1161.1006160791114, 1788.0701134118524, 1567.058157847062, 1824.636628460986, 770.188516609857, 1924.0542509737284, 2307.9771458187647]",0.8751273868123137,0.19759048993644218,19.759048993644218,0.14845816039623627,0.010551050533678476
1998,"[4384.6, 2357.8, 1144.8, 2633.4, 807.1, 5989.6, 1576.4, 2892.9, 1087.2, 2647.9, 1418.4, 1424.8, 2529.5, 1359.4, 2608.8, 520.0, 2237.6, 2065.1]","[3302.8263251468256, 2335.589368187469, 970.1002612803214, 1981.9697182219486, 877.7452106294102, 5252.048166759323, 1688.0322064854656, 1543.2045968473296, 1867.992659348994, 2307.0547837451786, 1156.3290925477752, 1394.4143345629693, 1537.0396913617885, 1622.704265037093, 2141.5670145228196, 954.6396063034535, 2017.2646352830432, 2284.638858137881]",0.7860912282629524,0.269660521636722,26.9660521636722,0.20690897681195575,0.11213570782105496
1999,"[3534.2, 2297.7, 1148.6, 2646.0, 615.4, 6346.7, 1999.2, 1953.7, 2032.5, 2290.3, 800.4, 1418.4, 2413.7, 1569.1, 2302.8, 1286.8, 2169.8, 1946.6]","[3710.030380250632, 2425.543617363831, 1083.0889552447109, 2105.8264638731225, 849.8489491291224, 5607.093198461562, 1435.2542079620812, 2378.3773939626963, 1739.1643300431754, 2506.5954505426403, 1740.1124399857597, 1340.8031767020686, 2129.2323511184686, 1438.8860301485104, 2292.2656299134655, 753.5365366058318, 2108.3117186466848, 2101.8735837336503]",0.8927805681609586,0.18556827357507938,18.556827357507938,0.1437695654906943,0.026463897469868294
