country,year,y_true,y_pred,NRMSE,rRMSE,NMAE,nME,koppen_class
Chile,1987,[2770.1],[2856.4990234375],0.031189857202808598,3.1189857202808597,0.031189857202808598,-0.031189857202808598,5
Chile,1988,[3007.5],[2770.10009765625],0.07893596087905237,7.893596087905237,0.07893596087905237,0.07893596087905237,5
Chile,1989,[3267.7],[2925.55078125],0.10470643533678117,10.470643533678118,0.10470643533678117,0.10470643533678117,5
Chile,1990,[2948.1],[3057.23779296875],0.03701970522327943,3.701970522327943,0.03701970522327943,-0.03701970522327943,5
Chile,1991,[3405.7],[2096.8046875],0.3843249001673664,38.432490016736644,0.3843249001673664,0.3843249001673664,5
Chile,1992,[3378.7],[3131.711181640625],0.07310173094958855,7.310173094958855,0.07310173094958855,0.07310173094958855,5
Chile,1993,[3350.0],[3205.590576171875],0.043107290694962684,4.3107290694962686,0.043107290694962684,0.043107290694962684,5
Chile,1994,[3515.7],[3331.469970703125],0.052402090422070946,5.240209042207095,0.052402090422070946,0.052402090422070946,5
Chile,1995,[3550.0],[3419.45166015625],0.036774180237676056,3.6774180237676055,0.036774180237676056,0.036774180237676056,5
Chile,1996,[3327.8],[3427.68994140625],0.030016810327017793,3.001681032701779,0.030016810327017793,-0.030016810327017793,5
Chile,1997,[4017.4],[3486.765625],0.13208402822721166,13.208402822721165,0.13208402822721166,0.13208402822721166,5
Chile,1998,[4384.6],[3247.006591796875],0.25945203854470766,25.945203854470765,0.25945203854470766,0.25945203854470766,5
Chile,1999,[3534.2],[3693.06884765625],0.04495185548532912,4.495185548532913,0.04495185548532912,-0.04495185548532912,5
Chile,2000,[3812.0],[3499.9541015625],0.08185884009378279,8.18588400937828,0.08185884009378279,0.08185884009378279,5
Chile,2001,[4299.9],[3387.242919921875],0.21225076864069506,21.225076864069507,0.21225076864069506,0.21225076864069506,5
Chile,2002,[4272.2],[3886.615478515625],0.09025432364692075,9.025432364692074,0.09025432364692075,0.09025432364692075,5
Chile,2003,[4323.0],[4125.9287109375],0.045586696521512836,4.558669652151283,0.045586696521512836,0.045586696521512836,5
Chile,2004,[4571.0],[3935.908447265625],0.13893930272027455,13.893930272027454,0.13893930272027455,0.13893930272027455,5
Chile,2005,[4413.0],[4161.32958984375],0.05702932475781781,5.702932475781781,0.05702932475781781,0.05702932475781781,5
Chile,2006,[4460.1],[4396.55615234375],0.014247180030997144,1.4247180030997144,0.014247180030997144,0.014247180030997144,5
Chile,2007,[4785.9],[3609.62841796875],0.2457785540924904,24.57785540924904,0.2457785540924904,0.2457785540924904,5
Chile,2008,[4574.8],[4181.8974609375],0.08588409090288103,8.588409090288103,0.08588409090288103,0.08588409090288103,5
Chile,2009,[4080.9],[4506.025390625],0.10417442001151704,10.417442001151704,0.10417442001151704,-0.10417442001151704,5
Chile,2010,[5765.8],[4359.15380859375],0.24396375028725417,24.396375028725416,0.24396375028725417,0.24396375028725417,5
Chile,2011,[5806.0],[5468.73095703125],0.058089742157897,5.8089742157897,0.058089742157897,0.058089742157897,5
Chile,2012,[4946.8],[5352.9130859375],0.08209611990327076,8.209611990327076,0.08209611990327076,-0.08209611990327076,5
Chile,2013,[5814.3],[5580.56298828125],0.04020037007356864,4.020037007356865,0.04020037007356864,0.04020037007356864,5
Chile,2014,[5329.0],[4943.06982421875],0.07242074981821167,7.242074981821167,0.07242074981821167,0.07242074981821167,5
Chile,2015,[5632.6],[4945.74365234375],0.12194303654728728,12.194303654728728,0.12194303654728728,0.12194303654728728,5
Chile,2016,[6070.6],[5688.00146484375],0.06302483035552504,6.3024830355525046,0.06302483035552504,0.06302483035552504,5
Chile,2017,[5996.6],[5313.232421875],0.11395917321899081,11.39591732189908,0.11395917321899081,0.11395917321899081,5
Chile,2018,[6213.7],[5967.1435546875],0.0396794897263305,3.96794897263305,0.0396794897263305,0.0396794897263305,5
Chile,2019,[6286.0],[6093.11328125],0.030685128658924594,3.0685128658924596,0.030685128658924594,0.030685128658924594,5
Chile,2020,[6003.8],[6135.296875],0.021902274392884474,2.1902274392884475,0.021902274392884474,-0.021902274392884474,5
Chile,2021,[5982.1],[6234.8125],0.04224478026111225,4.224478026111226,0.04224478026111225,-0.04224478026111225,5
Chile,2022,[5891.7],[6065.6943359375],0.029532110585654428,2.9532110585654427,0.029532110585654428,-0.029532110585654428,5
Kyrgyzstan,1995,[1717.5],[1826.501953125],0.0634654748908297,6.34654748908297,0.0634654748908297,-0.0634654748908297,29
Kyrgyzstan,1996,[2135.3],[1717.5009765625],0.19566291548611442,19.566291548611442,0.19566291548611442,0.19566291548611442,29
Kyrgyzstan,1997,[2317.4],[1717.5062255859375],0.25886501010359136,25.886501010359137,0.25886501010359136,0.25886501010359136,29
Kyrgyzstan,1998,[2357.8],[2636.243896484375],0.1180947902639642,11.80947902639642,0.1180947902639642,-0.1180947902639642,29
Kyrgyzstan,1999,[2297.7],[2450.261962890625],0.06639768589921452,6.639768589921452,0.06639768589921452,-0.06639768589921452,29
Kyrgyzstan,2000,[2342.0],[1846.23486328125],0.21168451610535866,21.168451610535865,0.21168451610535866,0.21168451610535866,29
Kyrgyzstan,2001,[2488.3],[2422.033203125],0.026631353484306626,2.6631353484306626,0.026631353484306626,0.026631353484306626,29
Kyrgyzstan,2002,[2301.7],[2339.597900390625],0.0164651780816897,1.64651780816897,0.0164651780816897,-0.0164651780816897,29
Kyrgyzstan,2003,[2364.9],[2370.748291015625],0.0024729548884201906,0.24729548884201905,0.0024729548884201906,-0.0024729548884201906,29
Kyrgyzstan,2004,[2434.4],[2320.068603515625],0.0469649180432037,4.69649180432037,0.0469649180432037,0.0469649180432037,29
Kyrgyzstan,2005,[2241.0],[2383.791259765625],0.06371765272897144,6.371765272897144,0.06371765272897144,-0.06371765272897144,29
Kyrgyzstan,2006,[2068.4],[1847.748779296875],0.10667724845442134,10.667724845442134,0.10667724845442134,0.10667724845442134,29
Kyrgyzstan,2007,[1998.5],[2244.60205078125],0.12314338292782087,12.314338292782088,0.12314338292782087,-0.12314338292782087,29
Kyrgyzstan,2008,[1940.2],[2076.0087890625],0.0699973142266261,6.9997314226626095,0.0699973142266261,-0.0699973142266261,29
Kyrgyzstan,2009,[2628.5],[2280.68017578125],0.13232635503852005,13.232635503852006,0.13232635503852005,0.13232635503852005,29
Kyrgyzstan,2010,[2167.4],[2666.437255859375],0.2302469575802228,23.02469575802228,0.2302469575802228,-0.2302469575802228,29
Kyrgyzstan,2011,[2144.5],[2559.46484375],0.19350190895313593,19.35019089531359,0.19350190895313593,-0.19350190895313593,29
Kyrgyzstan,2012,[1675.1],[2045.71923828125],0.22125200780923535,22.125200780923535,0.22125200780923535,-0.22125200780923535,29
Kyrgyzstan,2013,[2365.4],[1876.171875],0.20682680519151098,20.6826805191511,0.20682680519151098,0.20682680519151098,29
Kyrgyzstan,2014,[1689.3],[1793.326416015625],0.06157959865957796,6.157959865957796,0.06157959865957796,-0.06157959865957796,29
Kyrgyzstan,2015,[2370.1],[2406.480224609375],0.015349658077454576,1.5349658077454575,0.015349658077454576,-0.015349658077454576,29
Kyrgyzstan,2016,[2446.1],[2266.56396484375],0.07339685015177218,7.339685015177218,0.07339685015177218,0.07339685015177218,29
Kyrgyzstan,2017,[2405.3],[2249.695068359375],0.06469252552306372,6.469252552306372,0.06469252552306372,0.06469252552306372,29
Kyrgyzstan,2018,[2426.8],[2449.646728515625],0.009414343380428885,0.9414343380428885,0.009414343380428885,-0.009414343380428885,29
Kyrgyzstan,2019,[2509.3],[2375.906494140625],0.05315964845151045,5.315964845151045,0.05315964845151045,0.05315964845151045,29
Kyrgyzstan,2020,[2546.5],[2407.9267578125],0.05441713810622423,5.4417138106224225,0.05441713810622423,0.05441713810622423,29
Kyrgyzstan,2021,[1453.1],[2423.122802734375],0.6675540587257416,66.75540587257416,0.6675540587257416,-0.6675540587257416,29
Kyrgyzstan,2022,[2542.3],[2438.260986328125],0.04092318517557927,4.092318517557927,0.04092318517557927,0.04092318517557927,29
Tajikistan,1995,[888.2],[840.9008178710938],0.053252850854431766,5.325285085443177,0.053252850854431766,0.053252850854431766,29
Tajikistan,1996,[856.6],[840.9027709960938],0.018325039696365016,1.8325039696365015,0.018325039696365016,0.018325039696365016,29
Tajikistan,1997,[1268.7],[888.1985473632812],0.29991444205621404,29.991444205621402,0.29991444205621404,0.29991444205621404,29
Tajikistan,1998,[1144.8],[1268.6982421875],0.10822697605476944,10.822697605476945,0.10822697605476944,-0.10822697605476944,29
Tajikistan,1999,[1148.6],[1144.7998046875],0.0033085454575134156,0.33085454575134154,0.0033085454575134156,0.0033085454575134156,29
Tajikistan,2000,[1183.9],[1196.29296875],0.010467918531970528,1.0467918531970528,0.010467918531970528,-0.010467918531970528,29
Tajikistan,2001,[1309.8],[1163.35546875],0.11180678825011449,11.18067882501145,0.11180678825011449,0.11180678825011449,29
Tajikistan,2002,[1789.8],[1140.6441650390625],0.36269741589056737,36.269741589056736,0.36269741589056737,0.36269741589056737,29
Tajikistan,2003,[1971.6],[853.9556884765625],0.5668717343900576,56.687173439005754,0.5668717343900576,0.5668717343900576,29
Tajikistan,2004,[1989.7],[1303.46533203125],0.344893535693195,34.4893535693195,0.344893535693195,0.344893535693195,29
Tajikistan,2005,[1960.3],[1101.588134765625],0.4380512499282635,43.80512499282635,0.4380512499282635,0.4380512499282635,29
Tajikistan,2006,[1996.7],[1966.011962890625],0.01536937802843444,1.536937802843444,0.01536937802843444,0.01536937802843444,29
Tajikistan,2007,[2350.0],[1978.8194580078125],0.15794916680518617,15.794916680518616,0.15794916680518617,0.15794916680518617,29
Tajikistan,2008,[1986.6],[2349.998046875],0.1829246183806504,18.29246183806504,0.1829246183806504,-0.1829246183806504,29
Tajikistan,2009,[3034.3],[2211.016845703125],0.27132556250102996,27.132556250102997,0.27132556250102996,0.27132556250102996,29
Tajikistan,2010,[3015.9],[3034.298583984375],0.006100528526932229,0.6100528526932228,0.006100528526932229,-0.006100528526932229,29
Tajikistan,2011,[2335.9],[2319.277099609375],0.007116272267916045,0.7116272267916045,0.007116272267916045,0.007116272267916045,29
Tajikistan,2012,[2675.8],[2563.492919921875],0.04197140297411061,4.197140297411061,0.04197140297411061,0.04197140297411061,29
Tajikistan,2013,[2973.5],[2781.5107421875],0.0645667589751135,6.45667589751135,0.0645667589751135,0.0645667589751135,29
Tajikistan,2014,[2968.0],[2679.863525390625],0.0970810224425118,9.70810224425118,0.0970810224425118,0.0970810224425118,29
Tajikistan,2015,[3032.0],[3018.483642578125],0.004457901524365105,0.44579015243651055,0.004457901524365105,0.004457901524365105,29
Tajikistan,2016,[3082.8],[2053.234375],0.3339709436226807,33.39709436226807,0.3339709436226807,0.3339709436226807,29
Tajikistan,2017,[3147.1],[2974.2998046875],0.05490775485764669,5.49077548576467,0.05490775485764669,0.05490775485764669,29
Tajikistan,2018,[3048.3],[3147.098388671875],0.032410979454737004,3.2410979454737006,0.032410979454737004,-0.032410979454737004,29
Tajikistan,2019,[3170.5],[2744.952880859375],0.13422082294295065,13.422082294295064,0.13422082294295065,0.13422082294295065,29
Tajikistan,2020,[3152.0],[3031.0478515625],0.03837314353981599,3.837314353981599,0.03837314353981599,0.03837314353981599,29
Tajikistan,2021,[3101.0],[3005.3037109375],0.030859815886004515,3.0859815886004514,0.030859815886004515,0.030859815886004515,29
Tajikistan,2022,[2800.0],[2793.8583984375],0.002193429129464286,0.21934291294642858,0.002193429129464286,0.002193429129464286,29
Uzbekistan,1995,[2142.1],[1515.0001220703125],0.2927500480508321,29.27500480508321,0.2927500480508321,0.2927500480508321,5
Uzbekistan,1996,[2063.5],[2142.098876953125],0.0380900784846741,3.80900784846741,0.0380900784846741,-0.0380900784846741,5
Uzbekistan,1997,[2199.4],[2063.5],0.061789578976084426,6.178957897608442,0.061789578976084426,0.061789578976084426,5
